path	shared	JIVO_MART_status	JIVO_MART_kind	JIVO_MART_count	JIVO_OIL_status	JIVO_OIL_kind	JIVO_OIL_count	JIVO_BEVERAGES_status	JIVO_BEVERAGES_kind	JIVO_BEVERAGES_count
/production-execution/line-configs/auto-fill/	-	400	-	-	400	-	-	400	-	-
/production-execution/lines/	scoped	200	list	>=0	200	list	>=7	200	list	>=1
/production-execution/machine-checklists/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/production-execution/machine-checklists/bulk/	-	405	-	-	405	-	-	405	-	-
/production-execution/machines/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/production-execution/reports/analytics/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/cost-analysis/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/downtime-pareto/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/downtime/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/monthly-summary/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/oee-trend/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/oee/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/plan-vs-production/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/procurement-vs-planned/	-	400	-	-	400	-	-	400	-	-
/production-execution/reports/analytics/resource-consumption/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/waste-trend/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/analytics/waste/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/daily-production/	-	400	-	-	400	-	-	400	-	-
/production-execution/reports/line-clearance/	scoped	200	list	>=0	200	list	>=30	200	list	>=2
/production-execution/reports/production-movement/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/reports/production-movement/filter-options/	scoped	200	object	-	200	object	-	200	object	-
/production-execution/runs/	scoped	200	list	>=0	200	list	>=42	200	list	>=3
/production-execution/sap/bom/	-	400	-	-	400	-	-	400	-	-
/production-execution/sap/items/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/production-execution/sap/orders/	scoped	200	list	>=0	200	list	>=31	200	list	>=31
/production-execution/waste/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
/production-planning/	-	404	-	-	404	-	-	404	-	-
/production-planning/daily-entries/	-	404	-	-	404	-	-	404	-	-
/production-planning/dropdown/bom/	-	404	-	-	404	-	-	404	-	-
/production-planning/dropdown/items/	-	404	-	-	404	-	-	404	-	-
/production-planning/dropdown/uom/	-	404	-	-	404	-	-	404	-	-
/production-planning/dropdown/warehouses/	-	404	-	-	404	-	-	404	-	-
/production-planning/summary/	-	404	-	-	404	-	-	404	-	-
/quality-control/arrival-slips/	scoped	200	list	>=8	200	list	>=1016	200	list	>=82
/quality-control/inspections/	scoped	200	list	>=8	200	list	>=976	200	list	>=70
/quality-control/inspections/actionable/	scoped	200	list	>=8	200	list	>=6	200	list	>=0
/quality-control/inspections/awaiting-chemist/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/quality-control/inspections/awaiting-qam/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/quality-control/inspections/completed/	scoped	200	list	>=0	200	list	>=938	200	list	>=70
/quality-control/inspections/counts/	scoped	200	object	-	200	object	-	200	object	-
/quality-control/inspections/draft/	scoped	200	list	>=0	200	list	>=2	200	list	>=0
/quality-control/inspections/pending/	scoped	200	list	>=8	200	list	>=4	200	list	>=0
/quality-control/inspections/rejected/	scoped	200	list	>=0	200	list	>=46	200	list	>=0
/quality-control/inspections/return-to-vendor/	scoped	200	list	>=0	200	list	>=46	200	list	>=0
/quality-control/material-types/	scoped	200	list	>=0	200	list	>=163	200	list	>=23
/quality-control/material-types/link-sap-item/	-	405	-	-	405	-	-	405	-	-
/quality-control/print-documents/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/quality-control/production-qc/	scoped	200	list	>=0	200	list	>=1	200	list	>=0
/quality-control/production-qc/counts/	scoped	200	object	-	200	object	-	200	object	-
/quality-control/production-qc/pending/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/quality-control/sap-items/	SHARED	200	list	>=0	200	list	>=0	200	list	>=0
/sap/plan-dashboard/details/	scoped	200	object	-	200	object	-	200	object	-
/sap/plan-dashboard/procurement/	scoped	200	object	-	200	object	-	200	object	-
/sap/plan-dashboard/summary/	scoped	200	object	-	200	object	-	200	object	-
/vehicle-management/transporters/	SHARED	200	list	>=103	200	list	>=103	200	list	>=103
/vehicle-management/transporters/names/	SHARED	200	list	>=103	200	list	>=103	200	list	>=103
/vehicle-management/vehicle-entries/	-	400	-	-	400	-	-	400	-	-
/vehicle-management/vehicle-entries/count/	-	400	-	-	400	-	-	400	-	-
/vehicle-management/vehicle-entries/list-by-status/	-	400	-	-	400	-	-	400	-	-
/vehicle-management/vehicle-types/	SHARED	200	list	>=7	200	list	>=7	200	list	>=7
/vehicle-management/vehicles/	SHARED	200	list	>=458	200	list	>=458	200	list	>=458
/vehicle-management/vehicles/names/	SHARED	200	list	>=458	200	list	>=458	200	list	>=458
/warehouse/bom-requests/	scoped	200	list	>=0	200	list	>=27	200	list	>=0
/warehouse/fg-receipts/	scoped	200	list	>=0	200	list	>=3	200	list	>=0
/warehouse/stock/check/	-	405	-	-	405	-	-	405	-	-
/warehouse/wms/batches/expiry/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/billing/overview/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/dashboard/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/item-groups/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/sales-orders/backlog/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/stock/movements/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/stock/overview/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/transfers/overview/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/warehouses/	scoped	200	object	-	200	object	-	200	object	-
/warehouse/wms/warehouses/summary/	scoped	200	object	-	200	object	-	200	object	-
