endpoint	JIVO_MART	JIVO_OIL	JIVO_BEVERAGES
/production-execution/reports/analytics/procurement-vs-planned/	400	400	400
/production-execution/reports/analytics/resource-consumption/	200	200	200
/production-execution/reports/analytics/waste-trend/	200	200	200
/production-execution/reports/analytics/waste/	200	200	200
/production-execution/reports/daily-production/	400	400	400
/production-execution/reports/line-clearance/	200	200	200
/production-execution/reports/production-movement/	200	200	200
/production-execution/reports/production-movement/filter-options/	200	200	200
/production-execution/reports/reconciliation/material/	200	200	200
/production-execution/reports/reconciliation/production/	200	200	200
/production-execution/reports/reconciliation/wastage/	200	200	200
/production-execution/runs/	200	200	200
/production-execution/sap/bom/	400	400	400
/production-execution/sap/items/	200	200	200
/production-execution/sap/orders/	200	200	200
/production-execution/waste/	200	200	200
/production-planning/	404	404	404
/production-planning/daily-entries/	404	404	404
/production-planning/dropdown/bom/	404	404	404
/production-planning/dropdown/items/	404	404	404
/production-planning/dropdown/uom/	404	404	404
/production-planning/dropdown/warehouses/	404	404	404
/production-planning/summary/	404	404	404
/quality-control/arrival-slips/	200	200	200
/quality-control/inspections/	200	200	200
/quality-control/inspections/actionable/	200	200	200
/quality-control/inspections/awaiting-chemist/	200	200	200
/quality-control/inspections/awaiting-qam/	200	200	200
/quality-control/inspections/completed/	200	200	200
/quality-control/inspections/counts/	200	200	200
/quality-control/inspections/decision-changed/	200	200	200
/quality-control/inspections/draft/	200	200	200
/quality-control/inspections/pending/	200	200	200
/quality-control/inspections/rejected/	200	200	200
/quality-control/inspections/return-to-vendor/	200	200	200
/quality-control/material-types/	200	200	200
/quality-control/material-types/link-sap-item/	405	405	405
/quality-control/online-monitoring/	200	200	200
/quality-control/online-monitoring/lines/	200	200	200
/quality-control/online-monitoring/runs/	200	200	200
/quality-control/online-monitoring/specs/	200	200	200
/quality-control/print-documents/	200	200	200
/quality-control/production-qc/	200	200	200
/quality-control/production-qc/counts/	200	200	200
/quality-control/production-qc/pending/	200	200	200
/quality-control/production-qc/running-runs/	200	200	200
/quality-control/sap-items/	200	200	200
/returnable-items/dashboard/	200	200	200
/returnable-items/options/	200	200	200
/returnable-items/reports/	200	200	200
/returnable-items/returnable-attachments/	200	200	200
/returnable-items/returnable-gatepass-items/	200	200	200
/returnable-items/returnable-gatepasses/	200	200	200
/returnable-items/returnable-gatepasses/pending-approval/	200	200	200
/returnable-items/returnable-gatepasses/pending-gate-in/	200	200	200
/returnable-items/returnable-gatepasses/pending-gate-out/	200	200	200
/returnable-items/returnable-return-events/	200	200	200
/returnable-items/sap-items/	200	200	200
/sap/plan-dashboard/details/	200	200	200
/sap/plan-dashboard/procurement/	200	200	200
/sap/plan-dashboard/summary/	200	200	200
/vehicle-management/transporters/	200	200	200
/vehicle-management/transporters/names/	200	200	200
/vehicle-management/vehicle-entries/	400	400	400
/vehicle-management/vehicle-entries/count/	400	400	400
/vehicle-management/vehicle-entries/list-by-status/	400	400	400
/vehicle-management/vehicle-types/	200	200	200
/vehicle-management/vehicles/	200	200	200
/vehicle-management/vehicles/names/	200	200	200
/warehouse/bom-requests/	200	200	200
/warehouse/bom-requests/create/	405	405	405
/warehouse/bst/	200	200	200
/warehouse/bst/gate/expected-inwards/	200	200	200
