surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getIssuesForFilter	UNKNOWN_READLIKE		966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getNodeId	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getNodeId_v2	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getSubIssuesForFilter	UNKNOWN_READLIKE		966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/getVideos	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/issue-types	UNKNOWN		966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/selectInstanceNodeHelpSection	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/ga/selectInstanceNode_v2	UNKNOWN		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/get-marketing-card	UNKNOWN_READLIKE	fetchApi	remote-coe-271.b947b95ea27b267f0117.js
seller	UNKNOWN	seller.flipkart.com	/napi/getCallBackDetails	UNKNOWN_READLIKE	fetchApi	966.fec518d64c26baa001d8.js
seller	UNKNOWN	seller.flipkart.com	/napi/getRtbbdDetails	UNKNOWN_READLIKE	getRtbbdData	remote-45.45ea8488a4735893da09.js
seller	UNKNOWN	seller.flipkart.com	/napi/graphql-sse	UNKNOWN		995.5bb30edc681069835fcf.js
seller	UNKNOWN	seller.flipkart.com	/napi/inventory-rest/	UNKNOWN		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/adopt-core-size-stock-reco	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/adopt-price-recommendations	UNKNOWN_READLIKE		3464.cdf8e4ca098a1a73e48a.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/adopt-stock-recommendations	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
