surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateQCTickets	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/updateRTDBoxDetails	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadBulkConsignment	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadEInvoice	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/consignment/uploadEWayBill	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/contextualFaq/getFaqs	UNKNOWN_READLIKE	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/checkAutofillVerticals	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/create	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/create-variants	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/delete-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-autofill-external-images-status	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-autoqc-guidelines	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-conditional-mandatory-attributes	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-product-title-preview	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetch-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/fetchAutofillAttributes	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/get-fsn-attributes	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/createProductV2/get-model-vertical-guidelines	WRITE		5700.460cdf57b00102e6f476.js
