surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/inventory-rest/recall/BulkRecallFileUpload	WRITE		9258.26178f4d4422b76c6a94.js
seller	UNKNOWN	seller.flipkart.com	/napi/lbhw/updateV2	WRITE	updateApi	33.b2ae781739dbf1ef817b.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/addToGroup	WRITE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/bulk-edit-rate-limit	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/create-update-listings	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/deleteFeed	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/listing/deleteRequest	WRITE	deleteApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/downloadReport	EXPORT		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/enqueueDownload	EXPORT		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/feed-listings-created/search	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/image-uploader/feed-vc-action	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/image-uploader/feed-vc-predict	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/listing/image-uploader/images	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/image-uploader/request-download-images-catalog-file	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/listing/image-uploader/requested-images-catalog-file-download-status	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/image-uploader/save-images	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/listing/image-uploader/sku	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/instantCatalogUploadStatus	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-price-reco-update	WRITE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/lqs-return-reco-update	WRITE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/mspEnabled	WRITE	fetchApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/priceUpdateHistory	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/removeFromGroup	WRITE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/report/generate-report	EXPORT		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/return-reason-updated-time-duration	WRITE		remote-listingsManagement-843.ac90229ed823f8648971.js
