group	method	url	operationName	op_type	body_shape_redacted
seller	POST	https://seller.flipkart.com/napi/graphql	Metrics_getMinMaxDates	query	{"operationName":"Metrics_getMinMaxDates","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	GetPriceRecoTagsCount	query?	{"operationName":"GetPriceRecoTagsCount","variables":{"group_by":[{"grouping_name":"parent-tags-based","field_name":"parent_tags","sort_order":"decreasing","sub_aggs":[{"grouping_name":"tags-based","field_name":"tags","s
seller	POST	https://seller.flipkart.com/napi/graphql	GetPriceRecoData	query?	{"operationName":"GetPriceRecoData","variables":{"filter_by":[{"filter_type":"TEXT_MATCH","field_name":"parent_tags","values":["losing_to_competition"]},{"filter_type":"TEXT_MATCH","field_name":"tags","values":["TOP_PERF
seller	POST	https://seller.flipkart.com/napi/graphql	HulkMetricsSearch	query?	{"operationName":"HulkMetricsSearch","variables":{"aspTrendsListingsData":{"view_name":"price_transparency_filtered_detailed_view","filters":[{"field_name":"date","filter_type":"RANGE_MATCH","range_from":"2026-07-29","ra
seller	POST	https://seller.flipkart.com/fed-ads/api?	GET_INITIAL_STATE	n/a	{"operationName":"GET_INITIAL_STATE","variables":{},"query":"query GET_INITIAL_STATE {\n  getInitialState {\n    adProducts\n    permissions\n    campaignConfig {\n      BAU_BUDGET_MULTIPLIER\n      BUDGET_RULE_MULTIPLIE
seller	POST	https://seller.flipkart.com/fed-ads/api?	GET_USER_TNC	n/a	{"operationName":"GET_USER_TNC","variables":{"baAccountId":"<redacted>"},"query":"query GET_USER_TNC($baAccountId: String!) {\n  getUserTnc(baAccountId: $baAccountId) {\n    currentTnCVersionInfo {\n      version\n      
seller	POST	https://seller.flipkart.com/fed-ads/api?	LoadPFDeps	n/a	{"operationName":"LoadPFDeps","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/fed-ads/api?	LogClientExceptions	n/a	{"operationName":"LogClientExceptions","variables":{"data":{"category":"PRODUCTION_FK_EXCEPTION","action":"FK_EXCEPTION","errorMessage":"Loading chunk <redacted> failed.\n(error: https://static-assets-web.flixc
seller	POST	https://seller.flipkart.com/fed-ads/api?	getStickyNotificationData	n/a	{"operationName":"getStickyNotificationData","variables":{},"query":"<gql-doc>"}
seller	POST	https://seller.flipkart.com/napi/graphql	HulkMinMaxDatesQuery	query	{"operationName":"HulkMinMaxDatesQuery","variables":{"perf_overview_real_time_metric_min_max_date_view_hourly_args":{"view_name":"perf_overview_real_time_metric_min_max_date_view","interval":"HOURLY"}},"query":"query Hul
seller	POST	https://seller.flipkart.com/orchestrator/graphql?	MinMax	query	{"operationName":"MinMax","variables":{"input":{"sellerInsightsInput":{"hulkMinMaxPayload":[{"viewName":"perf_overview_real_time_metric_min_max_date_view","interval":"HOURLY"}]}}},"query":"query MinMax($input: GrowthInpu
