ItemCode	Warehouse	OUT90	RET90	IN90
PM0000233	BH-WST	0	0	0
PM0000232	BH-WST	0	0	0
PM0000884	BH-WST	0	0	0
PM0000851	BH-WST	0	0	0
PM0000235	BH-WST	0	0	0
PM0000020	BH-WST	0	0	0
PM0000019	BH-WST	0	0	0
PM0000054	BH-WST	0	0	0
PM0000824	BH-WST	0	0	0
PM0000121	BH-WST	0	0	0
PM0000085	BH-WST	0	0	0
PM0000425	BH-WST	0	0	0
PM0000426	BH-WST	0	0	0
PM0000466	BH-WST	0	0	0
PM0000076	BH-WST	0	0	0
PM0000309	BH-PC	308.24	0	0
PM0000309	BH-WST	0	0	0
PM0000005	BH-WST	0	0	0
PM0000535	BH-WST	0	0	0
PM0000046	BH-WST	0	0	0
PM0000468	BH-WST	1110	0	0
PM0000125	BH-PC	20761	0	0
PM0000125	BH-WST	0	0	0
PM0000079	BH-PC	714910	0	1209
PM0000079	BH-WST	0	0	0
PM0000126	BH-PC	10584	0	0
PM0000126	BH-WST	0	0	0
PM0000013	BH-WST	0	0	0
PM0000469	BH-WST	0	0	0
PM0000427	BH-WST	0	0	0
PM0000428	BH-WST	0	0	0
PM0000003	BH-WST	0	0	0
PM0000078	BH-WST	0	0	0
PM0000080	BH-WST	0	0	0
PM0000395	BH-WST	0	0	0
PM0000825	BH-WST	0	0	0
PM0000018	BH-PC	151727	0	464
PM0000018	BH-WST	0	0	0
PM0000017	BH-PC	151727	0	464
PM0000017	BH-WST	0	0	0
PM0000060	BH-PC	172559	0	1408
PM0000060	BH-WST	0	0	0
PM0000835	BH-PC	2980	0	0
PM0000835	BH-WST	0	0	0
FG0000143	BH-EC	25442	50	50
FG0000074	GP-FG	1927	412	412
FG0000418	GP-FG	7974	0	0
PM0000231	BH-BS	0	0	0
PM0000230	BH-BS	0	0	0
PM0000075	BH-PM	0	0	623700
PM0000094	BH-PM	0	0	68000
PM0000094	BH-BS	0	0	0
PM0000594	BH-SDL	599124	0	0
PM0000194	BH-BS	0	0	547296
PM0000411	BH-PM	2037	0	33292
PM0000411	BH-BS	2037	0	0
PM0000466	BH-PM	0	0	30250
PM0000466	BH-BS	0	0	1200
PM0000660	BH-PM	18	0	1188
PM0000660	BH-BS	0	0	0
PM0000005	BH-PM	0	0	56845
PM0000005	BH-BS	0	0	0
FG0000226	BH-PF	1600	127	13867
FG0000226	GP-FG	5261	0	0
PM0000187	BH-BS	0	0	0
FG0000151	BH-PF	3952	267	22223
PM0000523	BH-BS	0	0	0
PM0000522	BH-BS	0	0	0
PM0000260	BH-PM	0	0	0
PM0000260	BH-BS	0	0	0
PM0000785	BH-PM	0	0	0
PM0000785	BH-BS	0	0	0
PM0000784	BH-PM	0	0	0
PM0000784	BH-BS	0	0	0
RM0000007	BH-LO	48013	0	10141
RM0000007	BH-PC	149202.04	0	0
PM0000865	BH-PC	68705	0	0
PM0000866	BH-PC	68705	0	0
PM0000127	BH-PC	10584	0	0
PM0000194	BH-PC	796450	0	52269
PM0000231	BH-PC	340828	0	0
PM0000230	BH-PC	340828	0	0
PM0000525	BH-BS	0	0	0
PM0000525	BH-PC	13740	0	0
PM0000524	BH-BS	0	0	0
PM0000524	BH-PC	13740	0	0
PM0000309	BH-BS	0	0	0
PM0000401	BH-BS	0	0	0
PM0000401	BH-PC	1080	0	0
FG0000243	PB-ST	0	6160	6160
FG0000441	BH-PF	9590	0	68705
FG0000015	BH-GR	115	14	14
FG0000081	BH-PF	56240	0	259780
FG0000243	BH-INT	0	0	0
FG0000142	GP-FG	89770	1600	5200
FG0000013	GP-FG	446	0	0
FG0000016	GP-FG	721	0	0
FG0000020	GP-FG	676	0	0
PM0000085	BH-PM	0	0	807000
RM0000066	BH-GJ	41.5	0	527920.09
FG0000194	BH-PF	28806	0	103080
PM0000817	BH-BS	0	0	0
PM0000517	BH-NM	0	0	0
PM0000517	BH-PC	57142	0	0
PM0000718	BH-PC	5101	0	0
PM0000719	BH-PC	5101	0	0
