ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FG	Bhakharpur Finished Basement	90	7	0	12522.36
FG0000032	COLD PRESS 1 LTR 20 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-BT	Bhakharpur New Basement	29910	0	0	4492069.24
PM0000071	SHRINKS 1 LTR 235X310	PACKAGING MATERIAL	PCS		SHRINK	N	BH-WST	Bhakharpur WASTAGE	141	0	0	142.23
PM0000071	SHRINKS 1 LTR 235X310	PACKAGING MATERIAL	PCS		SHRINK	N	BH-PP	Bhakharpur Production Process 1st Floor	12537	0	0	11078.2
PM0000071	SHRINKS 1 LTR 235X310	PACKAGING MATERIAL	PCS		SHRINK	N	BH-PC	Bhakharpur Production Consumption	10560	0	22000	13622.4
PM0000071	SHRINKS 1 LTR 235X310	PACKAGING MATERIAL	PCS		SHRINK	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	7500	22000	0	-48997.84
PM0000071	SHRINKS 1 LTR 235X310	PACKAGING MATERIAL	PCS		SHRINK	N	BH-BT	Bhakharpur New Basement	7000	0	0	8105.19
PM0000278	CARTON MONO A2 DESI GHEE 500 MLS	PACKAGING MATERIAL	PCS		CARTON	N	BH-WST	Bhakharpur WASTAGE	4	0	0	0
PM0000278	CARTON MONO A2 DESI GHEE 500 MLS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PP	Bhakharpur Production Process 1st Floor	1713	0	0	64339.67
PM0000278	CARTON MONO A2 DESI GHEE 500 MLS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	3637	0	0	-68755.57
RM0000013	POMACE OLIVE LOOSE OIL IMPORTED	RAW MATERIAL	LTR		OLIVE	N	BH-LO	Bhakharpur Loose Oil	47221.93	0	0	14437927.77
RM0000013	POMACE OLIVE LOOSE OIL IMPORTED	RAW MATERIAL	LTR		OLIVE	N	BH-GJ	Gujarat Job Worker	0	0	48351.6	0
PM0000224	TIKKI 1+1 COMBO PACK 650	PACKAGING MATERIAL	PCS		TIKKI	N	BH-PP	Bhakharpur Production Process 1st Floor	11068	0	0	3192.74
