code,factory_name,mark4_name,factory_identity_name,factory_units,mark4_units,units_delta_mark4_minus_factory,factory_litres,mark4_litres,litres_delta_mark4_minus_factory,factory_litres_per_unit,mark4_litres_per_unit
FG0000136,SANO MUSTARD OIL 1 LTR 20 PCS,SANO MUSTARD OIL 1 LTR 20 PCS,SANO MUSTARD OIL 1 LTR 20 PCS,115000.000,115000.0,0.000,115000.000,115000.0,0.000,1.000000,1.0
FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,SANO MUSTARD OIL 5 LTR 4 PCS,SANO MUSTARD OIL 5 LTR 4 PCS,400.000,400.0,0.000,2000.000,2000.0,0.000,5.000000,5.0
FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,385000.000,385000.0,0.000,385000.000,385000.0,0.000,1.000000,1.0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,20000.000,20000.0,0.000,100000.000,100000.0,0.000,5.000000,5.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,JIVO GOLD 1 LTR 20 PCS,JIVO GOLD 1 LTR 20 PCS,55000.000,55000.0,0.000,55000.000,55000.0,0.000,1.000000,1.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,SANO POMACE OLIVE 1 LTR 16 PCS,SANO POMACE OLIVE 1 LTR 16 PCS,60000.000,60000.0,0.000,60000.000,60000.0,0.000,1.000000,1.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,SANO POMACE OLIVE 5 LTR TIN 4 PCS,SANO POMACE OLIVE 5 LTR TIN 4 PCS,12000.000,12000.0,0.000,60000.000,60000.0,0.000,5.000000,5.0
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,1000.000,1000.0,0.000,2000.000,2000.0,0.000,2.000000,2.0
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,1000.000,1000.0,0.000,500.000,500.0,0.000,0.500000,0.5
FG0000158,REFINED COTTON SEED OIL 15 LTR,REFINED COTTON SEED OIL 15 LTR,REFINED COTTON SEED OIL 15 LTR,533.000,533.0,0.000,7995.000,8000.0,5.000,15.000000,15.0
