code,name,pack_type,pack_litres,bottles_per_hour,pieces_180d,line_hours_180d,rs_per_bottle,rs_per_litre
FG0000295,MUSTARD KACHI GHANI 4 LTR 5 PCS,PET,4.0,1500.0,286,0.2,1.159,0.29
FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,PET,1.0,3345.0,320,0.1,0.52,0.52
FG0000296,SUNFLOWER 4 LTR 5 PCS,PET,4.0,1500.0,113,0.1,1.159,0.29
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),PET,1.0,3345.0,281,0.1,0.52,0.52
FG0000416,MUESLI 300 GMS 25 PCS,PET,0.32967032967032966,3345.0,204,0.1,0.52,1.577
FB0000014,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,2,0.0,0.52,0.52
FB0000018,POMACE OLIVE 1 LTR 16 PCS,PET,1.0,3345.0,16,0.0,0.52,0.52
FB0000019,POMACE OLIVE 5 LTR TIN 4 PCS,TIN,5.0,240.0,4,0.0,7.246,1.449
FG0000024,COLD PRESS 1 LTR 24 PCS,PET,1.0,3345.0,54,0.0,0.52,0.52
FG0000045,POMACE OLIVE 500 MLS 24 PCS,PET,0.5,3345.0,1,0.0,0.52,1.04
FG0000118,CANOLA OIL 5 LTR 4 PCS,PET,5.0,1500.0,4,0.0,1.159,0.232
FG0000121,CANOLA OIL 1 LTR 20 PCS,PET,1.0,3345.0,40,0.0,0.52,0.52
FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,PET,5.0,1500.0,4,0.0,1.159,0.232
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,PET,0.2,3345.0,58,0.0,0.52,2.599
FG0000300,SOYABEAN OIL 770 GMS POUCH 12 PCS,POUCH,0.8461538461538461,2100.0,39,0.0,0.828,0.979
FG0000372,POMACE OLIVE 3 LTR TIN 2 PCS,TIN,3.0,240.0,4,0.0,7.246,2.415
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),PET,1.0,3345.0,64,0.0,0.52,0.52
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),PET,1.0,3345.0,111,0.0,0.52,0.52
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),PET,0.5,3345.0,70,0.0,0.52,1.04
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),PET,1.0,3345.0,131,0.0,0.52,0.52
FG0000447,EXTRA LIGHT OLIVE 15 LTR,PET,15.0,1500.0,2,0.0,1.159,0.077
