code,name,group,oih,sold,msl,fg,wip,required_pcs,litres_per_pc,required_litres
FG0000297,SOYABEAN OIL 13 KGS TIN IMPORTED PCS,SOYABEAN,2102.0,586.0,205.1,41.0,0.0,2266.1,0.0,0.0
FG0000312,VEDAKA POMACE 1 LTR 16 PCS,OLIVE,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0
FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,SOYABEAN,2200.0,730.0,255.49999999999997,0.0,0.0,2455.5,0.0,0.0
FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,GHEE,0.0,-147.0,0.0,117.0,0.0,0.0,1.0,0.0
FG0000319,KIRPA DESI GHEE 500 MLS 16 PCS,GHEE,0.0,-2882.0,0.0,2762.0,0.0,0.0,0.5,0.0
FG0000320,YELLOW MUSTARD OIL 1 LTR 16 PCS,MUSTARD,0.0,-34.0,0.0,33.0,0.0,0.0,1.0,0.0
FG0000322,LE CHEF POMACE  1 LTR 16 PCS,OLIVE,0.0,0.0,0.0,3088.0,0.0,0.0,1.0,0.0
FG0000332,VEDAKA SUNFLOWER 5 LTR 4 PCS,SUNFLOWER,0.0,0.0,0.0,32.0,0.0,0.0,5.0,0.0
FG0000334,VEDAKA WOOD PRESSED PEANUT OIL 5 LTR 4 PCS,GROUNDNUT,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0
FG0000344,JIVO PREMIUM OIL GIFT BOX,GIFT PACK,0.0,3.0,1.0499999999999998,282.0,0.0,0.0,1.25,0.0
FG0000348,RICE BRAN OIL 4 LTR 5 PCS,RICE BRAN,0.0,0.0,0.0,634.0,0.0,0.0,4.0,0.0
FG0000349,EXTRA VIRGIN OLIVE 200 MLS 70 PCS,OLIVE,0.0,-2778.0,0.0,2778.0,0.0,0.0,0.2,0.0
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,SESAME,0.0,1080.0,378.0,886.0,0.0,0.0,0.5,0.0
FG0000382,SPICES JEERA 100 GMS 45 PCS,SPICES,0.0,1.0,0.35,0.0,0.0,0.35,0.0,0.0
FG0000386,CHAI 250 GMS 40 PCS,TEA,0.0,211.0,73.85,0.0,0.0,73.85,0.0,0.0
FG0000388,CHANA ALMOND BURFI 500 GMS,GIFT PACK,0.0,1.0,0.35,0.0,0.0,0.35,0.0,0.0
FG0000402,COLD PRESS GROUNDNUT OIL 200 LTR 1 PCS,GROUNDNUT,0.0,0.0,0.0,5.0,0.0,0.0,200.0,0.0
FG0000408,COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS,CANOLA,0.0,-1634.0,0.0,3720.0,0.0,0.0,1.0,0.0
FG0000417,COLD PRESS SUNFLOWER 5LTR 5 PCS,SUNFLOWER,0.0,-15.0,0.0,3.0,0.0,0.0,5.0,0.0
FG0000418,SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE,SOYABEAN,400.0,673.0,235.54999999999998,3996.0,0.0,0.0,1.0,0.0
FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,MUSTARD,0.0,0.0,0.0,8260.0,0.0,0.0,2.0,0.0
FG0000433,POMACE OLIVE 1 LTR + 1 LTR COMBO 8 SET,OLIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FG0000434,EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET,OLIVE,0.0,-152.0,0.0,0.0,0.0,0.0,2.0044,0.0
FG0000448,MUSTARD KACHI GHANI 500 ML 24 PCS,MUSTARD,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
FG0000451,COLD PRESS SUNFLOWER OIL 200 ML 70 PCS,SUNFLOWER,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0
FG0000452,SESAME OIL 500 MLS 12 PCS,SESAME,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
