row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
124,FG0000372,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 3 LTR TIN 6 PCS,3.000,TIN,18.000,6.000,,0.0,6.0,6.0
106,FG0000026,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 15 LTR,15.000,PET,15.000,1.000,,5.0,0.0,5.0
69,FG0000035,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 500 MLS 24 PCS,0.500,PET,12.000,24.000,,0.0,5.0,5.0
17,FG0000070,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,5.0,0.0,5.0
57,FG0000088,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,2.000,PET,20.000,10.000,,0.0,5.0,5.0
172,FG0000440,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,1.000,PET,20.000,20.000,,0.0,5.0,5.0
171,FG0000443,JIVO,COMMODITY,MUSTARD,MUSTARD,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,1.000,PET,20.000,20.000,,0.0,5.0,5.0
174,FG0000448,JIVO,COMMODITY,MUSTARD,MUSTARD,MUSTARD KACHI GHANI 500 ML 24 PCS,0.500,PET,12.000,24.000,,0.0,5.0,5.0
173,FG0000449,JIVO,COMMODITY,MUSTARD,MUSTARD,MUSTARD KACHI GHANI 200 ML 35 PCS,0.200,PET,7.000,35.000,,0.0,5.0,5.0
175,FG0000451,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,0.200,PET,7.000,35.000,,0.0,5.0,5.0
170,FG0000452,JIVO,OTHER PREMIUM,SESAME,SESAME,SESAME OIL 500 MLS 12 PCS,0.500,PET,6.000,12.000,,0.0,5.0,5.0
176,FG0000454,JIVO,OTHER PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT 500 MLS 24 PCS,0.500,PET,12.000,24.000,,0.0,5.0,5.0
58,FG0000362,LA RASOI,PREMIUM,CANOLA,LA RASOI CANOLA,LA RASOI COLD PRESSED CANOLA OIL 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,4.0,0.0,4.0
109,FG0000363,LA RASOI,COMMODITY,MUSTARD,LA RASOI MUSTARD,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,4.0,0.0,4.0
