day,line,code,sku,head,slot,oil,pieces,litres,hours,flush_min,realise,value_rs
2026-08-19,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-20,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-21,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-22,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-24,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-25,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,316.24,4553918
2026-08-26,Tin Head,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2062,10311,8.59,,316.24,3260847
2026-08-26,Tin Head,FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COMMODITY,TIN,RM0000009,791,11867,3.3,6.7,82.8,982542
2026-08-27,Tin Head,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2800,14000,11.67,20.0,243.84,3413716
2026-08-28,Tin Head,FG0000169,REFINED COTTON SEED OIL 13 KGS,COMMODITY,TIN,RM0000030,128,1822,0.53,7.0,145.79,265648
2026-08-28,Tin Head,FG0000158,REFINED COTTON SEED OIL 15 LTR,COMMODITY,TIN,RM0000030,437,6558,1.82,,133.33,874350
2026-08-28,Tin Head,FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,COMMODITY,TIN,RM0000009,361,5413,1.5,6.7,82.8,448236
2026-08-28,Tin Head,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,1820,9099,7.58,20.0,243.84,2218563
2026-08-29,Tin Head,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,2880,14400,12.0,,243.84,3511251
2026-08-31,Tin Head,FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,PREMIUM,TIN,RM0000001,141,706,0.59,,243.84,172258
2026-08-31,Tin Head,FG0000372,POMACE OLIVE 3 LTR TIN 6 PCS,PREMIUM,TIN,RM0000001,532,1596,2.22,,148.33,236735
