code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),COMMODITY,MUSTARD,13,0.7338,10,0.01,14,0.9876,14,0.01,10,14,12,16,12,12
FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,PREMIUM,OLIVE,3,1.1122,4,0.0,13,1.0279,14,0.01,4,14,9,0,15,-5
FG0000108,COLD PRESS SOYABEAN 15 LTR,COMMODITY,SOYABEAN,15,0.7046,11,0.01,6,0.8168,5,0.0,5,11,8,0,45,0
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),PREMIUM,OLIVE,9,1.1122,10,0.01,4,1.0279,4,0.0,4,10,7,5,8,15
FG0000447,EXTRA LIGHT OLIVE 15 LTR,PREMIUM,OLIVE,10,1.1122,11,0.01,4,1.0279,4,0.0,4,11,7,0,30,0
FG0000158,REFINED COTTON SEED OIL 15 LTR,COMMODITY,COTTON SEED,10,0.8259,8,0.01,4,0.5931,2,0.0,2,8,5,0,30,0
FG0000198,SPICES CINNAMON 100 GMS,OTHERS,SPICES,0,0.8866,0,0.0,6,0.9667,6,0.01,0,6,3,0,0,0
FG0000022,COLD PRESS 2 LTR 10 PCS,PREMIUM,CANOLA,4,1.0155,4,0.0,-1,0.9678,-1,-0.0,-1,4,2,0,12,0
FG0000223,JIVO DESI GHEE 1 LTR 16 PCS,PREMIUM,GHEE,39,0.8791,35,0.03,-48,0.9203,-44,-0.04,-44,35,-5,0,118,0
FG0000191,SOYABEAN OIL 15 LTR,COMMODITY,SOYABEAN,95,0.7046,67,0.07,-159,0.8168,-130,-0.13,-130,67,-32,0,285,0
