kind,code,name,uom,qty_aug01,planned_august,note
WIP,FG0000455,EXTRA VIRGIN OLIVE 3 LTR TIN 5 PCS,PCS,660,,WO 726203049 closed-after-1Aug/standard posted=2026-07-31 due=2026-07-31 whs=BH-PF planned=660 completed_by_1Aug=0 | BACKDATED-created 2026-08-03 so did NOT exist on 1-Aug; no output yet
WIP,FG0000233,SPICES CLOVES 100 GMS PCS,PCS,544,,WO 1225926582 Released/standard posted=2025-12-10 due=2025-12-10 whs=BH-PF planned=544 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,PCS,540,,WO 526202702 Released/standard posted=2026-05-19 due=2026-05-19 whs=BH-GR planned=540 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,PCS,432,48000,WO 825926672 Planned/standard posted=2025-08-17 due=2025-08-17 whs=BH-PF planned=432 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000015,REFINED OIL 15 LTR,PCS,428,4000,WO 1025926748 Planned/standard posted=2025-10-31 due=2025-10-31 whs=BH-PF planned=428 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000015,REFINED OIL 15 LTR,PCS,300,4000,WO 1025926764 Planned/standard posted=2025-10-31 due=2025-10-31 whs=BH-PF planned=300 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000149,JIVO GOLD 1 LTR 20 PCS,PCS,220,33000,WO 1125926586 Released/standard posted=2025-11-11 due=2025-11-11 whs=BH-PF planned=220 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,PCS,216,,WO 126926841 Released/standard posted=2026-01-31 due=2026-01-31 whs=BH-PF planned=216 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000015,REFINED OIL 15 LTR,PCS,200,4000,WO 725926512 Planned/standard posted=2025-07-04 due=2025-07-04 whs=BH-PF planned=200 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,PCS,176,70000,WO 725926736 Planned/standard posted=2025-07-24 due=2025-07-24 whs=BH-PF planned=176 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000159,COLD PRESS 4 LTR + 1 LTR 5 PCS,PCS,145,,WO 125027052 Planned/standard posted=2025-01-29 due=2025-01-29 whs=BH-PF planned=145 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),PCS,100,10000,WO 126926607 Released/standard posted=2026-01-10 due=2026-01-10 whs=BH-PF planned=100 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000318,KIRPA DESI GHEE 1 LTR 12 PCS,PCS,64,,WO 1125926598 Released/standard posted=2025-11-11 due=2025-11-11 whs=BH-PF planned=64 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),PCS,53,,WO 725926601 Planned/standard posted=2025-07-11 due=2025-07-11 whs=BH-PF planned=53 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000016,REFINED OIL 2 LTR,PCS,47,3000,WO 126926603 Released/standard posted=2026-01-09 due=2026-01-09 whs=BH-PF planned=47 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000004,COLD PRESS 5 LTR 4 PCS,PCS,40,45000,WO 326926679 Released/DISASSEMBLY posted=2026-03-25 due=2026-03-25 whs=BH-GR planned=40 completed_by_1Aug=0 | disassembly order; no output yet; STALE posted>30d before 1-Aug
WIP,FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PCS,17,1000,WO 126926540 Released/standard posted=2026-01-05 due=2026-01-05 whs=BH-PF planned=17 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,RM0000009,REFINED SUNFLOWER OIL,LTR,15,,WO 726203048 closed-after-1Aug/special posted=2026-07-31 due=2026-07-31 whs=BH-LO planned=15 completed_by_1Aug=0 | BACKDATED-created 2026-08-01 so did NOT exist on 1-Aug; no output yet
WIP,FG0000317,SOYABEAN OIL 15 KGS TIN IMP PCS,PCS,10,,WO 1025926667 Planned/standard posted=2025-10-24 due=2025-10-24 whs=BH-PF planned=10 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000128,JIVO GOLD 5 LTR 4 PCS,PCS,10,6000,WO 526202689 Released/standard posted=2026-05-19 due=2026-05-19 whs=BH-GR planned=10 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000028,POMACE OLIVE 1 LTR 16 PCS,PCS,7,160000,WO 326926521 Released/DISASSEMBLY posted=2026-03-05 due=2026-03-05 whs=BH-GR planned=7 completed_by_1Aug=0 | disassembly order; no output yet; STALE posted>30d before 1-Aug
