code,sku,head,category,pack_type,plan_kl,litres,real_mt,litres_per_piece,lpc_source,pieces,sheet_per_ltrs,sheet_box_lpc,sheet_pcs_lpc,hand_filled,flags
FG0000363,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,COMMODITY,MUSTARD,PET,4.0,4000.0,3.64,2.0,ltr in name,2000,2.0,2.0,,,
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,PREMIUM,EXTRA VIRGIN,PET,3.0,3000.0,2.73,1.0,ltr in name,3000,1.0,1.0,,,
FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,PREMIUM,EXTRA LIGHT,TIN,3.0,3000.0,2.73,3.0,ltr in name,1000,3.0,3.0,,,
FG0000137,SANO MUSTARD OIL 5 LTR 4 PCS,COMMODITY,MUSTARD,PET,2.0,2000.0,1.82,5.0,ltr in name,400,5.0,5.0,,,
FG0000155,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,PREMIUM,EXTRA VIRGIN,PET,2.0,2000.0,1.82,2.0,ltr in name,1000,2.0,2.0,,,
FG0000006,POMACE OLIVE 200 LTR 1 PCS,PREMIUM,POMACE,DRUM,1.0,1000.0,0.91,200.0,200 L drum (hand-filled),5,200.0,200.0,,Y,HAND_FILLED
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,OTHER PREMIUM,SESAME,PET,1.0,1000.0,0.91,0.5,ml in name,2000,0.5,0.5,,,
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,PREMIUM,EXTRA LIGHT,PET,0.5,500.0,0.455,0.5,ml in name,1000,0.5,0.5,,,
FG0000112,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,PREMIUM,EXTRA VIRGIN,PET,0.5,500.0,0.455,0.25,ml in name,2000,0.25,0.25,,,
FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,PREMIUM,COCONUT,PET,0.5,500.0,0.455,0.5,ml in name,1000,0.5,0.5,,,
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,PREMIUM,COCONUT,PET,0.5,500.0,0.455,0.2,ml in name,2500,0.2,0.2,,,
FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,PREMIUM,EXTRA VIRGIN,PET,0.3,300.0,0.273,0.01,ml in name,30000,0.01,0.01,,,
