code,name,uom,po_docnum,vendor,order_date,due_date,qty_ordered,qty_received_by_aug1,qty_open_aug1,days_late_vs_due
CG0000005,HOUSEKEEPING,PCS,1124226580,VISHAL TYAGI IMPREST (3L),2024-11-15,2024-11-20,20.000000,0.000000,20.000000,619
CG0000015,REFRESHMENT,PCS,126226528,ISHWAR KIRYANA STORE,2026-01-08,2026-01-15,20.000000,0.000000,20.000000,198
CG0000031,BARCODE LABELS,PCS,1124226694,BHAGWATI INDUSTRIES,2024-11-20,2024-12-28,20.000000,0.000000,20.000000,581
CF0000002,INSTALLATION PARTS ( MUSTARD OIL FULLY AUTOMATIC MONOBLOCK VOLUMETRIC FILLER & CAPPER-FA0000031 ),PCS,525226650,BOTTMAC INDIA PVT LTD,2025-05-30,2025-06-20,18.000000,0.000000,18.000000,407
CF0000002,INSTALLATION PARTS ( MUSTARD OIL FULLY AUTOMATIC MONOBLOCK VOLUMETRIC FILLER & CAPPER-FA0000031 ),PCS,525226650,BOTTMAC INDIA PVT LTD,2025-05-30,2025-06-20,18.000000,0.000000,18.000000,407
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,725226547,JASMINE ELEVATORS & CRANES,2025-07-09,2025-07-20,18.000000,0.000000,18.000000,377
CG0000007,REPAIR AND MAINTENACE BUILDING AND OFFICE,PCS,1224226594,RAKESH,2024-12-05,2024-12-18,17.000000,0.000000,17.000000,591
CG0000034,INSTALLATION PARTS 50 KL TANK (FA0000024) (1213006),PCS,220426076,INDUSTRIAL AIDERS,2026-04-01,2026-04-20,300.000000,284.000000,16.000000,103
CG0000068,BUILDING ITEM/HARDWARE ITEM FOR PEB SHED NEW LAND 2 ACRE,PCS,220726049,SHREE RAM RMC,2026-07-01,2026-07-13,23.000000,8.000000,15.000000,19
CG0000005,HOUSEKEEPING,PCS,1124226580,VISHAL TYAGI IMPREST (3L),2024-11-15,2024-11-20,15.000000,0.000000,15.000000,619
CG0000005,HOUSEKEEPING,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,15.000000,0.000000,15.000000,632
CG0000007,REPAIR AND MAINTENACE BUILDING AND OFFICE,PCS,1225226642,EKTA REFRIGERATION AND ELECTRONICS CKUPS7267M,2025-12-27,2025-12-30,15.000000,0.000000,15.000000,214
CG0000005,HOUSEKEEPING,PCS,1124226654,VISHAL TYAGI IMPREST (3L),2024-11-01,2024-11-30,15.000000,0.000000,15.000000,609
CG0000005,HOUSEKEEPING,PCS,1024226714,VISHAL TYAGI IMPREST (3L),2024-10-08,2024-11-06,15.000000,0.000000,15.000000,633
CG0000012,MAKEUP CARTRIDGE,PCS,425226582,DIGICOD FLUIDS & MACHINERY,2025-04-15,2025-04-17,15.000000,0.000000,15.000000,471
CG0000034,INSTALLATION PARTS 50 KL TANK (FA0000024) (1213006),PCS,220426017,INDUSTRIAL AIDERS,2026-04-07,2026-04-30,12.000000,0.000000,12.000000,93
CG0000005,HOUSEKEEPING,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,12.000000,0.000000,12.000000,632
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,220726131,BANSAL WELD PRIVATE LIMITED,2026-07-25,2026-07-30,12.000000,0.000000,12.000000,2
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,220726131,BANSAL WELD PRIVATE LIMITED,2026-07-25,2026-07-30,12.000000,0.000000,12.000000,2
FG0000269,SWEETS BESAN BURFI 1 KGS,PCS,1025226526,INDIYUM FOODS PRIVATE LIMITED,2025-10-05,2025-10-25,3200.000000,3188.000000,12.000000,280
CG0000027,HARDWARE ( MEZZANINE FLOOR-GUPTA GODOWN) (1212011),PCS,225226535,RAKESH WELDING WORKSHOP,2025-02-05,2025-02-11,10.000000,0.000000,10.000000,536
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,1024226726,HOSE EXPERT,2024-10-15,2024-11-07,10.000000,0.000000,10.000000,632
CG0000005,HOUSEKEEPING,PCS,1124226580,VISHAL TYAGI IMPREST (3L),2024-11-15,2024-11-20,10.000000,0.000000,10.000000,619
CG0000034,INSTALLATION PARTS 50 KL TANK (FA0000024) (1213006),PCS,220426076,INDUSTRIAL AIDERS,2026-04-01,2026-04-20,50.000000,40.000000,10.000000,103
