code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000727,CAPS 1 & 2 LTR WHITE AND RED-ORANGE WITH LOGO YMO,CAPS,PCS,1,BUY,29030.55,17361.00,3000.00,11669.55,8669.55,22.4,MAHESHWARI CAPS PVT LTD,22.4,MAHESHWARI CAPS PVT LTD
PM0000307,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL BACK,LABEL,PCS,1,BUY,29030.55,36648.00,7800.00,-7617.45,-15417.45,15.0,ROYAL PRIME LABELS,15.0,ROYAL PRIME LABELS
PM0000308,LABEL 1 LTR PRESSED YELLOW MUSTARD OIL FRONT,LABEL,PCS,1,BUY,29030.55,36589.00,7800.00,-7558.45,-15358.45,15.0,ROYAL PRIME LABELS,15.0,ROYAL PRIME LABELS
PM0000427,LABEL 5 LTR GROUNDNUT FRONT,LABEL,PCS,1,BUY,22644.15,11844.00,36100.00,10800.15,-25299.85,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000428,LABEL 5 LTR GROUNDNUT BACK,LABEL,PCS,1,BUY,22644.15,11848.00,36100.00,10796.15,-25303.85,6.5,ROYAL PRIME LABELS,27.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000864,LABEL 1 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,1,BUY,22191.10,61991.00,100000.00,-39799.90,-139799.90,4.3,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000125,PET BOTTLE 500 MLS 34 GMS,PET BOTTLES,PCS,1,BUY,18152.00,97753.00,125560.00,-79601.00,-205161.00,9.0,TPAC PACKAGING INDIA PVT LTD II,11.7,TPAC PACKAGING INDIA PVT LTD
PM0000251,PET BOTTLE 2 LTR 80 GMS YELLOW HANDLE,PET BOTTLES,PCS,1,BUY,13260.00,23740.00,32612.00,-10480.00,-43092.00,36.0,TPAC PACKAGING INDIA PVT LTD II,36.0,TPAC PACKAGING INDIA PVT LTD II
PM0000126,LABEL 500 MLS COLD PRESS FRONT,LABEL,PCS,1,BUY,13216.00,26816.00,0.00,-13600.00,-13600.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000127,LABEL 500 MLS COLD PRESS BACK,LABEL,PCS,1,BUY,13216.00,22615.00,0.00,-9399.00,-9399.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000470,CAPS 5 LTR ORANGE,CAPS,PCS,1,BUY,11200.35,34476.00,57260.00,-23275.65,-80535.65,11.5,A A ENTERPRISES,39.3,ECHO PLAST INDIA
PM0000233,LABEL 5 LTR SUNFLOWER FRONT,LABEL,PCS,1,BUY,11200.35,39396.00,8534.00,-28195.65,-36729.65,10.0,ROYAL PRIME LABELS,10.0,ROYAL PRIME LABELS
PM0000232,LABEL 5 LTR SUNFLOWER BACK,LABEL,PCS,1,BUY,11200.35,40001.00,8074.00,-28800.65,-36874.65,10.0,ROYAL PRIME LABELS,10.0,ROYAL PRIME LABELS
PM0000881,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE FRONT,GROUNDNUT,PCS,1,BUY,11029.00,36380.00,0.00,-25351.00,-25351.00,4.0,PACKGEN INTERNATIONAL PVT LTD,10.7,ROYAL PRIME LABELS
PM0000880,LABEL 2 LTR GROUNDNUT HANDLE BOTTLE BACK,GROUNDNUT,PCS,1,BUY,11029.00,36380.00,0.00,-25351.00,-25351.00,4.0,PACKGEN INTERNATIONAL PVT LTD,10.7,ROYAL PRIME LABELS
PM0000900,LABEL 200 ML CP KACHI GHANI FRONT,LABEL,PCS,1,BUY,7710.00,24410.00,0.00,-16700.00,-16700.00,6.0,ROYAL PRIME LABELS,6.0,ROYAL PRIME LABELS
PM0000901,LABEL 200 ML CP KACHI GHANI BACK,LABEL,PCS,1,BUY,7710.00,24410.00,0.00,-16700.00,-16700.00,6.0,ROYAL PRIME LABELS,6.0,ROYAL PRIME LABELS
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,LABEL,PCS,1,BUY,6890.35,5299.00,504.00,1591.35,1087.35,5.5,ROYAL PRIME LABELS,5.5,ROYAL PRIME LABELS
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,LABEL,PCS,1,BUY,6890.35,5299.00,504.00,1591.35,1087.35,5.5,ROYAL PRIME LABELS,5.5,ROYAL PRIME LABELS
