code,sku,week,litres
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,1,2500.0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,2,2500.0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,3,2500.0
FG0000143,COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,4,2500.0
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,1,8750.0
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,2,8750.0
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,3,8750.0
FG0000005,EXTRA LIGHT OLIVE 1 LTR 16 PCS,4,8750.0
FG0000191,SOYABEAN OIL 15 LTR,1,18750.0
FG0000191,SOYABEAN OIL 15 LTR,2,18750.0
FG0000191,SOYABEAN OIL 15 LTR,3,18750.0
FG0000191,SOYABEAN OIL 15 LTR,4,18750.0
FG0000015,REFINED OIL 15 LTR,1,15000.0
FG0000015,REFINED OIL 15 LTR,2,15000.0
FG0000015,REFINED OIL 15 LTR,3,15000.0
FG0000015,REFINED OIL 15 LTR,4,15000.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,1,7500.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,2,7500.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,3,7500.0
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,4,7500.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,1,8750.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,2,8750.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,3,8750.0
FG0000151,SANO POMACE OLIVE 5 LTR TIN 4 PCS,4,8750.0
FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),1,15000.0
FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),2,15000.0
FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),3,15000.0
FG0000407,COLD PRESS 1 LTR 20 PCS (NIRMAL RISHI),4,15000.0
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,1,15000.0
