run_id,date,line,run_number,item_code,product,pack_litres,pieces_per_case,litres_per_case,status,live_status,required_cases,produced_cases_closeout,produced_cases_segment_sum,closeout_minus_segments,produced_litres_closeout,rated_speed_used,preset_for_this_pack,rated_matches_a_preset,total_running_minutes,productive_segment_minutes,segments,achieved_pieces_per_hour,pct_of_rated,breakdown_count,breakdown_minutes,breakdown_categories,breakdown_reasons,header_breakdown_time,waste_pieces_logged,waste_materials,rejected_qty,reworked_qty,line_clearance_status,clearance_all_checks_passed,clearance_qa_latency_min,supervisor,labour_count,sap_sync_status,sap_doc_entry,warehouse_approval
201,2026-08-13,10 Head,1,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,800.00,867.0,450.0,417.0,13872.0,2100.0,2100,yes,651,61,4,13645.0,649.8,0,0,,,0,665.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR POMACE 16 PCS|LABEL 1 LTR GROUNDNUT BACK|LABEL 1 LTR GROUNDNUT FRONT|PET BOTTLE 1 LTR 52 GMS POMACE,0.0,0.0,CLEARED,True,16.9,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
202,2026-08-13,6 Head,2,FG0000192,SOYABEAN OIL 5 LTR 4 PCS,5.0,4,20,COMPLETED,COMPLETED,600.00,108.0,180.0,-72.0,2160.0,600.0,600,yes,202,202,1,128.0,21.3,0,0,,,0,42.0,CAPS 5 LTR BLUE|CARTON 5 LTR 4 PCS|HDPE BOTTLE 5 LTR OLIVE GREEN|LABEL 5 LTR SOYABEAN BACK|LABEL 5 LTR SOYABEAN FRONT,0.0,0.0,CLEARED,True,14.7,Ravi,17,NOT_APPLICABLE,,PARTIALLY_APPROVED
205,2026-08-13,6 Head,5,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,2.0,10,20,COMPLETED,COMPLETED,500.00,550.0,80.0,470.0,11000.0,720.0,720,yes,487,68,4,4853.0,674.0,0,0,,,0,102.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 2 LTR 10 PCS|LABEL 2 LTR KACHCHI GHANI BACK|LABEL 2 LTR KACHCHI GHANI FRONT|PET BOTTLE 2 LTR 66 GMS,0.0,0.0,CLEARED,True,2.4,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
204,2026-08-13,Clear Pack,4,FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,1.0,10,2,COMPLETED,COMPLETED,600.00,668.0,380.0,288.0,1336.0,4800.0,4800,yes,629,293,4,1368.0,28.5,0,0,,,0,654.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR 20 PCS PET 40 GM|LABEL 1 LTR KACHCHI GHANI BACK|LABEL 1 LTR KACHCHI GHANI FRONT|PET BOTTLE 1 LTR 40 GMS,0.0,0.0,CLEARED,True,2.0,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
203,2026-08-13,JP Machine,3,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.0,20,20,COMPLETED,COMPLETED,1000.00,477.0,405.0,72.0,9540.0,5400.0,5400,yes,265,200,2,2862.0,53.0,0,0,,,0,2452.0,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN|CARTON 1 LTR 20 PCS PET 26GM|LABEL 1 LTR KACHCHI GHANI BACK|LABEL 1 LTR KACHCHI GHANI FRONT|PET BOTTLE 1 LTR 26 GM,0.0,0.0,CLEARED,True,8.2,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
208,2026-08-14,10 Head,3,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,1000.00,800.0,375.0,425.0,12800.0,2100.0,2100,yes,768,268,3,2866.0,136.5,0,0,,,0,717.0,CAPS 1 & 2 LTR FULL GREEN WITH LOGO|CARTON 1 LTR POMACE 16 PCS|LABEL 1 LTR POMACE BACK|LABEL 1 LTR POMACE FRONT|PET BOTTLE 1 LTR 52 GMS POMACE,0.0,0.0,CLEARED,True,20.5,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
207,2026-08-14,6 Head,2,FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,2.0,10,20,COMPLETED,COMPLETED,800.00,715.0,240.0,475.0,14300.0,720.0,720,yes,686,187,3,2294.0,318.6,0,0,,,0,209.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 2 LTR 10 PCS|LABEL 2 LTR KACHCHI GHANI BACK|LABEL 2 LTR KACHCHI GHANI FRONT|PET BOTTLE 2 LTR 66 GMS,0.0,0.0,CLEARED,True,24.1,Ravi,17,NOT_APPLICABLE,,PARTIALLY_APPROVED
206,2026-08-14,Clear Pack,1,FG0000429,MUSTARD KACHI GHANI 1 LTR + 1 LTR COMBO 10 SET PLAIN,1.0,10,2,COMPLETED,COMPLETED,800.00,697.0,400.0,297.0,1394.0,4800.0,4800,yes,767,269,3,1555.0,32.4,0,0,,,0,2003.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR 20 PCS PET 40 GM|LABEL 1 LTR KACHCHI GHANI BACK|LABEL 1 LTR KACHCHI GHANI FRONT|PET BOTTLE 1 LTR 40 GMS|SHRINKS 1 LTR 235X31,0.0,0.0,CLEARED,True,30.0,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
209,2026-08-14,Pouch Machine,4,FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,1.0,12,12,COMPLETED,COMPLETED,1400.00,1100.0,280.0,820.0,13200.0,1800.0,1800,yes,783,172,3,4605.0,255.8,0,0,,,0,24.0,CARTON 1 LTR 12 POUCHES,0.0,0.0,CLEARED,True,3.8,Hardeep,12,NOT_APPLICABLE,,PARTIALLY_APPROVED
212,2026-08-17,10 Head,2,FG0000028,POMACE OLIVE 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,1000.00,821.0,375.0,446.0,13136.0,2100.0,2100,yes,716,394,3,2000.0,95.2,0,0,,,0,531.0,CAPS 1 & 2 LTR FULL GREEN WITH LOGO|CARTON 1 LTR POMACE 16 PCS|LABEL 1 LTR POMACE BACK|LABEL 1 LTR POMACE FRONT|PET BOTTLE 1 LTR 52 GMS POMACE,0.0,0.0,CLEARED,True,46.2,Ravi,1000,NOT_APPLICABLE,,PARTIALLY_APPROVED
