code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,22000,1970,0,20030,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,20030,20030.0,22000.0,1.0,0.0,0.0,RM0000001,0,
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,10000,0,0,10000,0,0,RM0000011,GROUNDNUT LOOSE OIL,RM0000011,GROUNDNUT LOOSE OIL,10000,20000.0,20000.0,2.0,0.0,0.0,RM0000011,0,
FG0000043,COLD PRESS 3 LTR 6 PCS,6667,20,0,6647,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,6647,19941.0,20000.0,3.0,0.0,0.0,RM0000002,0,
FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,60000,12540,28128,19332,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,19332,19332.0,60000.0,1.0,0.0,0.0,RM0000001,28128,
FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,105000,10710,0,94290,0,0,RM0000011,GROUNDNUT LOOSE OIL,RM0000011,GROUNDNUT LOOSE OIL,94290,18858.0,21000.0,0.2,0.0,0.0,RM0000011,0,
FG0000275,COLD PRESS SUNFLOWER OIL 15 LTR,2000,848,0,1152,0,0,RM0000009,REFINED SUNFLOWER OIL,RM0000009,REFINED SUNFLOWER OIL,1152,17280.0,30000.0,15.0,0.0,0.0,RM0000009,0,
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,3400,108,0,3292,2,2,PM0000260,TIN 5 LTR SO OLIVE PRINTED,PM0000260,TIN 5 LTR SO OLIVE PRINTED,3290,16450.0,17000.0,5.0,10.0,10.0,PM0000260,0,
FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,3000,12,0,2988,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,2988,14940.0,15000.0,5.0,0.0,0.0,RM0000003,0,
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,5200,2311,0,2889,0,0,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,PM0000094,SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,2889,14445.0,26000.0,5.0,0.0,0.0,PM0000053,0,
FG0000009,EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS,4600,2065,0,2535,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,2535,12675.0,23000.0,5.0,0.0,0.0,RM0000001,0,
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,15000,806,0,14194,1527,1527,RM0000040,SO OLIVE OIL,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,12667,12667.0,15000.0,1.0,1527.0,1527.0,RM0000040,0,
FG0000106,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,20000,277,8000,11723,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,11723,11723.0,20000.0,1.0,0.0,0.0,RM0000003,8000,
FG0000445,RICE BRAN OIL 15 KGS,607,0,0,607,0,0,PM0000895,LABEL 15 KG REFINED RICE BRAN OIL,PM0000895,LABEL 15 KG REFINED RICE BRAN OIL,607,10005.5,10000.0,16.4835,0.0,0.0,PM0000895,0,
FG0000132,RICE BRAN OIL 15 LTR,667,0,0,667,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,667,10005.0,10000.0,15.0,0.0,0.0,RM0000002,0,
FG0000158,REFINED COTTON SEED OIL 15 LTR,667,0,0,667,0,0,RM0000030,REFINED COTTON OIL,RM0000030,REFINED COTTON OIL,667,10003.0,10000.0,15.0,2.0,2.0,RM0000030,0,
FG0000021,REFINED OIL 1 LTR POUCH 12 PCS (MULTI PACK),10400,1116,0,9284,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,9284,9284.0,10400.0,1.0,0.0,0.0,RM0000002,0,
