code,name,uom,onhand_aug01,onhand_now,net_moved_since,required_august,cover_pct
PM0000360,LABEL 5 LTR GOLD BACK NEW,PCS,0.0,17596.0,17596.0,6000.0,0.0
PM0000186,HDPE BOTTLE 5 LTR OLIVE GREEN,PCS,0.0,88.0,88.0,6000.0,0.0
PM0000289,LABEL 5 LTR SOYABEAN FRONT,PCS,6127.0,8640.0,2513.0,6000.0,102.12
PM0000288,LABEL 5 LTR SOYABEAN BACK,PCS,5627.0,8200.0,2573.0,6000.0,93.78
PM0000026,LABEL 1 LTR REFINED FRONT,PCS,16360.0,10513.0,-5847.0,6000.0,272.67
PM0000025,LABEL 1 LTR REFINED BACK,PCS,17160.0,9442.0,-7718.0,6000.0,286.0
PM0000403,TIKKI 100 MLS MUSTARD FREE,PCS,32758.0,31000.0,-1758.0,6000.0,545.97
PM0000524,LABEL 5 LTR RICE BRAN OIL FRONT,PCS,25950.0,9495.0,-16455.0,5200.0,499.04
PM0000525,LABEL 5 LTR RICE BRAN OIL BACK,PCS,26700.0,9365.0,-17335.0,5200.0,513.46
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,PCS,0.0,91.0,91.0,5000.0,0.0
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,PCS,0.0,86.0,86.0,5000.0,0.0
PM0000892,LABEL 1 LTR PRESSED SUNFLOWER OIL FRONT,PCS,0.0,5236.0,5236.0,5000.0,0.0
PM0000893,LABEL 1 LTR PRESSED SUNFLOWER OIL BACK,PCS,0.0,5179.0,5179.0,5000.0,0.0
PM0000609,LABEL 15 KGS REFINED SOYBEAN OIL PCS,PCS,34589.0,34589.0,0.0,4853.0,712.73
PM0000077,TIN 5 LTR EXTRA LIGHT OLIVE PRINTED,PCS,3730.0,3323.0,-407.0,4600.0,81.09
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,PCS,0.0,4168.0,4168.0,4600.0,0.0
PM0000634,CARTON 1 LTR 20 PCS SANO,PCS,2586.0,1644.8,-941.2,4250.0,60.85
PM0000031,LABEL 15 LTR REFINED CANOLA,PCS,803.0,2369.0,1566.0,4000.0,20.08
PM0000008,CARTON 15 LTR 1 PCS,PCS,71.0,2962.0,2891.0,4000.0,1.77
PM0000349,LABEL 2 LTR POMACE HANDLE BOTTLE FRONT,PCS,2500.0,0.0,-2500.0,4000.0,62.5
PM0000350,LABEL 2 LTR POMACE HANDLE BOTTLE BACK,PCS,2500.0,300.0,-2200.0,4000.0,62.5
PM0000331,LABEL 250 GMS EXTRA LIGHT FRONT,PCS,5982.0,3020.0,-2962.0,4000.0,149.55
PM0000332,LABEL 250 GMS EXTRA LIGHT BACK,PCS,6038.0,3020.0,-3018.0,4000.0,150.95
PM0000587,PET BOTTLE 250 ML BOTTLES,PCS,568.0,0.0,-568.0,4000.0,14.2
PM0000333,CAPS 250 MLS GLASS BOTTLE,PCS,0.0,1442.0,1442.0,4000.0,0.0
PM0000155,SHRINKS NECK 500 MLS PRINTED EXTRA VIRGIN OLIVE,PCS,0.0,1002.0,1002.0,4000.0,0.0
PM0000009,CARTON 2 LTR 10 PCS,PCS,4000.0,1830.0,-2170.0,3800.0,105.26
PM0000657,CARTON 1 LTR 16 PCS SANO,PCS,5382.0,4245.0,-1137.0,3750.0,143.52
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,PCS,1949.005,1051.505,-897.5,3750.0,51.97
PM0000560,PET BOTTLE 2 LTR 80 GRM (GREEN HANDLE),PCS,1595.0,106.0,-1489.0,3500.0,45.57
PM0000260,TIN 5 LTR SO OLIVE PRINTED,PCS,2.0,2.0,0.0,3400.0,0.06
PM0000254,CARTON 2 LTR 10 PCS HANDLE BOTTLE,PCS,1269.0,3753.3,2484.3,3100.0,40.94
PM0000632,CARTON 5 LTR TIN OLIVE 4 PCS SANO,PCS,2196.0,1424.0,-772.0,3000.0,73.2
PM0000050,LABEL 5 LTR PAKKI GHANI FRONT,PCS,2550.0,2795.0,245.0,3000.0,85.0
PM0000049,LABEL 5 LTR PAKKI GHANI BACK,PCS,2600.0,2846.0,246.0,3000.0,86.67
