code,name,head,group,base_l,mult,proj_l,proj_t,baseB_l,multB,projB_l,projB_t,low_l,high_l,mid_l,2026_06,2026_07,2026_08
FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),COMMODITY,MUSTARD,13,0.5867,8,0.01,14,0.8916,12,0.01,8,12,10,16,12,12
FG0000283,COFFIE 100 GMS 15 PCS,OTHERS,COFFEE,10,0.7208,7,0.01,10,0.8413,9,0.01,7,9,8,12,3,14
FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,PREMIUM,OLIVE,3,0.9054,3,0.0,12,0.9193,11,0.01,3,11,7,0,15,-5
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),PREMIUM,OLIVE,9,0.9054,8,0.01,4,0.9193,4,0.0,4,8,6,5,8,15
FG0000388,CHANA ALMOND BURFI 500 GMS,OTHERS,GIFT PACK,4,0.7209,3,0.0,10,0.8306,9,0.01,3,9,6,11,1,0
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,PREMIUM,BLENDED,12,0.698,8,0.01,5,0.7338,3,0.0,3,8,6,2,0,33
FG0000447,EXTRA LIGHT OLIVE 15 LTR,PREMIUM,OLIVE,10,0.9054,9,0.01,4,0.9193,3,0.0,3,9,6,0,30,0
FG0000108,COLD PRESS SOYABEAN 15 LTR,COMMODITY,SOYABEAN,15,0.566,8,0.01,6,0.7071,4,0.0,4,8,6,0,45,0
FG0000083,DESI GHEE A2 1 LTR 9 PCS,PREMIUM,GHEE,2,0.7221,1,0.0,10,0.8223,8,0.01,1,8,5,20,-28,13
FG0000158,REFINED COTTON SEED OIL 15 LTR,COMMODITY,COTTON SEED,10,0.6718,7,0.01,4,0.5481,2,0.0,2,7,4,0,30,0
FG0000221,JIVO HONEY 500 GMS,OTHERS,HONEY,0,0.7207,0,0.0,7,0.841,5,0.01,0,5,3,0,1,0
FG0000022,COLD PRESS 2 LTR 10 PCS,PREMIUM,CANOLA,4,0.9043,4,0.0,-1,0.8947,-1,-0.0,-1,4,1,0,12,0
FG0000198,SPICES CINNAMON 100 GMS,OTHERS,SPICES,0,0.7207,0,0.0,1,0.8412,1,0.0,0,1,0,0,0,0
FG0000045,POMACE OLIVE 500 MLS 24 PCS,PREMIUM,OLIVE,0,0.9054,0,0.0,0,0.9193,0,0.0,0,0,0,0,1,0
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,COMMODITY,MUSTARD,0,0.5867,0,0.0,0,0.8916,0,0.0,0,0,0,0,1,0
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,COMMODITY,SUNFLOWER,0,1.2015,0,0.0,0,1.1943,0,0.0,0,0,0,0,1,0
