date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2025-02-27,BH-SC (overflow / secondary),501,,0,501,,,,,501,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-02-28,BH-PF,24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-02-28,OIL-FG-TOTAL (BH-BT+BH-PF),24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-02-28,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-02-28,BH-FG (overflow / secondary),507647,,0,507647,,,,,507647,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-02-28,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-01,BH-PF,24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-01,OIL-FG-TOTAL (BH-BT+BH-PF),24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-01,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-01,BH-FG (overflow / secondary),490913,,0,490913,,,,,490913,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-01,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-02,BH-PF,24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-02,OIL-FG-TOTAL (BH-BT+BH-PF),24757,0,0,24757,377000,352243,6.6,0,24757,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-02,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-02,BH-FG (overflow / secondary),490913,,0,490913,,,,,490913,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-02,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-03,BH-PF,25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-03,OIL-FG-TOTAL (BH-BT+BH-PF),25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-03,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-03,BH-FG (overflow / secondary),489621,,0,489621,,,,,489621,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-03,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-04,BH-PF,25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-04,OIL-FG-TOTAL (BH-BT+BH-PF),25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-04,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-04,BH-FG (overflow / secondary),471474,,0,471474,,,,,471474,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-04,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-05,BH-PF,25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-05,OIL-FG-TOTAL (BH-BT+BH-PF),25585,0,0,25585,377000,351415,6.8,0,25585,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-05,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-05,BH-FG (overflow / secondary),442264,,0,442264,,,,,442264,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-05,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-06,BH-PF,86761,0,0,86761,377000,290239,23.0,0,86761,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-06,OIL-FG-TOTAL (BH-BT+BH-PF),86761,0,0,86761,377000,290239,23.0,0,86761,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-06,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-06,BH-FG (overflow / secondary),474014,,0,474014,,,,,474014,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-06,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-07,BH-PF,65253,0,0,65253,377000,311747,17.3,0,65253,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-07,OIL-FG-TOTAL (BH-BT+BH-PF),65253,0,0,65253,377000,311747,17.3,0,65253,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-07,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-07,BH-FG (overflow / secondary),522305,,0,522305,,,,,522305,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-07,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-08,BH-PF,67811,0,0,67811,377000,309189,18.0,0,67811,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-08,OIL-FG-TOTAL (BH-BT+BH-PF),67811,0,0,67811,377000,309189,18.0,0,67811,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-08,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-08,BH-FG (overflow / secondary),511177,,0,511177,,,,,511177,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-08,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-09,BH-PF,71527,0,0,71527,377000,305473,19.0,0,71527,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-09,OIL-FG-TOTAL (BH-BT+BH-PF),71527,0,0,71527,377000,305473,19.0,0,71527,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-09,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-09,BH-FG (overflow / secondary),566397,,0,566397,,,,,566397,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-09,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-10,BH-PF,52753,0,0,52753,377000,324247,14.0,0,52753,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-10,OIL-FG-TOTAL (BH-BT+BH-PF),52753,0,0,52753,377000,324247,14.0,0,52753,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-10,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-10,BH-FG (overflow / secondary),552661,,0,552661,,,,,552661,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-10,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-11,BH-PF,85072,0,0,85072,377000,291928,22.6,0,85072,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-11,OIL-FG-TOTAL (BH-BT+BH-PF),85072,0,0,85072,377000,291928,22.6,0,85072,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-11,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
