code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000335,TIKKI 250 MLS,TIKKI,PCS,122.60,10933.00,0.00,-10810.40,-10810.40,2.7,MEDIA GRAPHIC PRINTS VEND,2.7,MEDIA GRAPHIC PRINTS VEND
PM0000765,TIKKI BARCODE CSD 5 LTR CANOLA,TIKKI,PCS,122.60,6981.00,0.00,-6858.40,-6858.40,2.3,MEDIA GRAPHIC PRINTS VEND,2.3,MEDIA GRAPHIC PRINTS VEND
PM0000871,TIKKI BARCODE CSD 1 LTR COCONUT EV,LABEL,PCS,121.80,7973.00,0.00,-7851.20,-7851.20,2.0,MEDIA GRAPHIC PRINTS VEND,7.0,GRAPHICS ELITE
PM0000409,CARTON 1 LTR POMACE 16 PCS PLAIN,CARTON,PCS,118.50,2238.67,0.00,-2120.18,-2120.18,12.0,SSY CONTAINERS PVT LTD,12.0,SSY CONTAINERS PVT LTD
PM0000859,LABEL 13 KG REFINED CANOLA,LABEL,PCS,115.55,3008.00,0.00,-2892.45,-2892.45,2.5,MEDIA GRAPHIC PRINTS VEND,4.8,PACKGEN INTERNATIONAL PVT LTD
PM0000660,TIN STRIP,TIN,KGS,85.83,1248.86,74.00,-1163.03,-1237.03,1.4,JOY PACK INDIA PVT LTD,1.4,JOY PACK INDIA PVT LTD
SF0000006,CHAI 250 GMS 40 PCS,TEA,PCS,73.85,0.00,36040.00,73.85,-35966.15,15.0,EASTERN ENTERPRISE (ASSAM),15.0,EASTERN ENTERPRISE (ASSAM)
PM0000130,POUCH REFINED MULTI ROLLS KGS,POUCH,KGS,71.58,1154.96,0.00,-1083.38,-1083.38,4.0,UFLEX LIMITED NEW,4.0,UFLEX LIMITED NEW
PM0000073,MS COATED DRUM 200 LTR,DRUM,PCS,52.50,168.00,159.00,-115.50,-274.50,2.0,EAST INDIA DRUMS AND BARRELS MANUFACTURING LIMITED AAACV4766F,25.9,BALAJI STEEL DRUM AND BARRELS PRIVATE LIMITED
PM0000590,CARTON PET BOTTLE 250 ML 4 PCS,CARTON,PCS,46.60,4207.34,1000.00,-4160.74,-5160.74,2.0,CVS PACKAGING PRIVATE LIMITED,2.0,CVS PACKAGING PRIVATE LIMITED
