code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000084,PET BOTTLE 5 LTR,PACK,PCS,400,22,0,5.5,378,,0,0,0,6,,,,covered,SANO MUSTARD OIL 5 LTR 4 PCS
PM0000245,CARTON 5 LTR 4 PCS PET,PACK,PCS,2807,2486,14,89.1,307,,0,0,0,6,,,,covered,COLD PRESS GROUNDNUT 200 MLS 7;MUSTARD KACHI GHANI 200 ML 35 ;SANO MUSTARD OIL 5 LTR 4 PCS;SO OLIVE OIL 5 LTR 4 PCS
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,PACK,PCS,205000,272172,146000,204.0,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS;COLD PRESS 1 LTR 20 PCS (NIRMA
PM0000015,LABEL 1 LTR COLD PRESS FRONT,PACK,PCS,145000,170549,150000,221.1,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS
PM0000017,LABEL 1 LTR EXTRA LIGHT BACK,PACK,PCS,75000,223903,0,298.5,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 1 LTR 16 PCS
PM0000018,LABEL 1 LTR EXTRA LIGHT FRONT,PACK,PCS,75000,226771,0,302.4,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 1 LTR 16 PCS
PM0000022,LABEL 1 LTR PAKKI GHANI BACK,PACK,PCS,20000,51409,0,257.0,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 1 LTR 20 P
PM0000023,LABEL 1 LTR PAKKI GHANI FRONT,PACK,PCS,20000,41500,0,207.5,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 1 LTR 20 P
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,PACK,PCS,333,1491,0,447.7,0,,0,0,0,6,,,,covered,MUSTARD KACCHI GHANI 15 LTR
PM0000031,LABEL 15 LTR REFINED CANOLA,PACK,PCS,4000,2369,20000,559.2,0,,0,0,0,6,,,,covered,REFINED OIL 15 LTR
PM0000046,LABEL 5 LTR COLD PRESS FRONT,PACK,PCS,45000,47732,60000,239.4,0,,0,0,0,6,,,,covered,COLD PRESS 5 LTR 4 PCS
PM0000047,LABEL 5 LTR KACHCHI GHANI BACK,PACK,PCS,46000,55910,0,121.5,0,,0,0,0,6,,,,covered,MUSTARD KACCHI GHANI 5 LTR 4 P
PM0000048,LABEL 5 LTR KACHCHI GHANI FRONT,PACK,PCS,46000,55497,0,120.6,0,,0,0,0,6,,,,covered,MUSTARD KACCHI GHANI 5 LTR 4 P
PM0000049,LABEL 5 LTR PAKKI GHANI BACK,PACK,PCS,2400,2846,0,118.6,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 5 LTR 4 PC
PM0000050,LABEL 5 LTR PAKKI GHANI FRONT,PACK,PCS,2400,2795,0,116.5,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 5 LTR 4 PC
PM0000053,HDPE BOTTLE 5 LTR,PACK,PCS,140600,55435,154405,149.2,0,,0,0,0,6,,,,covered,COLD PRESS 5 LTR 4 PCS;COLD PRESS GROUNDNUT OIL 5 LTR;COLD PRESS SUNFLOWER 5 LTR 4 P;MUSTARD KACCHI GHANI 5 LTR 4 P;MUSTARD PAKKI GHANI 5 LTR 4 PC;RICE BRAN OIL 5 LTR 4 PCS
PM0000057,PET BOTTLE 2 LTR 66 GMS,PACK,PCS,21000,8691,23250,152.1,0,,0,0,0,6,,,,covered,MUSTARD KACCHI GHANI 2 LTR 10 ;MUSTARD PAKKI GHANI 2 LTR 10 P
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,PACK,PCS,6000,38178,0,636.3,0,,0,0,0,6,,,,covered,MUSTARD PAKKI GHANI 2 LTR 10 P
PM0000071,SHRINKS 1 LTR 235X310,PACK,PCS,42500,66295,0,156.0,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS SUNFLOWER 1 LTR +1 ;MUSTARD KACHI GHANI 1 LTR + 1 
PM0000074,TAPE CELLO,PACK,MTR,14951,291859,37000,999.9,0,,0,0,0,6,,,,covered,LA RASOI COLD PRESSED CANOLA O;LA RASOI COLD PRESSED MUSTARD ;SANO MUSTARD OIL 1 LTR 20 PCS;SANO MUSTARD OIL 5 LTR 4 PCS;SANO POMACE OLIVE 1 LTR 16 PCS;SANO POMACE OLIVE 5 LTR TIN 
