item,litres,value,realise,u_type,sub_group,sku
FG0000047 — COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,20430.0,6153736.71,301.2108032305433,PREMIUM,CANOLA,3 LTR
FG0000006 — POMACE OLIVE 200 LTR 1 PCS,1000.0,300000.0,300.0,PREMIUM,OLIVE,200 LTR
FG0000405 — COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,27780.0,8304001.33,298.9201342692585,PREMIUM,CANOLA,4 LTR
FG0000014 — MINIATURE OLIVE 100 MLS 24 PCS,7.2,2136.0,296.6666666666667,PREMIUM,OLIVE,100 MLS
FG0000365 — LA RASOI POMACE OLIVE OIL 2 LTR 10 PCS HANDLE,800.0,226000.0,282.5,PREMIUM,OLIVE,2 LTR
FG0000028 — POMACE OLIVE 1 LTR 16 PCS,251517.0,70796411.97000001,281.4776415510682,PREMIUM,OLIVE,1 LTR
FG0000404 — COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,39192.0,10784452.98,275.1697535211268,PREMIUM,CANOLA,4 LTR
FG0000003 — COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 4 PCS,6205.0,1630994.1400000001,262.85159387590653,PREMIUM,CANOLA,5 LTR
FG0000367 — SANO POMACE OLIVE OIL 15 L,3270.0,844532.0,258.26666666666665,PREMIUM,OLIVE,15 LTR
FG0000324 — SESAME OIL 1 LTR 20 PCS,10692.0,2709977.16,253.4583950617284,PREMIUM,SESAME,1 LTR
FG0000114 — POMACE OLIVE 2 LTR 10 PCS HANDLE,8068.0,2021194.24,250.51986117997026,PREMIUM,OLIVE,2 LTR
FG0000152 — SANO OLIVE CLASSIC 5 LTR TIN 4 PCS,5400.0,1350000.0,250.0,PREMIUM,OLIVE,5 LTR
FG0000150 — SANO POMACE OLIVE 1 LTR 16 PCS,90058.0,22445544.290000003,249.2343188833863,PREMIUM,OLIVE,1 LTR
FG0000414 — COLD PRESS 5 LTR (NIRMAL RISHI )+ POMACE OLIVE 1 LTR 4 PCS,33160.0,8154781.0,245.9222255729795,PREMIUM,CANOLA,5 LTR
FG0000151 — SANO POMACE OLIVE 5 LTR TIN 4 PCS,108225.0,26389245.749999996,243.83687456687454,PREMIUM,OLIVE,5 LTR
FG0000352 — SESAME OIL (TOASTED) 500 MLS 12 PCS,1140.5,277902.87,243.667575624726,PREMIUM,SESAME,500 MLS
FG0000145 — COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,15625.0,3755789.64,240.37053696,PREMIUM,CANOLA,5 LTR
FG0000328 — SANO POMACE OLIVE 200 LTR 1 PCS,12600.0,2968761.5900000003,235.61599920634924,PREMIUM,OLIVE,200 LTR
FG0000189 — ZANO POMACE OLIVE 1 LTR 16 PCS,11568.0,2579134.56,222.95423236514523,PREMIUM,OLIVE,1 LTR
FG0000305 — JAITOON OIL 5 LTR 4 PCS,600.0,133037.4,221.72899999999998,PREMIUM,OLIVE,5 LTR
FG0000005 — EXTRA LIGHT OLIVE 1 LTR 16 PCS,153402.0,33878747.83999999,220.84945333176876,PREMIUM,OLIVE,1 LTR
FG0000013 — REFINED OIL 1000 MLS,8920.0,1944294.1799999995,217.97019955156944,PREMIUM,CANOLA,1 LTR
FG0000016 — REFINED OIL 2 LTR,14420.0,3108238.56,215.55052427184467,PREMIUM,CANOLA,2 LTR
FG0000020 — REFINED OIL 5 LTR,13520.0,2796277.78,206.8252795857988,PREMIUM,CANOLA,5 LTR
FG0000146 — COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,11466.0,2324132.93,202.6977960927961,PREMIUM,CANOLA,5 LTR
FG0000034 — EXTRA LIGHT OLIVE 200 LTR 1 PCS,80000.0,16000000.0,200.0,PREMIUM,OLIVE,200 LTR
FG0000363 — LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,6360.0,1270600.0,199.77987421383648,COMMODITY,MUSTARD,2 LTR
FG0000043 — COLD PRESS 3 LTR 6 PCS,15060.0,2868556.01,190.47516666666664,PREMIUM,CANOLA,3 LTR
