row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
46,FG0000043,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 3 LTR 6 PCS,3,3 LTR JAR,18,6,6666.666666666667,20.0,0.0,20.0
47,FG0000379,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,1,PET 21GM,20,20,370000.0,20.0,350.0,370.0
48,FG0000106,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,POUCH,POUCH,12,12,0.0,20.0,0.0,20.0
49,FG0000419,JIVO,PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,2,PET,20,10,10000.0,0.0,20.0,20.0
50,FG0000232,SO OLIVE,PREMIUM,OLIVE,SO OLIVE ,SO OLIVE OIL 5 LTR 4 PCS,5,5 LTR JAR,20,4,3400.0,2.0,15.0,17.0
51,FG0000228,SO OLIVE,PREMIUM,BLENDED,SO OLIVE ,SO OLIVE OIL 1 LTR 16 PCS,1,PET 52 GRAM,16,16,15000.0,0.0,15.0,15.0
52,FG0000012,JIVO,COMMODITY,MUSTARD,MUSTARD PK,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5,5 LTR JAR,20,4,3000.0,15.0,0.0,15.0
53,FG0000021,JIVO,PREMIUM,CANOLA,JIVO CANOLA,REFINED OIL 1 LTR POUCH 12 PCS (MULTI PACK),POUCH,POUCH,12,12,0.0,2.4,8.0,10.4
54,FG0000158,JIVO,COMMODITY,COTTONSEED,COTTONSEED,REFINED COTTON SEED OIL 15 LTR,15,TIN,15,1,666.6666666666666,10.0,0.0,10.0
55,FG0000169,JIVO,COMMODITY,COTTONSEED,COTTONSEED,REFINED COTTON SEED OIL 13 KGS,15,TIN,15,1,666.6666666666666,10.0,0.0,10.0
56,FG0000074,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,5,TIN,20,4,2000.0,5.0,5.0,10.0
57,FG0000445,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAN,RICE BRAN OIL 15 KGS,15,TIN,15,1,666.6666666666666,10.0,0.0,10.0
58,FG0000132,JIVO,COMMODITY,RICE BRAN,JIVO RICE BRAN,RICE BRAN OIL 15 LTR,15,TIN,15,1,666.6666666666666,10.0,0.0,10.0
59,FG0000026,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 15 LTR,15,TIN,15,1,600.0,9.0,0.0,9.0
60,FG0000189,ZANO,PREMIUM,POMACE,ZANO POMACE,ZANO POMACE OLIVE 1 LTR 16 PCS,1,PET 52 GRAM,16,16,8000.0,8.0,0.0,8.0
61,FG0000114,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 2 LTR 10 PCS HANDLE,2,PET,20,10,4000.0,0.0,8.0,8.0
62,FG0000116,JIVO,PREMIUM,COCONUT,EV COCONUT,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,1,PET 52 GRAM,16,16,6000.0,1.0,5.0,6.0
63,FG0000013,JIVO,PREMIUM,CSD,JIVO CANOLA,REFINED OIL 1000 MLS,1,PET 40GM,20,1,6000.0,6.0,0.0,6.0
64,FG0000016,JIVO,PREMIUM,CSD,JIVO CANOLA,REFINED OIL 2 LTR,2,PET,20,1,3000.0,6.0,0.0,6.0
65,FG0000020,JIVO,PREMIUM,CSD,JIVO CANOLA,REFINED OIL 5 LTR,5,5 LTR JAR,20,1,1200.0,6.0,0.0,6.0
66,FG0000372,JIVO,PREMIUM,POMACE,JIVO POMACE,POMACE OLIVE 3 LTR TIN 6 PCS,3,TIN,18,6,2000.0,0.0,6.0,6.0
67,FG0000088,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,2,PET,20,10,2500.0,0.0,5.0,5.0
68,FG0000070,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 2 LTR 10 PCS HANDLE,2,PET,20,10,2500.0,5.0,0.0,5.0
69,FG0000035,JIVO,PREMIUM,CANOLA,JIVO CANOLA,COLD PRESS 500 MLS 24 PCS,500ML,PET,#VALUE!,24,10000.0,0.0,5.0,5.0
70,FG0000367,SANO,PREMIUM,POMACE,SANO POMACE,SANO POMACE OLIVE OIL 15 L,15,TIN,15,1,333.3333333333333,5.0,0.0,5.0
71,FG0000328,SANO,PREMIUM,POMACE,JIVO POMACE,SANO POMACE OLIVE 200 LTR 1 PCS,200KG DRUM,DRUM,200,1,2500.0,5.0,0.0,5.0
72,FG0000452,JIVO,PREMIUM,SESAME,SESAME,SESAME OIL 500 MLS 12 PCS,500ML,PET,#VALUE!,12,10000.0,0.0,5.0,5.0
73,FG0000443,JIVO,PREMIUM,MUSTARD, MUSTARD,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,1,PET 75GM,20,20,5000.0,0.0,5.0,5.0
74,FG0000440,JIVO,PREMIUM,SUNFLOWER,JIVO SUNFLOWER,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,1,PET 75GM,20,20,5000.0,0.0,5.0,5.0
