item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,42.0000,MT,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,Gujarat (GJ),DC-269|PO-326226556,2026-03-01,2026-04-06,40.7800,1.2200,144200.00,6056400.00,dc/RECIEVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-278|PO-226226606,2026-02-24,,,42.0000,225000.00,9450000.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-277|PO-226226584,2026-02-24,,,40.0000,130800.00,5232000.00,dc/CONTRACT
MUSTARD LOOSE OIL,RM0000003,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-276|PO-226226575,2026-02-23,,,40.0000,141000.00,5640000.00,dc/CONTRACT
SOYABEAN REFINED LOOSE OIL,RM0000025,80.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-275|PO-226226560,2026-02-17,,,80.0000,131100.00,10488000.00,dc/CONTRACT
REFINED COTTON OIL,RM0000030,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-206|PO-226226507,2026-02-12,2026-02-12,39.3200,0.6800,140500.00,5620000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,41.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-205|PO-226226511,2026-02-08,2026-02-11,40.1600,0.8400,135000.00,5535000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-204|PO-226226503,2026-02-06,2026-02-09,39.2000,0.8000,152000.00,6080000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-203|PO-126226651,2026-02-03,2026-02-05,38.5300,1.4700,129800.00,5192000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-199|PO-126226661,2026-01-28,2026-01-28,42.3400,0.6600,280000.00,12040000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-200|PO-126226677,2026-01-28,2026-01-29,41.4000,0.6000,280000.00,11760000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-201|PO-126226678,2026-01-28,2026-01-29,41.6800,0.3200,280000.00,11760000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-202|PO-126226564,2026-01-28,2026-01-31,41.2800,0.0000,125700.00,5028000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,42.0000,MT,VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES,Gujarat (GJ),DC-198|PO-126226652,2026-01-24,2026-01-27,42.5300,0.0000,149000.00,6258000.00,dc/RECEIVED
