item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
EXTRA LIGHT,RM0EL,35800.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-342,2026-04-23,,35800.00,0.00,516.050,18474590.00,stock-status/IN_TANK|intercompany-transfer
MUSTARD REFINED DARK,RM00MRD,44417.54,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,GUJARAT,SS-353,2026-04-23,2026-04-26,44417.54,0.00,132.223,5873020.39,stock-status/IN_TANK
COLDPRESS CANOLA,RM00CPC,9200.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-332,2026-04-23,,9200.00,0.00,127.400,1172080.00,stock-status/IN_TANK|intercompany-transfer
RICE BRAN REFINED,RM00RBR,32769.20,L,AWL AGRI BUSINESS LIMITED,"SONIPAT, FACTORY",SS-306,2026-04-18,,32769.20,0.00,133.770,4383535.88,stock-status/IN_TANK
SOYABEAN,RM00SB,45857.10,L,BD EDIBLE OILS PVT LTD,Sonipat Factory,SS-305,2026-04-18,,45857.10,0.00,140.413,6438932.98,stock-status/IN_TANK
MUSTARD KACHI GHANI,RM0MKG,15000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-344,2026-04-23,,15000.00,0.00,125.670,1885050.00,stock-status/IN_TANK|intercompany-transfer
MUSTARD KACHI GHANI,RM0MKG,42714.24,L,AWL AGRI BUSINESS LIMITED,"SONIPAT, FACTORY",SS-348,2026-04-23,2026-04-21,42714.24,0.00,125.580,5364054.26,stock-status/IN_TANK
POMACE 2B,RM00P02,49000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-334,2026-04-23,,49000.00,0.00,279.640,13702360.00,stock-status/IN_TANK|intercompany-transfer
MUSTARD KACHI GHANI 3C,RM0MKG03,55000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-339,2026-04-23,,55000.00,0.00,125.670,6911850.00,stock-status/IN_TANK|intercompany-transfer
GROUNDNUT REFINED,RM00GNR,21000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-333,2026-04-23,,21000.00,0.00,155.257,3260397.00,stock-status/IN_TANK|intercompany-transfer
RICEBRAN 2B,RM0RB02,7500.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-337,2026-04-23,,7500.00,0.00,134.760,1010700.00,stock-status/IN_TANK|intercompany-transfer
COTTONSEED,RM00CSR,9500.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-338,2026-04-23,,9500.00,0.00,127.920,1215240.00,stock-status/IN_TANK|intercompany-transfer
GROUNDNUT FILTER,RM0GNF,44800.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-336,2026-04-23,,44800.00,0.00,159.510,7146048.00,stock-status/IN_TANK|intercompany-transfer
EXTRA LIGHT 2B,RM0EL02,18000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-343,2026-04-23,,18000.00,0.00,516.050,9288900.00,stock-status/IN_TANK|intercompany-transfer
POMACE,RM00POM,46500.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-335,2026-04-23,,46500.00,0.00,205.290,9545985.00,stock-status/IN_TANK|intercompany-transfer
GOLD,RM00GD,40000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-345,2026-04-23,,40000.00,0.00,127.400,5096000.00,stock-status/IN_TANK|intercompany-transfer
EXTRA VIRGIN,RM0EV,8000.00,L,JIVO WELLNESS PVT LTD - DL,Sonipat Factory,SS-340,2026-04-23,,8000.00,0.00,595.990,4767920.00,stock-status/IN_TANK|intercompany-transfer
MUSTARD KACHI GHANI 2B,RMMKG02,43351.60,L,VAISHNODEVI REFOILS AND SOLEX,RAJASTHAN,SS-307,2026-04-18,2026-04-18,43351.60,0.00,127.855,5542718.82,stock-status/IN_TANK
COCONUT,RM0CCNT,2197.80,L,APEX COCO AND SOLAR ENERGY LIMITED,"SONIPAT, FACTORY",SS-314,2026-04-18,2026-04-24,2197.80,0.00,336.700,739999.26,stock-status/IN_TANK
COCONUT,RM0CCNT,2197.80,L,SAMSON GLOBAL PRIVATE LIMITED,"SONIPAT, FACTORY",SS-313,2026-04-18,2026-04-18,2197.80,0.00,232.050,509999.49,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,24725.25,L,ILAHI CO,"SONIPAT, FACTORY",SS-378,2026-05-06,,24725.25,0.00,134.070,3314914.27,stock-status/IN_TANK
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,10697.79,L,SHIVAY EDIBLES PVT LTD,"SONIPAT, FACTORY",SS-654,2026-07-18,2026-07-18,10697.79,0.00,138.320,1479718.31,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-404,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
MUSTARD DEO,RM00MDEO,44461.49,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,GUJARAT,SS-451,2026-05-21,2026-05-18,44461.49,0.00,130.130,5785773.69,stock-status/IN_TANK
RICE BRAN REFINED,RM00RBR,4769.23,L,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),SS-418,2026-05-13,2026-06-14,0.00,4769.23,131.950,629299.90,stock-status/IN_CONTRACT
POMACE 3C,RM00P03,16483.50,L,VEE KAY ENTERPRISES,"SONIPAT, FACTORY",SS-484,2026-05-27,2026-05-27,16483.50,0.00,218.400,3599996.40,stock-status/IN_TANK
MUSTARD REFINED LIGHT,RM00MRL,43714.24,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,GUJARAT,SS-463,2026-05-23,2026-05-26,43714.24,0.00,131.950,5768093.97,stock-status/IN_TANK
MUSTARD REFINED LIGHT,RM00MRL,44021.93,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,RADHANPUR,SS-464,2026-05-23,2026-05-24,44021.93,0.00,131.950,5808693.66,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,24725.25,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,"SONIPAT, FACTORY",SS-539,2026-06-12,2026-06-10,24725.25,0.00,146.510,3622496.38,stock-status/IN_TANK
RICE BRAN REFINED,RM00RBR,43824.13,L,AWL AGRI BUSINESS LIMITED,"SONIPAT, FACTORY",SS-622,2026-07-04,2026-07-04,43824.13,0.00,131.950,5782593.95,stock-status/IN_WAREHOUSE
COLD PRESSED COCONUT OIL,RM00CPCCNT,5494.50,L,RB OIL MILLS,"SONIPAT, FACTORY",SS-569,2026-06-20,2026-06-27,5494.50,0.00,182.000,999999.00,stock-status/IN_TANK
POMACE 3C,RM00P03,46131.82,L,VEE KAY ENTERPRISES,"SONIPAT, FACTORY",SS-550,2026-06-15,2026-06-15,46131.82,0.00,209.300,9655389.93,stock-status/IN_TANK
SOYABEAN TIN 13KG,SBTIN13KG,30714.26,L,GARG AGRO PRODUCTS LLP,"SONIPAT, FACTORY",SS-541,2026-06-12,2026-06-13,30714.26,0.00,144.663,4443216.99,stock-status/IN_TANK
RICE BRAN REFINED,RM00RBR,42901.06,L,M/S ARORA AGRI BUSINESS VENTURES,"SONIPAT, FACTORY",SS-717,2026-08-12,2026-08-12,42901.06,0.00,138.320,5934074.62,stock-status/IN_TANK
MUSTARD KACHI GHANI,RM0MKG,39879.08,L,AWL AGRI BUSINESS LIMITED,"SONIPAT, FACTORY",SS-724,2026-08-17,2026-08-15,39879.08,0.00,150.150,5987843.86,stock-status/IN_TANK
SESAME,RM0SESM,10868.12,L,TIRUPATI AGRO INDUSTRIES,"SONIPAT, FACTORY",SS-722,2026-08-14,2026-08-15,10868.12,0.00,202.930,2205467.59,stock-status/IN_TANK
GROUNDNUT FILTER,RM0GNF,45516.44,L,DHANLAXMI EDIBLES PRIVATE LIMITED,"SONIPAT, FACTORY",SS-728,2026-08-21,2026-08-26,45516.44,0.00,152.880,6958553.35,stock-status/IN_TANK
VIRGIN COCONUT OIL,RM00VCCNT,5494.50,L,APEX COCO AND SOLAR ENERGY LIMITED,"SONIPAT, FACTORY",SS-524,2026-06-08,2026-06-16,5494.50,0.00,318.500,1749998.25,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,16483.50,L,VEE KAY ENTERPRISES,"SONIPAT, FACTORY",SS-508,2026-06-04,2026-06-04,16483.50,0.00,147.420,2429997.57,stock-status/IN_TANK
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,24725.25,L,SHIVAY EDIBLES PVT LTD,"SONIPAT, FACTORY",SS-531,2026-06-11,2026-06-11,24725.25,0.00,138.320,3419996.58,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,26373.60,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,RADHANPUR,SS-494,2026-05-29,2026-05-29,26373.60,0.00,146.510,3863996.14,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,16483.50,L,SHIVAY EDIBLES PVT LTD,"SONIPAT, FACTORY",SS-624,2026-07-08,2026-07-07,16483.50,0.00,140.140,2309997.69,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-396,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,32967.00,L,VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED,"BAKOLI, DELHI",SS-615,2026-07-01,2026-07-04,32967.00,0.00,146.510,4829995.17,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-397,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-398,2026-05-11,2026-05-21,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,UP,SS-399,2026-05-11,2026-05-28,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,16483.50,L,SHIVAY EDIBLES PVT LTD,"SONIPAT, FACTORY",SS-611,2026-06-29,2029-06-29,16483.50,0.00,140.140,2309997.69,stock-status/IN_TANK
SOYABEAN TIN 13KG,SBTIN13KG,28571.40,L,GARG AGRO PRODUCTS LLP,"SONIPAT, FACTORY",SS-564,2026-06-19,2026-06-27,28571.40,0.00,144.663,4133224.44,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-401,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-405,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-402,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-406,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN,RM00SB,289823.89,L,AWL AGRI BUSINESS LIMITED,"MUNDRA, GUJARAT",SS-703,2026-08-08,2026-09-08,0.00,289823.89,135.590,39297221.25,stock-status/IN_CONTRACT
GROUNDNUT REFINED,RM00GNR,45032.92,L,DHANLAXMI EDIBLES PRIVATE LIMITED,"SONIPAT, FACTORY",SS-544,2026-06-13,2026-06-18,45032.92,0.00,147.420,6638753.07,stock-status/IN_TANK
SOYABEAN TIN 13KG,SBTIN13KG,18285.70,L,ILAHI CO,RAXAUL,SS-432,2026-05-16,2026-05-24,18285.70,0.00,135.890,2484843.77,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-400,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-403,2026-05-11,2026-05-18,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
SOYABEAN TIN 15KG,SBTIN15KG,18543.94,L,ILAHI CO,"SONIPAT, FACTORY",SS-438,2026-05-18,2026-05-24,18543.94,0.00,134.070,2486186.04,stock-status/IN_TANK
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,18131.85,L,SHIVAY EDIBLES PVT LTD,"SONIPAT, FACTORY",SS-653,2026-07-18,2026-07-18,18131.85,0.00,138.320,2507997.49,stock-status/IN_TANK
MUSTARD KACHI GHANI,RM0MKG,247054.70,L,AWL AGRI BUSINESS LIMITED,"BUNDI, RAJASTHAN",SS-709,2026-08-08,2026-09-08,0.00,247054.70,157.885,39006231.31,stock-status/IN_CONTRACT
MUSTARD DEO,RM00MDEO,43846.11,L,VAISHNODEVI REFOILS AND SOLEX,"SONIPAT, FACTORY",SS-729,2026-08-21,2026-08-21,43846.11,0.00,146.965,6443843.56,stock-status/IN_TANK
MUSTARD KACHI GHANI,RM0MKG,164835.00,L,M/S ARORA AGRI BUSINESS VENTURES,"BUNDI, RAJASTHAN",SS-739,2026-08-22,2026-09-21,0.00,164835.00,158.795,26174973.82,stock-status/IN_CONTRACT
GROUNDNUT FILTER,RM0GNF,43516.44,L,DHANLAXMI EDIBLES PRIVATE LIMITED,UP,SS-749,2026-08-25,2026-08-29,0.00,43516.44,153.790,6692393.31,stock-status/ON_THE_WAY
SOYABEAN,RM00SB,20780.20,L,M/S ARORA AGRI BUSINESS VENTURES,"MUNDRA, GUJARAT",SS-738,2026-08-22,2026-09-21,0.00,20780.20,136.500,2836497.30,stock-status/IN_CONTRACT
GROUNDNUT FILTER,RM0GNF,32142.82,L,DHANLAXMI EDIBLES PRIVATE LIMITED,GUJARAT,SS-755,2026-08-27,2026-08-30,0.00,32142.82,153.790,4943244.29,stock-status/ON_THE_WAY
SOYABEAN,RM00SB,44472.48,L,M/S ARORA AGRI BUSINESS VENTURES,GUJARAT,SS-752,2026-08-27,2026-08-30,0.00,44472.48,136.500,6070493.52,stock-status/ON_THE_WAY
SOYABEAN,RM00SB,45703.25,L,M/S ARORA AGRI BUSINESS VENTURES,GUJARAT,SS-753,2026-08-27,2026-08-30,0.00,45703.25,136.500,6238493.62,stock-status/ON_THE_WAY
