code,name,kind,open_qty_aug01,uom,vendor,ordered_on,due_on,at_gate_qty,lead_median_d,lead_p90_d,orders_sampled,typical_order_qty,row_type,credibility,po_num,po_age_days_at_aug01,lead_median_full_d,lead_source,min_order_qty_seen,canonical_code,warehouse,note
PM0000085,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO,CAP,252000.0,PCS,BABAJI UDYOG PVT. LTD.,2026-07-30,2026-07-30,0,6.0,23,14,137500.0,OPEN_PO,LIVE,220726133,2,15.5,ITEM,2000.0,PM0000085,BH-PM,
PM0000852,PREFORM 49.5 GMS 36 MM,PREFORM,246600.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-07-04,2026-07-04,0,2.5,17,16,87500.0,OPEN_PO,LIVE,220726016,28,4.0,ITEM,4860.0,PM0000852,BH-PM,
RM0000003,MUSTARD LOOSE OIL,OIL,244223.93,LTR,AWL AGRI BUSINESS LIMITED,2026-06-12,2026-06-12,0,11,33,57,44417.5,OPEN_PO,LIVE,220626079,50,13,ITEM,4390.11,RM0000003,BH-GJ,
PM0000054,PET BOTTLE 1 LTR 26 GMS,BOTTLE,228000.0,PCS,TPAC PACKAGING INDIA PVT LTD,2024-10-09,2024-10-09,0,6,33,7,100000.0,OPEN_PO,STALE_DEAD,1024226536,661,51,ITEM,3780.0,PM0000054,BH-PM,
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,218000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2026-06-06,2026-06-06,0,4.0,17,16,100000.0,OPEN_PO,LIVE,220626038,56,11.0,ITEM,500.0,PM0000594,BH-PM,
PM0000852,PREFORM 49.5 GMS 36 MM,PREFORM,210937.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2026-06-06,2026-06-06,0,2.5,17,16,87500.0,OPEN_PO,LIVE,220626038,56,4.0,ITEM,4860.0,PM0000852,BH-PM,
PM0000594,PREFORM 40 GMS 36 MM,PREFORM,204400.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-06-06,2026-06-06,0,4.0,17,16,100000.0,OPEN_PO,LIVE,220626039,56,11.0,ITEM,500.0,PM0000594,BH-PM,
PM0000078,CAPS 5 LTR/15 LTR,CAP,201600.0,PCS,BERICAP INDIA PRIVATE LIMITED,2025-07-28,2025-07-28,0,12.0,25,6,50500.0,OPEN_PO,STALE_DEAD,725226654,369,15.5,ITEM,2000.0,PM0000078,BH-PM,
PM0000078,CAPS 5 LTR/15 LTR,CAP,201600.0,PCS,BERICAP INDIA PRIVATE LIMITED,2026-02-25,2026-02-25,0,12.0,25,6,50500.0,OPEN_PO,STALE_DEAD,226226596,157,15.5,ITEM,2000.0,PM0000078,BH-PM,
PM0000078,CAPS 5 LTR/15 LTR,CAP,201600.0,PCS,BERICAP INDIA PRIVATE LIMITED,2026-06-25,2026-06-25,0,12.0,25,6,50500.0,OPEN_PO,LIVE,220626145,37,15.5,ITEM,2000.0,PM0000078,BH-PM,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BOTTLE,200000.0,PCS,TPAC PACKAGING INDIA PVT LTD,2026-03-03,2026-03-03,0,4,36,21,100000.0,OPEN_PO,STALE_DEAD,326226503,151,9,ITEM,5200.0,PM0000194,BH-PM,
PM0000121,PET BOTTLE 1 LTR 52 GMS POMACE,BOTTLE,200000.0,PCS,TPAC PACKAGING INDIA PVT LTD,2026-03-03,2026-03-03,0,3,27,19,100000.0,OPEN_PO,STALE_DEAD,326226503,151,37,ITEM,5012.0,PM0000121,BH-PM,
PM0000852,PREFORM 49.5 GMS 36 MM,PREFORM,200000.0,PCS,FRYSTAL PET PRIVATE LIMITED,2026-03-06,2026-03-06,0,2.5,17,16,87500.0,OPEN_PO,STALE_DEAD,326226509,148,4.0,ITEM,4860.0,PM0000852,BH-PM,
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAP,200000.0,PCS,MAHESHWARI CAPS PVT LTD,2026-03-06,2026-03-06,0,8,22,13,250000.0,OPEN_PO,STALE_DEAD,326226512,148,13,ITEM,100000.0,PM0000235,BH-PM,
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAP,200000.0,PCS,MAHESHWARI CAPS PVT LTD,2026-03-06,2026-03-06,0,9.5,25,12,150000.0,OPEN_PO,STALE_DEAD,326226512,148,21.0,ITEM,53000.0,PM0000079,BH-PM,
PM0000235,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN,CAP,200000.0,PCS,TENZY CAPS AND CLOUSERS,2026-03-26,2026-03-26,0,8,22,13,250000.0,OPEN_PO,STALE_DEAD,326226601,128,13,ITEM,100000.0,PM0000235,BH-PM,
