item_code,item_name,pack_litres,orders,total_completed,median_units_per_day,p90_units_per_day,resource_codes,_process,_uom,_otype,_days,_pack_src,_category,_variety,_median_litres_per_day
FG0000319,KIRPA DESI GHEE 500 MLS 16 PCS,0.5,1,3312.0,3312.0,3312.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,name: ml in name,PREMIUM,GHEE,1656.0
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,1.0022,2,3248.0,1624.0,2603.2,JWPL09240001,FILLING,PCS,S,2,SAP resource BaseQty,PREMIUM,OLIVE,1627.6
FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,6.0022,3,2959.0,1377.0,1540.2,JWPL09240001,FILLING,PCS,S,3,SAP resource BaseQty,PREMIUM,CANOLA,8265.0
FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,1,3,2622.0,718.0,1295.6,JWPL09240001,FILLING,PCS,S,3,SAP resource BaseQty,PREMIUM,COCONUT,718.0
FG0000419,COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,2,1,2570.0,2570.0,2570.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,GROUNDNUT,5140.0
RM0000037,COCONUT EXTRA VIRGIN OIL,,4,2551.43,639.0,1050.0,,BULK_OIL_BLEND,LTR,P,4,bulk (LTR) - no pack,,COCONUT,639.0
FG0000232,SO OLIVE OIL 5 LTR 4 PCS,5,5,2113.0,566.5,865.5,JWPL09240001,FILLING,PCS,S,4,SAP resource BaseQty,PREMIUM,BLENDED,2832.5
FG0000367,SANO POMACE OLIVE OIL 15 L,15.03,4,2009.0,528.5,697.0,JWPL09240001,FILLING,PCS,S,4,SAP resource BaseQty,PREMIUM,OLIVE,7943.4
FG0000352,SESAME OIL (TOASTED) 500 MLS 12 PCS,0.5,1,1992.0,1992.0,1992.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,SESAME,996.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,1,1,1980.0,1980.0,1980.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,BLENDED,1980.0
FG0000169,REFINED COTTON SEED OIL 13 KGS,14.29,3,1790.0,776.0,875.2,JWPL09240002,FILLING,PCS,S,3,SAP resource BaseQty,COMMODITY,COTTON SEED,11089.0
FG0000383,REFINED OIL 13 KG,14.29,5,1545.0,301.0,412.4,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,CANOLA,4301.3
FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),1.044,12,1536.0,153.0,219.0,JWPL09240001,FILLING,PCS,S,11,SAP resource BaseQty,PREMIUM,OLIVE,159.7
FG0000020,REFINED OIL 5 LTR,20,6,1436.0,238.5,265.5,JWPL09240001,FILLING,PCS,S,6,SAP resource BaseQty,PREMIUM,CANOLA,4770.0
FG0000016,REFINED OIL 2 LTR,20,8,1383.0,200.0,279.5,JWPL09240001,FILLING,PCS,S,8,SAP resource BaseQty,PREMIUM,CANOLA,4000.0
FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),1,7,1293.0,236.0,317.0,JWPL09240001,FILLING,PCS,S,7,SAP resource BaseQty,PREMIUM,OLIVE,236.0
FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),20,7,1269.0,175.0,327.8,JWPL09240002,FILLING,PCS,S,7,SAP resource BaseQty,COMMODITY,MUSTARD,3500.0
FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),20,8,1190.0,90.0,324.2,JWPL09240002,FILLING,PCS,S,8,SAP resource BaseQty,COMMODITY,MUSTARD,1800.0
FG0000373,EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,3.03,1,1152.0,1152.0,1152.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,CANOLA,3490.6
FG0000152,SANO OLIVE CLASSIC 5 LTR TIN 4 PCS,5,1,1080.0,1080.0,1080.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,5400.0
FG0000039,EXTRA LIGHT OLIVE 500 MLS 24 PCS,0.5,1,997.0,997.0,997.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,498.5
FG0000018,COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED,6,1,957.0,957.0,957.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,CANOLA,5742.0
FG0000013,REFINED OIL 1000 MLS,20,8,825.0,127.5,162.1,JWPL09240001,FILLING,PCS,S,8,SAP resource BaseQty,PREMIUM,CANOLA,2550.0
FG0000250,SOYABEAN OIL 15 KGS,16.4835,1,801.0,801.0,801.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,SOYABEAN,13203.3
FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),2,10,798.0,74.0,170.2,JWPL09240002,FILLING,PCS,S,9,SAP resource BaseQty,COMMODITY,MUSTARD,148.0
FG0000445,RICE BRAN OIL 15 KG,16.48,1,798.0,798.0,798.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,RICE BRAN,13151.0
FG0000455,EXTRA VIRGIN OLIVE 3 LTR TIN 5 PCS,3.0198,2,778.0,389.0,605.8,JWPL09240001,FILLING,PCS,S,2,SAP resource BaseQty,PREMIUM,OLIVE,1174.7
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,200,16,750.0,50.0,50.0,JWPL09240001,FILLING,PCS,S,16,SAP resource BaseQty,PREMIUM,OLIVE,10000.0
FG0000185,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS,1,2,684.0,342.0,452.4,JWPL09240001,FILLING,PCS,S,2,SAP resource BaseQty,PREMIUM,BLENDED,342.0
FG0000387,SUNFLOWER OIL 15 LTR TIN IMPORTED PCS,15,1,500.0,500.0,500.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,name: ltr in name,COMMODITY,SUNFLOWER,7500.0
FG0000446,EXTRA VIRGIN OLIVE 3 LTR TIN 3 PCS,3.0198,1,471.0,471.0,471.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,1422.3
FG0000183,BB ROYAL CANOLA OIL 1 LTR 20 PCS,1,1,320.0,320.0,320.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,BLENDED,320.0
FG0000184,BB ROYAL CANOLA OIL 5 LTR 4 PCS,5,1,319.0,319.0,319.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,BLENDED,1595.0
FG0000295,MUSTARD KACHI GHANI 4 LTR 5 PCS,4,2,286.0,286.0,286.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,MUSTARD,1144.0
FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),16,5,281.0,61.0,78.6,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,COCONUT,976.0
FG0000026,MUSTARD KACCHI GHANI 15 LTR,15,4,254.0,27.5,154.8,JWPL09240002,FILLING,PCS,S,4,SAP resource BaseQty,COMMODITY,MUSTARD,412.5
FG0000416,MUESLI 300 GMS 25 PCS,0.3297,2,204.0,102.0,122.8,,FILLING_NO_RESOURCE_LINE,PCS,S,2,name: 300g @910g/L,OTHERS,DRY FRUITS/NUTS,33.6
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,200.44,12,163.0,10.0,25.0,JWPL09240001,FILLING,PCS,S,12,SAP resource BaseQty,PREMIUM,OLIVE,2004.4
FG0000092,EXTRA VIRGIN OLIVE 1 LTR + 1 LTR COMBO 8 SET PLAIN,2.0044,1,152.0,152.0,152.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,304.7
FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),16,8,131.0,16.0,26.9,JWPL09240001,FILLING,PCS,S,8,SAP resource BaseQty,PREMIUM,OLIVE,256.0
FG0000296,SUNFLOWER 4 LTR 5 PCS,4,2,113.0,113.0,113.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,SUNFLOWER,452.0
FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),16.0352,5,111.0,23.0,29.8,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,OLIVE,368.8
FG0000402,COLD PRESS GROUNDNUT OIL 200 LTR 1 PCS,200,2,100.0,50.0,74.0,JWPL09240002,FILLING,DRM,S,2,SAP resource BaseQty,PREMIUM,GROUNDNUT,10000.0
FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),12.0264,5,70.0,10.0,23.4,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,OLIVE,120.3
FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),16.0352,5,64.0,12.0,16.8,JWPL09240001,FILLING,PCS,S,5,SAP resource BaseQty,PREMIUM,OLIVE,192.4
FG0000282,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,0.2,1,58.0,58.0,58.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,COCONUT,11.6
FG0000024,COLD PRESS 1 LTR 24 PCS,1,2,54.0,27.0,43.8,JWPL09240001,FILLING,PCS,S,2,SAP resource BaseQty,PREMIUM,CANOLA,27.0
FG0000224,JIVO RICE 1 KGS 4 PCS,1.0989,3,42.0,8.0,27.2,,FILLING_NO_RESOURCE_LINE,PCS,S,3,name: 1kg @910g/L,OTHERS,RICE,8.8
FG0000121,CANOLA OIL 1 LTR 20 PCS,1,1,40.0,40.0,40.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,CANOLA,40.0
