item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
MUSTARD REFINED DARK,RM00MRD,purchased_in_tank_ltr,132.2230,INR,per LTR,2026-04-26,"GET /stock-status/ (id=353, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
COLDPRESS CANOLA,RM00CPC,purchased_in_tank_kg,140.0000,INR,per KG,2026-04-23,"GET /stock-status/ (id=332, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
COLDPRESS CANOLA,RM00CPC,purchased_in_tank_ltr,127.4000,INR,per LTR,2026-04-23,"GET /stock-status/ (id=332, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
RICE BRAN REFINED,RM00RBR,purchased_in_tank_kg,147.0000,INR,per KG,2026-04-18,"GET /stock-status/ (id=306, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
RICE BRAN REFINED,RM00RBR,purchased_in_tank_ltr,133.7700,INR,per LTR,2026-04-18,"GET /stock-status/ (id=306, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
SOYABEAN,RM00SB,purchased_in_tank_kg,154.3000,INR,per KG,2026-04-18,"GET /stock-status/ (id=305, BD EDIBLE OILS PVT LTD, Sonipat Factory)"
SOYABEAN,RM00SB,purchased_in_tank_ltr,140.4130,INR,per LTR,2026-04-18,"GET /stock-status/ (id=305, BD EDIBLE OILS PVT LTD, Sonipat Factory)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_kg,138.0990,INR,per KG,2026-04-23,"GET /stock-status/ (id=344, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_ltr,125.6700,INR,per LTR,2026-04-23,"GET /stock-status/ (id=344, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_kg,138.0000,INR,per KG,2026-04-21,"GET /stock-status/ (id=348, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_ltr,125.5800,INR,per LTR,2026-04-21,"GET /stock-status/ (id=348, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
POMACE 2B,RM00P02,purchased_in_tank_kg,307.2960,INR,per KG,2026-04-23,"GET /stock-status/ (id=334, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
POMACE 2B,RM00P02,purchased_in_tank_ltr,279.6400,INR,per LTR,2026-04-23,"GET /stock-status/ (id=334, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD KACHI GHANI 3C,RM0MKG03,purchased_in_tank_kg,138.0990,INR,per KG,2026-04-23,"GET /stock-status/ (id=339, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD KACHI GHANI 3C,RM0MKG03,purchased_in_tank_ltr,125.6700,INR,per LTR,2026-04-23,"GET /stock-status/ (id=339, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GROUNDNUT REFINED,RM00GNR,purchased_in_tank_kg,170.6120,INR,per KG,2026-04-23,"GET /stock-status/ (id=333, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GROUNDNUT REFINED,RM00GNR,purchased_in_tank_ltr,155.2570,INR,per LTR,2026-04-23,"GET /stock-status/ (id=333, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
RICEBRAN 2B,RM0RB02,purchased_in_tank_kg,148.0880,INR,per KG,2026-04-23,"GET /stock-status/ (id=337, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
RICEBRAN 2B,RM0RB02,purchased_in_tank_ltr,134.7600,INR,per LTR,2026-04-23,"GET /stock-status/ (id=337, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
COTTONSEED,RM00CSR,purchased_in_tank_kg,140.5710,INR,per KG,2026-04-23,"GET /stock-status/ (id=338, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
COTTONSEED,RM00CSR,purchased_in_tank_ltr,127.9200,INR,per LTR,2026-04-23,"GET /stock-status/ (id=338, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GROUNDNUT FILTER,RM0GNF,purchased_in_tank_kg,175.2860,INR,per KG,2026-04-23,"GET /stock-status/ (id=336, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GROUNDNUT FILTER,RM0GNF,purchased_in_tank_ltr,159.5100,INR,per LTR,2026-04-23,"GET /stock-status/ (id=336, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
EXTRA LIGHT 2B,RM0EL02,purchased_in_tank_kg,567.0870,INR,per KG,2026-04-23,"GET /stock-status/ (id=343, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
EXTRA LIGHT 2B,RM0EL02,purchased_in_tank_ltr,516.0500,INR,per LTR,2026-04-23,"GET /stock-status/ (id=343, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
POMACE,RM00POM,purchased_in_tank_kg,225.5930,INR,per KG,2026-04-23,"GET /stock-status/ (id=335, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
POMACE,RM00POM,purchased_in_tank_ltr,205.2900,INR,per LTR,2026-04-23,"GET /stock-status/ (id=335, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GOLD,RM00GD,purchased_in_tank_kg,140.0000,INR,per KG,2026-04-23,"GET /stock-status/ (id=345, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
GOLD,RM00GD,purchased_in_tank_ltr,127.4000,INR,per LTR,2026-04-23,"GET /stock-status/ (id=345, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
EXTRA VIRGIN,RM0EV,purchased_in_tank_kg,654.9330,INR,per KG,2026-04-23,"GET /stock-status/ (id=340, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
EXTRA VIRGIN,RM0EV,purchased_in_tank_ltr,595.9900,INR,per LTR,2026-04-23,"GET /stock-status/ (id=340, JIVO WELLNESS PVT LTD - DL, Sonipat Factory)"
MUSTARD KACHI GHANI 2B,RMMKG02,purchased_in_tank_kg,140.5000,INR,per KG,2026-04-18,"GET /stock-status/ (id=307, VAISHNODEVI REFOILS AND SOLEX, RAJASTHAN)"
MUSTARD KACHI GHANI 2B,RMMKG02,purchased_in_tank_ltr,127.8550,INR,per LTR,2026-04-18,"GET /stock-status/ (id=307, VAISHNODEVI REFOILS AND SOLEX, RAJASTHAN)"
COCONUT,RM0CCNT,purchased_in_tank_kg,370.0000,INR,per KG,2026-04-24,"GET /stock-status/ (id=314, APEX COCO AND SOLAR ENERGY LIMITED, SONIPAT, FACTORY)"
COCONUT,RM0CCNT,purchased_in_tank_ltr,336.7000,INR,per LTR,2026-04-24,"GET /stock-status/ (id=314, APEX COCO AND SOLAR ENERGY LIMITED, SONIPAT, FACTORY)"
COCONUT,RM0CCNT,purchased_in_tank_kg,255.0000,INR,per KG,2026-04-18,"GET /stock-status/ (id=313, SAMSON GLOBAL PRIVATE LIMITED, SONIPAT, FACTORY)"
COCONUT,RM0CCNT,purchased_in_tank_ltr,232.0500,INR,per LTR,2026-04-18,"GET /stock-status/ (id=313, SAMSON GLOBAL PRIVATE LIMITED, SONIPAT, FACTORY)"
CANOLA,RM00CN,purchased_in_tank_kg,134.0000,INR,per KG,2026-04-20,"GET /stock-status/ (id=322, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
CANOLA,RM00CN,purchased_in_tank_ltr,121.9400,INR,per LTR,2026-04-20,"GET /stock-status/ (id=322, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
CANOLA,RM00CN,purchased_in_tank_kg,134.0000,INR,per KG,2026-04-20,"GET /stock-status/ (id=321, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
CANOLA,RM00CN,purchased_in_tank_ltr,121.9400,INR,per LTR,2026-04-20,"GET /stock-status/ (id=321, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
CANOLA,RM00CN,purchased_in_tank_kg,134.0000,INR,per KG,2026-04-20,"GET /stock-status/ (id=320, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
CANOLA,RM00CN,purchased_in_tank_ltr,121.9400,INR,per LTR,2026-04-20,"GET /stock-status/ (id=320, ALBA EDIBLE OILS PTY LTD, RAJASTHAN)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-06,"GET /stock-status/ (id=378, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-06,"GET /stock-status/ (id=378, ILAHI CO, SONIPAT, FACTORY)"
CANOLA,RM00CN,purchased_in_tank_kg,140.0000,INR,per KG,2026-07-01,"GET /stock-status/ (id=605, GRAINCORP OILSEEDS PTY LTD, SONIPAT, FACTORY)"
CANOLA,RM00CN,purchased_in_tank_ltr,127.4000,INR,per LTR,2026-07-01,"GET /stock-status/ (id=605, GRAINCORP OILSEEDS PTY LTD, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_kg,152.0000,INR,per KG,2026-07-18,"GET /stock-status/ (id=654, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_ltr,138.3200,INR,per LTR,2026-07-18,"GET /stock-status/ (id=654, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=404, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=404, ILAHI CO, SONIPAT, FACTORY)"
MUSTARD DEO,RM00MDEO,purchased_in_tank_kg,143.0000,INR,per KG,2026-05-18,"GET /stock-status/ (id=451, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
MUSTARD DEO,RM00MDEO,purchased_in_tank_ltr,130.1300,INR,per LTR,2026-05-18,"GET /stock-status/ (id=451, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
RICE BRAN REFINED,RM00RBR,contracted_kg,145.0000,INR,per KG,2026-05-13,"GET /stock-status/ (id=418, AWL AGRI BUSINESS LIMITED, None)"
RICE BRAN REFINED,RM00RBR,contracted_ltr,131.9500,INR,per LTR,2026-05-13,"GET /stock-status/ (id=418, AWL AGRI BUSINESS LIMITED, None)"
POMACE 3C,RM00P03,purchased_in_tank_kg,240.0000,INR,per KG,2026-05-27,"GET /stock-status/ (id=484, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
POMACE 3C,RM00P03,purchased_in_tank_ltr,218.4000,INR,per LTR,2026-05-27,"GET /stock-status/ (id=484, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
MUSTARD REFINED LIGHT,RM00MRL,purchased_in_tank_kg,145.0000,INR,per KG,2026-05-26,"GET /stock-status/ (id=463, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
MUSTARD REFINED LIGHT,RM00MRL,purchased_in_tank_ltr,131.9500,INR,per LTR,2026-05-26,"GET /stock-status/ (id=463, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, GUJARAT)"
MUSTARD REFINED LIGHT,RM00MRL,purchased_in_tank_kg,145.0000,INR,per KG,2026-05-24,"GET /stock-status/ (id=464, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, RADHANPUR)"
MUSTARD REFINED LIGHT,RM00MRL,purchased_in_tank_ltr,131.9500,INR,per LTR,2026-05-24,"GET /stock-status/ (id=464, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, RADHANPUR)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,161.0000,INR,per KG,2026-06-10,"GET /stock-status/ (id=539, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,146.5100,INR,per LTR,2026-06-10,"GET /stock-status/ (id=539, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, SONIPAT, FACTORY)"
RICE BRAN REFINED,RM00RBR,purchased_warehouse_kg,145.0000,INR,per KG,2026-07-04,"GET /stock-status/ (id=622, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
RICE BRAN REFINED,RM00RBR,purchased_warehouse_ltr,131.9500,INR,per LTR,2026-07-04,"GET /stock-status/ (id=622, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
COLD PRESSED COCONUT OIL,RM00CPCCNT,purchased_in_tank_kg,200.0000,INR,per KG,2026-06-27,"GET /stock-status/ (id=569, RB OIL MILLS, SONIPAT, FACTORY)"
COLD PRESSED COCONUT OIL,RM00CPCCNT,purchased_in_tank_ltr,182.0000,INR,per LTR,2026-06-27,"GET /stock-status/ (id=569, RB OIL MILLS, SONIPAT, FACTORY)"
POMACE 3C,RM00P03,purchased_in_tank_kg,230.0000,INR,per KG,2026-06-15,"GET /stock-status/ (id=550, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
POMACE 3C,RM00P03,purchased_in_tank_ltr,209.3000,INR,per LTR,2026-06-15,"GET /stock-status/ (id=550, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_kg,158.9700,INR,per KG,2026-06-13,"GET /stock-status/ (id=541, GARG AGRO PRODUCTS LLP, SONIPAT, FACTORY)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_ltr,144.6630,INR,per LTR,2026-06-13,"GET /stock-status/ (id=541, GARG AGRO PRODUCTS LLP, SONIPAT, FACTORY)"
CRUDE CANOLA,RM0CDRO,contracted_kg,126.0000,INR,per KG,2026-07-23,"GET /stock-status/ (id=674, UKRAINE, UKRAINE)"
CRUDE CANOLA,RM0CDRO,contracted_ltr,114.6600,INR,per LTR,2026-07-23,"GET /stock-status/ (id=674, UKRAINE, UKRAINE)"
RICE BRAN REFINED,RM00RBR,purchased_in_tank_kg,152.0000,INR,per KG,2026-08-12,"GET /stock-status/ (id=717, M/S ARORA AGRI BUSINESS VENTURES, SONIPAT, FACTORY)"
RICE BRAN REFINED,RM00RBR,purchased_in_tank_ltr,138.3200,INR,per LTR,2026-08-12,"GET /stock-status/ (id=717, M/S ARORA AGRI BUSINESS VENTURES, SONIPAT, FACTORY)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_kg,165.0000,INR,per KG,2026-08-15,"GET /stock-status/ (id=724, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
MUSTARD KACHI GHANI,RM0MKG,purchased_in_tank_ltr,150.1500,INR,per LTR,2026-08-15,"GET /stock-status/ (id=724, AWL AGRI BUSINESS LIMITED, SONIPAT, FACTORY)"
SESAME,RM0SESM,purchased_in_tank_kg,223.0000,INR,per KG,2026-08-15,"GET /stock-status/ (id=722, TIRUPATI AGRO INDUSTRIES, SONIPAT, FACTORY)"
SESAME,RM0SESM,purchased_in_tank_ltr,202.9300,INR,per LTR,2026-08-15,"GET /stock-status/ (id=722, TIRUPATI AGRO INDUSTRIES, SONIPAT, FACTORY)"
GROUNDNUT FILTER,RM0GNF,purchased_in_tank_kg,168.0000,INR,per KG,2026-08-26,"GET /stock-status/ (id=728, DHANLAXMI EDIBLES PRIVATE LIMITED, SONIPAT, FACTORY)"
GROUNDNUT FILTER,RM0GNF,purchased_in_tank_ltr,152.8800,INR,per LTR,2026-08-26,"GET /stock-status/ (id=728, DHANLAXMI EDIBLES PRIVATE LIMITED, SONIPAT, FACTORY)"
VIRGIN COCONUT OIL,RM00VCCNT,purchased_in_tank_kg,350.0000,INR,per KG,2026-06-16,"GET /stock-status/ (id=524, APEX COCO AND SOLAR ENERGY LIMITED, SONIPAT, FACTORY)"
VIRGIN COCONUT OIL,RM00VCCNT,purchased_in_tank_ltr,318.5000,INR,per LTR,2026-06-16,"GET /stock-status/ (id=524, APEX COCO AND SOLAR ENERGY LIMITED, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,162.0000,INR,per KG,2026-06-04,"GET /stock-status/ (id=508, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,147.4200,INR,per LTR,2026-06-04,"GET /stock-status/ (id=508, VEE KAY ENTERPRISES, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_kg,152.0000,INR,per KG,2026-06-11,"GET /stock-status/ (id=531, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_ltr,138.3200,INR,per LTR,2026-06-11,"GET /stock-status/ (id=531, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,161.0000,INR,per KG,2026-05-29,"GET /stock-status/ (id=494, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, RADHANPUR)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,146.5100,INR,per LTR,2026-05-29,"GET /stock-status/ (id=494, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, RADHANPUR)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,154.0000,INR,per KG,2026-07-07,"GET /stock-status/ (id=624, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,140.1400,INR,per LTR,2026-07-07,"GET /stock-status/ (id=624, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=396, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=396, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,161.0000,INR,per KG,2026-07-04,"GET /stock-status/ (id=615, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, BAKOLI, DELHI)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,146.5100,INR,per LTR,2026-07-04,"GET /stock-status/ (id=615, VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED, BAKOLI, DELHI)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=397, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=397, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-21,"GET /stock-status/ (id=398, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-21,"GET /stock-status/ (id=398, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-28,"GET /stock-status/ (id=399, ILAHI CO, UP)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-28,"GET /stock-status/ (id=399, ILAHI CO, UP)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,154.0000,INR,per KG,2029-06-29,"GET /stock-status/ (id=611, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,140.1400,INR,per LTR,2029-06-29,"GET /stock-status/ (id=611, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_kg,158.9700,INR,per KG,2026-06-27,"GET /stock-status/ (id=564, GARG AGRO PRODUCTS LLP, SONIPAT, FACTORY)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_ltr,144.6630,INR,per LTR,2026-06-27,"GET /stock-status/ (id=564, GARG AGRO PRODUCTS LLP, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=401, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=401, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=405, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=405, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=402, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=402, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=406, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=406, ILAHI CO, SONIPAT, FACTORY)"
VIRGIN OLIVE OIL,RM0VO,contracted_kg,380.0000,INR,per KG,2026-07-31,"GET /stock-status/ (id=681, COBRAM, AUSTRALIA)"
VIRGIN OLIVE OIL,RM0VO,contracted_ltr,345.8000,INR,per LTR,2026-07-31,"GET /stock-status/ (id=681, COBRAM, AUSTRALIA)"
SOYABEAN,RM00SB,contracted_kg,149.0000,INR,per KG,2026-08-08,"GET /stock-status/ (id=703, AWL AGRI BUSINESS LIMITED, MUNDRA, GUJARAT)"
SOYABEAN,RM00SB,contracted_ltr,135.5900,INR,per LTR,2026-08-08,"GET /stock-status/ (id=703, AWL AGRI BUSINESS LIMITED, MUNDRA, GUJARAT)"
GROUNDNUT REFINED,RM00GNR,purchased_in_tank_kg,162.0000,INR,per KG,2026-06-18,"GET /stock-status/ (id=544, DHANLAXMI EDIBLES PRIVATE LIMITED, SONIPAT, FACTORY)"
GROUNDNUT REFINED,RM00GNR,purchased_in_tank_ltr,147.4200,INR,per LTR,2026-06-18,"GET /stock-status/ (id=544, DHANLAXMI EDIBLES PRIVATE LIMITED, SONIPAT, FACTORY)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_kg,149.3300,INR,per KG,2026-05-24,"GET /stock-status/ (id=432, ILAHI CO, RAXAUL)"
SOYABEAN TIN 13KG,SBTIN13KG,purchased_in_tank_ltr,135.8900,INR,per LTR,2026-05-24,"GET /stock-status/ (id=432, ILAHI CO, RAXAUL)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=400, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=400, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-18,"GET /stock-status/ (id=403, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-18,"GET /stock-status/ (id=403, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_kg,147.3300,INR,per KG,2026-05-24,"GET /stock-status/ (id=438, ILAHI CO, SONIPAT, FACTORY)"
SOYABEAN TIN 15KG,SBTIN15KG,purchased_in_tank_ltr,134.0700,INR,per LTR,2026-05-24,"GET /stock-status/ (id=438, ILAHI CO, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_kg,152.0000,INR,per KG,2026-07-18,"GET /stock-status/ (id=653, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
COLD PREESSED CANOLA OIL TIN 15KG,RM0CPCT 15KG,purchased_in_tank_ltr,138.3200,INR,per LTR,2026-07-18,"GET /stock-status/ (id=653, SHIVAY EDIBLES PVT LTD, SONIPAT, FACTORY)"
POMACE,RM00POM,purchased_in_tank_kg,350.0000,INR,per KG,2026-08-17,"GET /stock-status/ (id=720, MIGASA ACEITES S L U, SONIPAT, FACTORY)"
POMACE,RM00POM,purchased_in_tank_ltr,318.5000,INR,per LTR,2026-08-17,"GET /stock-status/ (id=720, MIGASA ACEITES S L U, SONIPAT, FACTORY)"
MUSTARD KACHI GHANI,RM0MKG,contracted_kg,173.5000,INR,per KG,2026-08-08,"GET /stock-status/ (id=709, AWL AGRI BUSINESS LIMITED, BUNDI, RAJASTHAN)"
MUSTARD KACHI GHANI,RM0MKG,contracted_ltr,157.8850,INR,per LTR,2026-08-08,"GET /stock-status/ (id=709, AWL AGRI BUSINESS LIMITED, BUNDI, RAJASTHAN)"
MUSTARD DEO,RM00MDEO,purchased_in_tank_kg,161.5000,INR,per KG,2026-08-21,"GET /stock-status/ (id=729, VAISHNODEVI REFOILS AND SOLEX, SONIPAT, FACTORY)"
MUSTARD DEO,RM00MDEO,purchased_in_tank_ltr,146.9650,INR,per LTR,2026-08-21,"GET /stock-status/ (id=729, VAISHNODEVI REFOILS AND SOLEX, SONIPAT, FACTORY)"
MUSTARD KACHI GHANI,RM0MKG,contracted_kg,174.5000,INR,per KG,2026-08-22,"GET /stock-status/ (id=739, M/S ARORA AGRI BUSINESS VENTURES, BUNDI, RAJASTHAN)"
MUSTARD KACHI GHANI,RM0MKG,contracted_ltr,158.7950,INR,per LTR,2026-08-22,"GET /stock-status/ (id=739, M/S ARORA AGRI BUSINESS VENTURES, BUNDI, RAJASTHAN)"
GROUNDNUT FILTER,RM0GNF,in_transit_kg,169.0000,INR,per KG,2026-08-29,"GET /stock-status/ (id=749, DHANLAXMI EDIBLES PRIVATE LIMITED, UP)"
GROUNDNUT FILTER,RM0GNF,in_transit_ltr,153.7900,INR,per LTR,2026-08-29,"GET /stock-status/ (id=749, DHANLAXMI EDIBLES PRIVATE LIMITED, UP)"
SOYABEAN,RM00SB,contracted_kg,150.0000,INR,per KG,2026-08-22,"GET /stock-status/ (id=738, M/S ARORA AGRI BUSINESS VENTURES, MUNDRA, GUJARAT)"
SOYABEAN,RM00SB,contracted_ltr,136.5000,INR,per LTR,2026-08-22,"GET /stock-status/ (id=738, M/S ARORA AGRI BUSINESS VENTURES, MUNDRA, GUJARAT)"
GROUNDNUT FILTER,RM0GNF,in_transit_kg,169.0000,INR,per KG,2026-08-30,"GET /stock-status/ (id=755, DHANLAXMI EDIBLES PRIVATE LIMITED, GUJARAT)"
