item,item_code,rate_type,rate,currency,unit,as_of,source_endpoint
SOYABEAN REFINED LOOSE OIL,RM0000025,AUGUST_COSTING_RATE (contracted),135.5900,INR,per LTR,2026-08-28,/stock-status/ id=760 M/S ARORA AGRI BUSINESS VENTURES | exim_item=RM00SB | map_conf=high | req=550348.89 L | value=74621806.00 INR
GROUNDNUT LOOSE OIL,RM0000011,AUGUST_COSTING_RATE (last_paid_in_tank),147.4200,INR,per LTR,2026-06-18,/stock-status/ id=544 DHANLAXMI EDIBLES PRIVATE LIMITED | exim_item=RM00GNR | map_conf=high | req=526259.69 L | value=77581203.50 INR
REFINED SUNFLOWER OIL,RM0000009,AUGUST_COSTING_RATE (market_factory_x0.91),161.9800,INR,per LTR,2026-08-28,/daily-price/db-list/ Sunflower | exim_item= | map_conf=high | req=420000.00 L | value=68031600.00 INR
RICE BRAN REFINED OIL,RM0000007,AUGUST_COSTING_RATE (contracted),131.9500,INR,per LTR,2026-05-13,/stock-status/ id=418 AWL AGRI BUSINESS LIMITED | exim_item=RM00RBR | map_conf=high | req=67142.83 L | value=8859496.42 INR
LOOSE OIL GOLD,RM0000021,AUGUST_COSTING_RATE (last_paid_in_tank),127.4000,INR,per LTR,2026-04-23,/stock-status/ id=345 JIVO WELLNESS PVT LTD - DL | exim_item=RM00GD | map_conf=high | req=63000.00 L | value=8026200.00 INR
SO OLIVE OIL,RM0000040,AUGUST_COSTING_RATE (sap_item_master),132.0000,INR,per LTR,2026-08-29,/items/rm/ | exim_item= | map_conf=none | req=32000.00 L | value=4224000.00 INR
SEASAME OIL,RM0000054,AUGUST_COSTING_RATE (last_paid_in_tank),202.9300,INR,per LTR,2026-08-15,/stock-status/ id=722 TIRUPATI AGRO INDUSTRIES | exim_item=RM0SESM | map_conf=high | req=25000.00 L | value=5073250.00 INR
LOOSE OIL COLD PRESS/REFINED,RM0000015,AUGUST_COSTING_RATE (last_paid_in_tank),127.4000,INR,per LTR,2026-07-01,/stock-status/ id=605 GRAINCORP OILSEEDS PTY LTD | exim_item=RM00CN | map_conf=high | req=23495.14 L | value=2993280.84 INR
REFINED COTTON OIL,RM0000030,AUGUST_COSTING_RATE (last_paid_in_tank),127.9200,INR,per LTR,2026-04-23,/stock-status/ id=338 JIVO WELLNESS PVT LTD - DL | exim_item=RM00CSR | map_conf=high | req=20700.50 L | value=2648007.96 INR
COCONUT EXTRA VIRGIN OIL,RM0000037,AUGUST_COSTING_RATE (last_paid_in_tank),318.5000,INR,per LTR,2026-06-16,/stock-status/ id=524 APEX COCO AND SOLAR ENERGY LIMITED | exim_item=RM00VCCNT | map_conf=high | req=9000.00 L | value=2866500.00 INR
PEANUT OIL,RM0000066,AUGUST_COSTING_RATE (in_transit),153.7900,INR,per LTR,2026-08-30,/stock-status/ id=755 DHANLAXMI EDIBLES PRIVATE LIMITED | exim_item=RM0GNF | map_conf=high | req=7611.28 L | value=1170538.75 INR
POMACE OLIVE LOOSE OIL IMPORTED,RM0000013,AUGUST_COSTING_RATE (last_paid_in_tank),318.5000,INR,per LTR,2026-08-17,/stock-status/ id=720 MIGASA ACEITES S L U | exim_item=RM00POM | map_conf=high | req=1713.19 L | value=545651.02 INR
LOOSE OIL SESAME SEED OIL (TOASTED),RM0000053,AUGUST_COSTING_RATE (sap_item_master),176.0000,INR,per LTR,2026-08-29,/items/rm/ | exim_item= | map_conf=none | req=1000.00 L | value=176000.00 INR
