FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
MAHAVEERTRANSPORT	Mahaveer Transport	2026-01	7	2	1.99	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-02	12	3.06	3.05	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-03	14	4.48	4.48	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-04	11	2.91	2.91	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-05	6	1.56	1.56	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-06	18	3.95	3.95	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-07	19	5.95	5.95	100	100	1	NULL	NULL	NULL	NULL
MAHAVEERTRANSPORT	Mahaveer Transport	2026-08	8	3	2.99	100	100	1	NULL	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2024-11	2	0.62	0.62	100	100	1	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2024-12	1	1.09	0	100	100	1	AMOD KUMAR TRANSPORT	2	0.49	45.4
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-05	9	2.62	2.57	100	100	3	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-06	18	5.5	5.5	100	100	2	AMOD KUMAR TRANSPORT	2	0.74	13.4
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-07	14	3.88	3.88	100	100	2	AMOD KUMAR TRANSPORT	2	0.73	18.8
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-08	12	3.81	3.81	100	100	2	AMOD KUMAR TRANSPORT	1	0.3	7.9
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-09	15	4.76	4.76	100	100	2	AMOD KUMAR TRANSPORT	2	0.7	14.7
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-10	17	5.55	5.55	100	100	2	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2025-11	3	0.94	0.94	100	100	1	AMOD KUMAR TRANSPORT	2	0.85	90.2
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-01	6	1.57	1.57	100	100	2	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-02	2	0.71	0.71	100	100	1	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-03	8	2.24	2.24	100	100	1	AMOD KUMAR TRANSPORT	1	0.04	1.8
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-04	1	0.38	0.38	100	100	1	AMOD KUMAR TRANSPORT	2	0.63	165
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-07	11	4.36	4.36	100	100	1	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
AMODKUMAR	AMOD KUMAR TRANSPORT	2026-08	6	2.48	2.48	100	100	1	AMOD KUMAR TRANSPORT	NULL	NULL	NULL
LAXMITRANSPORT	LAXMI TRANSPORT	2025-05	4	4.92	4.92	100	100	2	LAXMI TRANSPORT + LAXMI TRANSPORT SERVICE	NULL	NULL	NULL
LAXMITRANSPORT	LAXMI TRANSPORT	2025-10	3	26.89	26.89	100	100	1	LAXMI TRANSPORT + LAXMI TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAKTRANSPORTSERVICE	GURU NANAK TRANSPORT SERVICE	2025-04	2	0.11	0.11	100	100	1	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAKTRANSPORTSERVICE	GURU NANAK TRANSPORT SERVICE	2026-02	1	30.5	30.5	100	100	1	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
MAHAVIRTRANSPORT	MAHAVIR TRANSPORT	2025-09	3	0.91	0.91	100	100	2	MAHAVIR TRANSPORT	NULL	NULL	NULL
MAHAVIRTRANSPORT	MAHAVIR TRANSPORT	2025-10	8	27.54	27.54	100	100	1	MAHAVIR TRANSPORT	NULL	NULL	NULL
MAHAVIRTRANSPORT	MAHAVIR TRANSPORT	2026-02	2	0.59	0.59	100	100	1	MAHAVIR TRANSPORT	NULL	NULL	NULL
AVENGERSUPPLYCHAIN	Avenger Supply Chain	2025-11	1	25.26	25.26	100	100	1	AVENGER SUPPLY CHAIN SOLUTIONS LLP	NULL	NULL	NULL
AVENGERSUPPLYCHAIN	Avenger Supply Chain	2026-04	3	1.04	1.04	100	100	1	AVENGER SUPPLY CHAIN SOLUTIONS LLP	NULL	NULL	NULL
BALAJITRANSPORT	BALA JI TRANSPORT	2025-06	11	3.01	3.01	100	100	2	BALA JI TRANSPORT SERVICE	NULL	NULL	NULL
BALAJITRANSPORT	BALA JI TRANSPORT	2025-07	36	9.58	9.58	100	97.2	2	BALA JI TRANSPORT SERVICE	1	0.86	9
BALAJITRANSPORT	BALA JI TRANSPORT	2025-08	37	10.08	10.08	100	100	2	BALA JI TRANSPORT SERVICE	3	1.38	13.7
BALAJITRANSPORT	BALA JI TRANSPORT	2025-09	2	0.54	0.54	100	100	1	BALA JI TRANSPORT SERVICE	3	1.91	352.5
OMLOGISTICS	OM LOGISTICS	2025-02	1	0	0	0	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTICS	OM LOGISTICS	2025-03	1	0.12	0.12	100	0	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	1	0	0.8
OMLOGISTICS	OM LOGISTICS	2025-04	2	0.7	0.7	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTICS	OM LOGISTICS	2025-05	4	1.87	1.5	100	100	3	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTICS	OM LOGISTICS	2025-06	4	2.1	1.94	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	3	0.11	5.1
OMLOGISTICS	OM LOGISTICS	2025-07	5	3.37	3.33	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTICS	OM LOGISTICS	2025-08	7	1.64	0.94	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	3	0.35	21.6
OMLOGISTICS	OM LOGISTICS	2025-09	3	1.89	1.89	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	2	0.36	19.3
OMLOGISTICS	OM LOGISTICS	2025-10	7	1.66	1.16	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTICS	OM LOGISTICS	2025-11	3	0.06	0	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	1	0.37	672.9
