DOCTYPE	SIDE	SGN	OBJ_TYPE	DOC_ENTRY	DOC_NUM	EXT_REF	CARD_CODE	CARD_NAME	CARD_TYPE	BP_GROUP	ACCT_KIND	IS_GROUP	BPL_ID	BPL_NAME	DOC_DATE	DUE_DATE	DAYS_OVERDUE	AGE_DAYS	AGE_BUCKET	IS_MIGRATED	DOC_TOTAL	APPLIED	OPEN_AMT	SIGNED_OPEN	CURRENCY	OPEN_AMT_FC	OITR_RECON_AMT	OITR_LINES	RECON_STATE	CARD_BALANCE	CARD_OPEN_NET	CARD_OPEN_GROSS	CARD_STALE_GAP	CARD_REAL_PCT	ITEM_REAL_EST	SIZE_RANK	DT_SIZE_RANK	DT_ITEMS_ALL	DT_OPEN_ALL	DT_ITEMS_SHOWN	DT_OPEN_SHOWN	CO_ITEMS_ALL	CO_ITEMS_SHOWN	CO_OPEN_ALL	CO_OPEN_SHOWN	CO_OPEN_NET	CO_OCRD_NET	CO_STALE_GAP	CO_MIGRATED_OPEN	AS_OF
AR_RCT	AR	-1	24	20893	626246747		CUSTA000239	AGGARWAL SUPER MART PVT LTD	C	DELHI	TRADE	0	2	FACTORY	2026-06-21	2026-06-21	62	62	3_61-90	0	390000	0	390000	-390000	INR	0	0	0	NONE	0	0	780000	0	100	390000	2227	306	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25489	626466891		VENDA001712	RB OIL MILLS	S	PURCHASE OIL	TRADE	0	2	FACTORY	2026-06-22	2026-06-22	61	61	3_61-90	0	1050000	0	1050000	1050000	INR	0	0	0	NONE	0	0	2100000	0	100	1050000	1457	139	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25502	626466899		VENDA001713	SERVOKON SYSTEMS LIMITED	S	FIXED ASSETS	TRADE	0	2	FACTORY	2026-06-22	2026-06-22	61	61	3_61-90	0	195000	0	195000	195000	INR	0	0	0	NONE	0	0	1534000	0	100	195000	2700	218	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25496	626466896		ORGV000465	ARVINDER SINGH IMPREST JWPL0115 FACTORY IMPREST 5 LAKH	S	STAFF VENDOR	STAFF	0	2	FACTORY	2026-06-22	2026-06-22	61	61	3_61-90	0	100000	0	100000	100000	INR	0	0	0	NONE	665728	326189	753811	-339539	100	100000	3192	278	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25576	626466955		VENDA001603	ANJU MANGLA	S	FIXED ASSETS	TRADE	0	2	FACTORY	2026-06-23	2026-06-23	60	60	2_31-60	0	30000000	0	30000000	30000000	INR	0	0	0	NONE	0	-32019750	389231958	-32019750	0	0	48	21	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	74885	626060175		CUSTA000113	UJJWAL ENTERPRISES	C	UTTAR PRADESH	TRADE	0	2	FACTORY	2026-06-08	2026-06-23	60	75	2_31-60	0	1095783	0	1095783	1095783	INR	0	0	0	NONE	203	203	4103159	0	100	1095783	1419	632	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25553	626466943		VENDA000927	OCEAN NETWORK EXPRESS INDIA PVT LTD AACCO6217A	S	IMPORT & EXPORT	TRADE	0	2	FACTORY	2026-06-23	2026-06-23	60	60	2_31-60	0	685934	0	685934	685934	INR	0	0	0	NONE	0	0	1371868	0	100	685934	1825	154	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_RCT	AR	-1	24	20929	626246774		CUSTA000242	AKAL INFORMATION SYSTEMS LTD	C	DEBTORS	INTERCO	1	7	DELHI INFO	2026-06-23	2026-06-23	60	60	2_31-60	0	580000	0	580000	-580000	INR	0	0	0	NONE	10000	142000	16614000	132000	7.0423	40845.07	1933	240	3057	738639513.11	400	687183483.13	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25564	626466948		VENDA000521	UTTAR HARYANA BIJLI VITRAN NIGAM LIMITED ELECTRICITY KUNDLI VEND	S	SERVICE	TRADE	0	2	FACTORY	2026-06-23	2026-06-23	60	60	2_31-60	0	97631	0	97631	97631	INR	0	0	0	NONE	2372653.01	6245466.01	11417852.01	3872813	37.99	37090.02	3233	283	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25571	626466953		ORGV000052	SUSHIL KUMAR SINGH IT 20000 IMPREST JWPL0010	S	STAFF VENDOR	STAFF	0	1	DELHI	2026-06-23	2026-06-23	60	60	2_31-60	0	38500	0	38500	38500	INR	0	0	0	NONE	145443.51	171169.15	246773.23	25725.64	84.9706	32713.69	4603	371	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AR_INV	AR	1	13	75567	626060432	2026-27/216	CUSTA001089	SAFE AND SECURE ONLINE MARKETING PVT LTD	C	DELHI	TRADE	0	2	FACTORY	2026-06-24	2026-06-24	59	59	2_31-60	0	1260000	0	1260000	1260000	INR	0	0	0	NONE	-1224594	-2880411	17081871	-1655817	42.5146	535683.43	1262	542	13030	1825743008.07	669	1439053676.61	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25583	626466958		VENDA000222	BSES RAJDHANI POWER LIMITED ELECTRICITY DELHI VEND	S	SERVICE	TRADE	0	1	DELHI	2026-06-24	2026-06-24	59	59	2_31-60	0	171060	0	171060	171060	INR	0	0	0	NONE	191850	191850	1095910	0	100	171060	2780	223	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25601	626466967		VENDA000138	CHICAGO PNEUMATIC COMPRESSORS	S	SERVICE	TRADE	0	2	FACTORY	2026-06-24	2026-06-24	59	59	2_31-60	0	139388	0	139388	139388	INR	0	0	0	NONE	29768	29768	249008	0	100	139388	2926	238	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25599	626466965		VENDA001380	GIRNAR HYDRAULIC & FITTINGS	S	FIXED ASSETS	TRADE	0	2	FACTORY	2026-06-24	2026-06-24	59	59	2_31-60	0	32758	0	32758	32758	INR	0	0	0	NONE	-118	-118	65634	0	100	32758	4896	396	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25622	626466978		VENDA001358	MAA JAWALA OVERSEAS	S	PURCHASE OIL	TRADE	0	2	FACTORY	2026-06-25	2026-06-25	58	58	2_31-60	0	4336430	0	4336430	4336430	INR	0	0	0	NONE	7	7	18003853	0	100	4336430	284	85	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25618	626466975		VENDA001207	TRANSGLOBE SHIPTRANS PRIVATE LIMITED	S	PURCHASE OIL	TRADE	0	2	FACTORY	2026-06-25	2026-06-25	58	58	2_31-60	0	525893	0	525893	525893	INR	0	0	0	NONE	32322	32322	1019464	0	100	525893	1996	162	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_PMT	AP	1	46	25701	626467021		VENDA000279	DIL EXIM COMMODITIES PRIVATE LIMITED	S	PURCHASE OIL	TRADE	0	2	FACTORY	2026-06-27	2026-06-27	56	56	2_31-60	0	11950208	0	11950208	11950208	INR	0	0	0	NONE	81727	81727	59380955	0	100	11950208	107	42	831	20179708202.13	400	20175391210.65	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
AP_INV	AP	-1	18	47440	626064370	MJO/26-27/00312	VENDA001358	MAA JAWALA OVERSEAS	S	PURCHASE OIL	TRADE	0	2	FACTORY	2026-06-27	2026-06-27	56	56	2_31-60	0	4336423	0	4336423	-4336423	INR	0	4133333.34	1	PARTIAL	7	7	18003853	0	100	4336423	285	127	4321	3107075765.73	532	2882908627.02	23240	2168	25866962370.17	25197416525.75	18150743316.23	128919661.96	18021823654.28	19824875948.08	2026-08-22
