SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR	VENDA001011	BHARGAVE ROAD CARRIER [EXTERNAL]	5	5	9	53114	2655.7	55769.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	5	0	0	5	2	40	2.4	1	5	55769.7	0	0	0	0
VENDOR	VENDA000719	SHRI CHAND COMPUTERS AND LAPTOP [EXTERNAL]	5	1	2	40423.73	7276.27	47700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	47700	0	0	0	0
VENDOR	VENDA000988	SHRI VINAYAK PACKAGING MACHINE PRIVATE LIMITED [EXTERNAL]	5	1	1	38000	6840	44840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	44840	0	0	0	0
VENDOR	VENDA000987	HARJAS ENTERPRISES [EXTERNAL]	5	3	3	35765.44	6437.78	42203.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	3	0	0	3	2	66.67	2.33	0	3	42203.22	0	0	0	0
VENDOR	VENDA001024	ZENITH INTERNATIONAL [EXTERNAL]	5	1	1	31008	5581.44	36589.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	36589.44	0	0	0	0
VENDOR	VENDA000999	PICKNPACK SOLUTIONS INDIA PRIVATE LIMITED [EXTERNAL]	5	1	1	27000	4860	31860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	31860	0	0	0	0
VENDOR	VENDA000522	BHAGWATI INDUSTRIES [EXTERNAL]	5	2	3	24024	4324.32	28348.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	2	0	0	2	2	100	0	0	2	28348.32	0	0	0	0
VENDOR	VENDA001009	RCM LOGISTICS [EXTERNAL]	5	1	2	19500	975	20475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	20475	0	0	0	0
VENDOR	VENDA000992	OM THERMOCOL PACKING MATERIAL [EXTERNAL]	5	1	1	4380	788.4	5168.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	5168.4	0	0	0	0
VENDOR	VENDA000985	HARI OM ELECTRONICS [EXTERNAL]	5	1	1	3389	610.02	3999.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	3999.02	0	0	0	0
VENDOR	ORGV000196	GAGANDEEP SINGH IMPREST JWPL2029 25K [EXTERNAL]	5	1	1	2000	360	2360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	1	100	0	0	1	2360	0	0	0	0
VENDOR_UNBILLED	VENDA000001	JIVO WELLNESS PVT LTD [INTERCOMPANY]	6	2604	13154	2632351728.82	133254315.97	2765606044.79	13	16	17194410	859720.5	18054130.5	18054130.5	0	0	0	0	0	0	0	0	0	2026-08-19	3	0	0	0	0	0	0	2591	13	18054130.5	2591	2275	87.8	0.94	0	0	0	0	0	0	0
VENDOR_UNBILLED	VENDA001019	ABHIMAN EXPRESS [EXTERNAL]	6	21	48	2031016	101550.8	2132566.8	11	29	1088288	54414.4	1142702.4	774887.4	367815	0	0	0	0	0	0	29	1142702.4	2026-07-01	52	0	0	0	0	0	0	10	11	1142702.4	10	0	0	10.1	11	21	2132566.8	11	1142702.4	0	0
VENDOR_UNBILLED	VENDA001018	PICK & SHIP LOGISTICS PRIVATE LIMITED [EXTERNAL]	6	18	36	582444.61	104840.03	687284.64	6	10	151180.15	27212.43	178392.58	0	133919.56	44473.02	0	0	0	0	0	10	178392.58	2026-06-20	63	0	0	0	0	0	0	12	6	178392.58	12	0	0	15.67	14	18	687284.64	6	178392.58	0	0
VENDOR_UNBILLED	VENDA000636	DELHI PUNJAB TRANSPORT CO [EXTERNAL]	6	9	22	131561	6578.05	138139.05	6	16	90767	4538.35	95305.35	42411.6	52893.75	0	0	0	0	0	0	16	95305.35	2026-07-01	52	0	0	0	0	0	0	3	6	95305.35	3	3	100	0	0	9	138139.05	6	95305.35	0	0
VENDOR_UNBILLED	VENDA000996	S.N. INDUSTRIES [EXTERNAL]	6	12	17	797093.8	143476.88	940570.68	1	1	61037.5	10986.75	72024.25	0	0	0	0	72024.25	0	1	72024.25	0	0	2025-09-13	343	0	0	0	1	1	72024.25	10	2	144048.5	10	8	80	2.3	0	12	940570.68	1	72024.25	1	72024.25
VENDOR_UNBILLED	VENDA001008	ILAHI CO [EXTERNAL]	6	7	23	191193.33	9559.67	200753	1	2	63390.72	3169.54	66560.26	0	0	0	0	66560.26	0	1	66560.26	0	0	2026-01-19	215	0	0	0	0	0	0	6	1	66560.26	6	6	100	0	0	7	200753	1	66560.26	1	66560.26
VENDOR_UNBILLED	VENDA000935	ARNAV TRANSPORT SERVICE [EXTERNAL]	6	12	26	130036	6501.8	136537.8	4	7	42216	2110.8	44326.8	23100	21226.8	0	0	0	0	0	0	7	44326.8	2026-07-16	37	0	0	0	0	0	0	8	4	44326.8	8	2	25	4.88	4.5	12	136537.8	4	44326.8	0	0
VENDOR_UNBILLED	VENDA001010	MAHAVIR TRANSPORT [EXTERNAL]	6	8	18	65529	3276.45	68805.45	1	1	5513	275.65	5788.65	0	5788.65	0	0	0	0	0	0	1	5788.65	2026-07-09	44	0	0	0	0	0	0	7	1	5788.65	7	0	0	8	8	8	68805.45	1	5788.65	0	0
VENDOR_UNBILLED	VENDA000277	CVS PACKAGING PRIVATE LIMITED [EXTERNAL]	6	66	172	1764749.3	128044.64	1892793.95	1	1	20	1	21	0	0	0	0	21	0	1	21	0	0	2025-12-01	264	0	0	0	0	0	0	66	0	0	66	49	74.24	6.79	0	66	1892793.95	1	21	1	21
WAREHOUSE	DL-FG	DL-FG	7	1254	7599	887246734.51	44964525.26	932211259.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	1	1	4022550	0	0	0	1253	1	4022550	NULL	NULL	NULL	NULL	NULL	17	41734057.21	0	0	0	0
WAREHOUSE	BH-FG	BH-FG	7	616	2706	553326810.5	27892032.96	581218843.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	616	0	0	NULL	NULL	NULL	NULL	NULL	5	62658	0	0	0	0
WAREHOUSE	BH-FGM	BH-FGM	7	240	499	548292306.59	27431447.92	575723754.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	240	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	DL-MP	DL-MP	7	449	2061	358659684.65	19072619.47	377732304.12	2	3	63410.72	3170.54	66581.26	0	0	0	0	66581.26	0	2	66581.26	0	0	2025-12-01	264	1	1	10499.64	0	0	0	447	2	77059.9	NULL	NULL	NULL	NULL	NULL	163	4799441.75	2	66581.26	2	66581.26
WAREHOUSE	GP-FGM	GP-FGM	7	171	228	312961743.34	15648327.16	328610070.5	13	16	17194410	859720.5	18054130.5	18054130.5	0	0	0	0	0	0	0	0	0	2026-08-19	3	0	0	0	0	0	0	158	13	18054130.5	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	FBF-HR	FBF-HR	7	78	104	90630700.97	4544669.06	95175370.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	78	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	PB-FG	PB-FG	7	63	453	18085730.48	904286.34	18990016.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	63	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	GM-HR	GM-HR	7	11	105	9037101.39	451855.08	9488956.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	11	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	BH-JM	BH-JM	7	19	44	7835969.92	452732.83	8288702.74	1	1	61037.5	10986.75	72024.25	0	0	0	0	72024.25	0	1	72024.25	0	0	2025-09-13	343	0	0	0	1	1	72024.25	17	2	144048.5	NULL	NULL	NULL	NULL	NULL	12	625388.61	1	72024.25	1	72024.25
WAREHOUSE	DL-GR	DL-GR	7	14	70	4073031.04	203750.56	4276781.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	14	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	(none)	(none)	7	78	177	3397976.61	245616.63	3643593.24	28	63	1377964.15	88551.63	1466515.78	840399	581643.76	44473.02	0	0	0	0	0	63	1466515.78	2026-06-20	63	1	5	118650	0	0	0	49	29	1585165.78	NULL	NULL	NULL	NULL	NULL	78	3643593.24	28	1466515.78	0	0
WAREHOUSE	KT-FG	KT-FG	7	1	15	2448613.22	122430.66	2571043.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	DL-EC	DL-EC	7	17	88	955124.88	129846.21	1084971.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	17	0	0	NULL	NULL	NULL	NULL	NULL	14	643283.07	0	0	0	0
WAREHOUSE	DL-FA	DL-FA	7	4	5	182540.27	32857.25	215397.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL	4	215397.52	0	0	0	0
WAREHOUSE	KT-FBF	KT-FBF	7	3	4	203337.83	10166.89	213504.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	3	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	GP-ECM	GP-ECM	7	2	3	24024	4324.32	28348.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	2	0	0	NULL	NULL	NULL	NULL	NULL	2	28348.32	0	0	0	0
