SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
BRANCH	2	FACTORY	4	9667	18378	6972313051.88	326522015.19	7298835067.07	305	599	59897533.91	4833832.63	64731366.54	62767439.15	1187341.78	488718.64	87784.21	171195.79	28886.97	34	287866.97	177	1654934.17	2024-10-28	663	140	316	5968871.37	3	3	594165.12	9250	417	71150347.67	9250	4780	51.68	14.74	0	9439	7244165657.16	305	64731366.54	34	287866.97
BRANCH	3	PUNJAB	4	451	1759	449035468.19	22477487.95	471512956.14	2	2	19550	1103.5	20653.5	0	0	18637.5	0	0	2016	1	2016	1	18637.5	2025-08-04	383	0	0	0	0	0	0	449	2	20653.5	449	132	29.4	4.58	2	1	18637.5	1	18637.5	0	0
BRANCH	1	DELHI	4	544	2766	98531825.19	6023700.31	104555525.49	7	50	49007.75	2664.32	51672.07	46013.99	0	0	5658.08	0	0	2	5658.08	0	0	2026-04-13	131	2	7	22484.9	0	0	0	535	9	74156.97	535	357	66.73	10.84	0	432	9718794.57	7	51672.07	2	5658.08
BRANCH	8	HARYANA INFO	4	1	1	11043.74	1987.87	13031.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	1	0	0	29	29	1	13031.61	0	0	0	0
VENDOR	VENDA000052	VEE KAY ENTERPRISES [EXTERNAL]	5	69	69	638713117	31935655.87	670648772.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	69	0	0	69	66	95.65	0.16	0	69	670648772.87	0	0	0	0
VENDOR	VENDA000930	VAISHNODEVI AGRO RESOURCES PRIVATE LIMITED [EXTERNAL]	5	112	118	557705229.09	27885261.49	585590490.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	112	0	0	112	106	94.64	0.65	0	112	585590490.58	0	0	0	0
VENDOR	VENDA000003	JIVO WELLNESS PVT LTD - HR [BRANCH]	5	556	2304	534213159	27250820.56	561463979.57	1	1	1800	216	2016	0	0	0	0	0	2016	1	2016	0	0	2025-08-04	383	0	0	0	0	0	0	555	1	2016	555	173	31.17	5.71	2	0	0	0	0	0	0
VENDOR	VENDA000698	CONCEPT COLOUR [EXTERNAL]	5	62	63	530407212.5	26520360.63	556927573.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	62	0	0	62	61	98.39	-0.02	0	62	556927573.13	0	0	0	0
VENDOR	VENDA000224	AWL AGRI BUSINESS LIMITED [EXTERNAL]	5	100	100	526075825	26303791.23	552379616.23	3	3	15911710	795585.5	16707295.5	16707295.5	0	0	0	0	0	0	0	0	0	2026-08-19	3	0	0	0	0	0	0	97	3	16707295.5	97	97	100	0	0	100	552379616.23	3	16707295.5	0	0
VENDOR	VENDA000724	AL GHURAIR RESOURCES OILS & PROTIENS L L C [EXTERNAL]	5	13	13	433874395.52	-2.32	433874393.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	13	0	0	13	9	69.23	2.38	0	13	433874393.19	0	0	0	0
VENDOR	VENDA000599	EDIBLE OIL CO D LLC [EXTERNAL]	5	11	11	394627113.04	-3.47	394627109.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	11	0	0	11	10	90.91	1.18	0	11	394627109.56	0	0	0	0
VENDOR	VENDA000279	DIL EXIM COMMODITIES PRIVATE LIMITED [EXTERNAL]	5	70	70	362556049.81	18127802.5	380683852.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	70	0	0	70	69	98.57	-0.01	0	70	380683852.31	0	0	0	0
VENDOR	VENDA000950	VAISHNODEVI OIL SEEDS  PROCESSING INDUSTRIES [EXTERNAL]	5	64	64	335943004.97	16797150.24	352740155.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	64	0	0	64	64	100	0	0	64	352740155.21	0	0	0	0
