FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-11	70	469.92	230.25	100	100	2	ARNAV TRANSPORT SERVICE	5	1.86	0.4
ARNAVTRANSPORT	ARNAV TRANSPORT	2025-12	69	442.6	290.97	100	100	2	ARNAV TRANSPORT SERVICE	2	-0.05	0
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-01	122	644.45	282.67	100	100	2	ARNAV TRANSPORT SERVICE	5	3.4	0.5
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-02	110	684.23	260.16	100	100	2	ARNAV TRANSPORT SERVICE	3	2.25	0.3
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-03	89	588.03	244.8	100	100	1	ARNAV TRANSPORT SERVICE	4	1.81	0.3
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-04	78	485.09	346.23	100	100	1	ARNAV TRANSPORT SERVICE	1	0.54	0.1
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-05	57	256.94	256.9	100	100	1	ARNAV TRANSPORT SERVICE	4	2.89	1.1
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-06	42	194.16	194.16	100	100	1	ARNAV TRANSPORT SERVICE	6	1.84	0.9
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-07	78	264.63	244.23	100	100	2	ARNAV TRANSPORT SERVICE	7	1.85	0.7
ARNAVTRANSPORT	ARNAV TRANSPORT	2026-08	35	112.42	112.42	100	100	1	ARNAV TRANSPORT SERVICE	1	0.32	0.3
MAHADEV	MAHADEV TEMPO	2024-10	27	311.21	94.42	55.6	63	1	MAHADEV TEMPO SERVICE	3	5.03	1.6
MAHADEV	MAHADEV TEMPO	2024-11	27	452.15	287.38	96.3	59.3	3	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
MAHADEV	MAHADEV TEMPO	2024-12	63	736.94	512.62	100	92.1	1	MAHADEV TEMPO SERVICE	9	11.86	1.6
MAHADEV	MAHADEV TEMPO	2025-01	30	315.18	210.42	90	93.3	4	MAHADEV TEMPO SERVICE	6	7.05	2.2
MAHADEV	MAHADEV TEMPO	2025-02	39	403.37	298.24	97.4	87.2	5	MAHADEV TEMPO SERVICE	4	6.59	1.6
MAHADEV	MAHADEV TEMPO	2025-03	43	470.82	283.55	100	100	2	MAHADEV TEMPO SERVICE	5	5.15	1.1
MAHADEV	MAHADEV TEMPO	2025-04	20	145.29	86.66	100	100	3	MAHADEV TEMPO SERVICE	1	0.99	0.7
MAHADEV	MAHADEV TEMPO	2025-05	60	551.99	308.6	100	100	5	MAHADEV TEMPO SERVICE	2	3.5	0.6
MAHADEV	MAHADEV TEMPO	2025-06	65	526.2	365.84	100	100	3	MAHADEV TEMPO SERVICE	2	1.42	0.3
MAHADEV	MAHADEV TEMPO	2025-07	80	698.37	487.48	100	100	2	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
MAHADEV	MAHADEV TEMPO	2025-08	59	491.55	375.06	100	100	4	MAHADEV TEMPO SERVICE	5	7.72	1.6
MAHADEV	MAHADEV TEMPO	2025-09	62	340.77	229.53	100	98.4	2	MAHADEV TEMPO SERVICE	5	5.09	1.5
MAHADEV	MAHADEV TEMPO	2025-10	70	445.57	322.32	100	100	2	MAHADEV TEMPO SERVICE	4	2.97	0.7
MAHADEV	MAHADEV TEMPO	2025-11	12	44.48	30.83	100	100	2	MAHADEV TEMPO SERVICE	6	2.71	6.1
MAHADEV	MAHADEV TEMPO	2025-12	29	207.66	207.66	100	100	1	MAHADEV TEMPO SERVICE	2	1.68	0.8
MAHADEV	MAHADEV TEMPO	2026-01	41	202.07	188.47	100	100	1	MAHADEV TEMPO SERVICE	2	2.65	1.3
MAHADEV	MAHADEV TEMPO	2026-02	24	153.88	120.03	100	100	1	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
MAHADEV	MAHADEV TEMPO	2026-03	22	108.93	50.22	100	100	1	MAHADEV TEMPO SERVICE	2	2.37	2.2
MAHADEV	MAHADEV TEMPO	2026-04	6	30.06	30.06	100	100	1	MAHADEV TEMPO SERVICE	1	0.56	1.9
MAHADEV	MAHADEV TEMPO	2026-05	16	79	79	100	100	2	MAHADEV TEMPO SERVICE	NULL	NULL	NULL
RKTANKER	R K TANKER	2025-01	7	399.5	399.5	100	100	2	R K TANKER SERVICE	4	37.07	9.3
RKTANKER	R K TANKER	2025-02	8	619.78	619.78	100	100	1	R K TANKER SERVICE	5	29.21	4.7
RKTANKER	R K TANKER	2025-03	10	605.1	605.1	100	100	3	R K TANKER SERVICE	5	49.25	8.1
RKTANKER	R K TANKER	2025-04	19	1123.85	1123.85	100	100	4	R K TANKER SERVICE	10	48.96	4.4
RKTANKER	R K TANKER	2025-05	2	125.11	125.11	100	100	2	R K TANKER SERVICE	2	12.16	9.7
RKTANKER	R K TANKER	2025-06	5	319.35	319.35	100	100	1	R K TANKER SERVICE	7	59.84	18.7
RKTANKER	R K TANKER	2025-07	2	94.48	94.48	100	100	2	R K TANKER SERVICE	7	38.59	40.8
RKTANKER	R K TANKER	2025-08	6	316.48	316.48	100	100	5	R K TANKER SERVICE	16	77.97	24.6
RKTANKER	R K TANKER	2025-09	4	214.21	214.21	100	100	3	R K TANKER SERVICE	10	52.06	24.3
RKTANKER	R K TANKER	2025-10	5	316.26	316.26	100	100	3	R K TANKER SERVICE	5	29.53	9.3
RKTANKER	R K TANKER	2025-11	6	359.77	359.77	100	100	2	R K TANKER SERVICE	8	56.62	15.7
