SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	RET_DOCS	RET_DOCS_ZERO_VALUE	RET_DOCS_OPEN	RET_DOCS_FROM_DELIVERY	RET_QTY_PCS	RET_QTY_OTHER_UOM	RET_NET	RET_GST	RET_GROSS	RET_STOCK_COST	RET_DOCS_NO_CN	RET_DOCS_NO_CN_BILLED	RET_QTY_PCS_NO_CN	RET_STOCK_COST_NO_CN	CN_DOCS	CN_NET	SALES_NET	CN_PCT_OF_SALES	RET_COST_PCT_OF_SALES
MONTH	2025-11	2025-11	52025-11	12	10	5	1	31385	2400	148427.58	9171.42	157599	18943.19	6	0	433	18943.19	6	419713.65	18249226.47	2.2999	0.1038
MONTH	2025-12	2025-12	52025-12	10	10	7	0	4121	0	0	0	0	233.6	7	0	3766	233.6	3	71812.77	3994213.14	1.7979	0.0058
MONTH	2026-01	2026-01	52026-01	19	11	13	4	1992	0	147000	0	147000	0	17	0	1977	0	2	396.75	3627616.69	0.0109	0
MONTH	2026-02	2026-02	52026-02	3	3	3	0	636	0	0	0	0	0	3	0	636	0	0	0	7532773.79	0	0
MONTH	2026-03	2026-03	52026-03	7	7	0	0	2705	0	0	0	0	0	0	0	0	0	7	15430.03	9974669.52	0.1547	0
MONTH	2026-04	2026-04	52026-04	2	1	0	1	151	0	1	0.18	1.18	2410.35	1	0	1	113	1	5356.5	9614224.09	0.0557	0.0251
MONTH	2026-05	2026-05	52026-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11343216.47	0	0
MONTH	2026-06	2026-06	52026-06	7	7	0	0	3972	0	0	0	0	0	0	0	0	0	7	17869.56	13977384.54	0.1278	0
MONTH	2026-07	2026-07	52026-07	5	4	2	0	4439	0	285.7	14.3	300	0	2	0	3120	0	3	5191.53	14328572.16	0.0362	0
MONTH	2026-08	2026-08	52026-08	1	1	1	0	24	0	0	0	0	0	1	0	24	0	0	0	6645428.92	0	0
CUSTOMER	CUSTA001061	BHARTI MACHINERY TOOLS [EXTERNAL]	6	1	1	0	1	0	242950.5	0	0	0	140113.03	1	0	0	140113.03	0	0	0	NULL	NULL
CUSTOMER	CUSTA000356	FREE SAMPLE [EXTERNAL]	6	13	0	4	9	6231	0	180188.5	4342.68	184531.18	47032.39	13	0	6231	47032.39	0	0	659244.47	0	7.1343
CUSTOMER	CUSTA000606	JIVO MART PVT LTD [INTERCOMPANY]	6	31	31	16	1	24700	0	0	0	0	18340.19	17	1	6141	722.64	14	271353.37	4716535.04	5.7532	0.3888
