ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	25696	2026086616	2026-08-14	2026-08	8	0-30	O	VENDA001320	BALAJI INC.	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	4300	220826005	1	1	0	48530.5	2426.5	50957	48530	2426.5	50956.5	N	0	NULL	NULL
UNBILLED	24089	2026066837	2026-06-23	2026-06	60	31-60	O	VENDA001340	HARI OM BHATTA CO.	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	82/cancel	220626139	1	1	0	45920	0	45920	45920	0	45920	N	0	NULL	NULL
UNBILLED	24721	2026076596	2026-07-11	2026-07	42	31-60	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/623	220726049	1	1	0	45076	0	45076	45076	0	45076	N	0	NULL	NULL
UNBILLED	25900	2026086708	2026-08-22	2026-08	0	0-30	O	VENDA001753	BAL KRISHNA INDUSTRIES	SERVICE	EXTERNAL	2	FACTORY	BH-PM	BKI/26-27/020	220726117	1	1	0	37531.37	6755.63	44287	37531.3	6755.63	44286.93	N	0	NULL	NULL
UNBILLED	18511	2025126893	2025-12-26	2025-12	239	181-365	O	VENDA001340	HARI OM BHATTA CO.	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	239	1225226672	1	1	0	43680	0	43680	43680	0	43680	N	0	NULL	NULL
UNBILLED	25502	2026086549	2026-08-05	2026-08	17	0-30	O	VENDA000268	HINDUSTAN BOTTLING AND ENGINEERS ASLPR2171A	SERVICE	EXTERNAL	2	FACTORY	BH-FA	HBE/26-27/0380	220726056	5	5	0	35388.16	6369.84	41758	35388	6369.84	41757.84	N	0	NULL	NULL
UNBILLED	25882	2026086701	2026-08-03	2026-08	19	0-30	O	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	NCR-3626	NULL	1	1	1	35349.2	6362.8	41712	35348.9	6362.8	41711.7	N	0	NULL	NULL
UNBILLED	25338	2026086508	2026-08-01	2026-08	21	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/746	220826000	1	1	0	39442	0	39442	39442	0	39442	N	0	NULL	NULL
UNBILLED	25341	2026076871	2026-07-31	2026-07	22	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/743	220726141	1	1	0	39442	0	39442	39441.5	0	39441.5	N	0	NULL	NULL
UNBILLED	25564	2026086569	2026-08-09	2026-08	13	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/845	220826043	1	1	0	39442	0	39442	39441.5	0	39441.5	N	0	NULL	NULL
UNBILLED	25841	2026086684	2026-08-18	2026-08	4	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/949	220826078	1	1	0	39442	0	39442	39441.5	0	39441.5	N	0	NULL	NULL
UNBILLED	23692	2026066658	2026-06-05	2026-06	78	61-90	O	VENDA001676	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	260350	NULL	2	2	2	37148	0	37148	37148	1857.4	39005.4	N	0	NULL	NULL
UNBILLED	25518	2026086554	2026-08-07	2026-08	15	0-30	O	VENDA001688	CORE PACKAGING	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	CORE/26-27/2308	220726094,220826019	2	2	0	31468.67	5664.33	37133	31468.5	5664.33	37132.83	N	0	NULL	NULL
UNBILLED	25339	2026076870	2026-07-30	2026-07	23	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/742	220726141	1	1	0	36624	0	36624	36624.25	0	36624.25	N	0	NULL	NULL
UNBILLED	25692	2026086614	2026-08-13	2026-08	9	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1162/2026-27	220826004	2	2	0	29879.6	5378.4	35258	29880	5378.4	35258.4	N	0	NULL	NULL
UNBILLED	25340	2026086509	2026-08-02	2026-08	20	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/759	220726141	1	1	0	33807	0	33807	33807	0	33807	N	0	NULL	NULL
UNBILLED	25880	2026086700	2026-08-19	2026-08	3	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1216/2026-27	220826080	1	1	0	28350	5103	33453	28350	5103	33453	N	0	NULL	NULL
UNBILLED	25691	2026086613	2026-08-13	2026-08	9	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1165/2026-27	220826023	4	4	0	27060.2	4870.8	31931	27060	4870.8	31930.8	N	0	NULL	NULL
UNBILLED	25690	2026086612	2026-08-13	2026-08	9	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1163/2026-27	220726001	2	2	0	26800	4824	31624	26800	4824	31624	N	0	NULL	NULL
UNBILLED	25495	2026086545	2026-08-05	2026-08	17	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/768	220826028	1	1	0	30990	0	30990	30989.75	0	30989.75	N	0	NULL	NULL
UNBILLED	25496	2026086546	2026-08-05	2026-08	17	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/764	220826028	1	1	0	30990	0	30990	30989.75	0	30989.75	N	0	NULL	NULL
UNBILLED	25563	2026086568	2026-08-08	2026-08	14	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/842	220826043	1	1	0	28173	0	28173	28172.5	0	28172.5	N	0	NULL	NULL
UNBILLED	25840	2026086683	2026-08-19	2026-08	3	0-30	O	VENDA000800	SHREE RAM RMC	CIVIL	EXTERNAL	2	FACTORY	BH-FA	SRR/26-27/954	220826078	1	1	0	28173	0	28173	28172.5	0	28172.5	N	0	NULL	NULL
UNBILLED	25886	2026086702	2026-08-03	2026-08	19	0-30	O	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	NCR-3627	NULL	1	1	1	22731.42	4091.58	26823	22731	4091.58	26822.58	N	0	NULL	NULL
UNBILLED	24052	2026066816	2026-06-11	2026-06	72	61-90	O	VENDA000398	PUNJAB HIMACHAL ROAD SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	4912	NULL	3	3	3	25500	0	25500	25500	1275	26775	N	0	NULL	NULL
UNBILLED	25921	2026086720	2026-08-20	2026-08	2	0-30	O	VENDA000798	SIDEL INDIA PVT LTD	PLANT & MACHINERY	EXTERNAL	2	FACTORY	BH-FA	18S0008332	220726004	6	6	0	22427.95	4037.05	26465	22428.08	4037.05	26465.13	N	0	NULL	NULL
UNBILLED	23693	2026066659	2026-06-05	2026-06	78	61-90	O	VENDA001676	ABHIMAN EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	260351	NULL	2	2	2	25032	0	25032	25032	1251.6	26283.6	N	0	NULL	NULL
UNBILLED	23698	2026056885	2026-05-31	2026-05	83	61-90	O	VENDA000400	AIR TRANS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	45430	NULL	3	3	3	24000	0	24000	24000	1200	25200	N	0	NULL	NULL
UNBILLED	25907	2026076941	2026-07-24	2026-07	29	0-30	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13013	NULL	1	1	1	23742	0	23742	23742	1187.1	24929.1	N	0	NULL	NULL
UNBILLED	22618	2026046924	2026-04-21	2026-04	123	91-180	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	12749	NULL	2	2	2	22841	0	22841	22841	1142.05	23983.05	N	0	NULL	NULL
UNBILLED	19006	2026016664	2026-01-04	2026-01	230	181-365	O	VENDA000974	ABC EXPRESS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	DEL2503532	NULL	1	1	1	20000	3600	23600	20000	3600	23600	N	0	NULL	NULL
UNBILLED	23944	2026056908	2026-05-07	2026-05	107	91-180	O	VENDA001620	GURMUKH CARGO SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	11471	NULL	2	2	2	21190	0	21190	21190	1059.5	22249.5	N	0	NULL	NULL
UNBILLED	25917	2026086718	2026-08-20	2026-08	2	0-30	O	VENDA001055	CHADHA SALES PVT LTD.	PURCHASE	EXTERNAL	2	FACTORY	BH-FA	CSMT/2627/457	220826053	2	2	0	18620.4	3351.6	21972	18620	3351.6	21971.6	N	0	NULL	NULL
UNBILLED	25404	2026086523	2026-08-04	2026-08	18	0-30	O	VENDA000779	PAL SVAM POWER SOLUTIONS PVT LTD	FIXED ASSETS	EXTERNAL	2	FACTORY	BH-FA	OPSSO2627001230	220726115	2	2	0	18162.77	3269.23	21432	18162.4	3269.23	21431.63	N	0	NULL	NULL
UNBILLED	25677	2026076925	2026-07-08	2026-07	45	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13083	NULL	1	1	1	20345	0	20345	20345	1017.25	21362.25	N	0	NULL	NULL
UNBILLED	23248	2026066525	2026-06-03	2026-06	80	61-90	O	VENDA000956	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	12919	NULL	6	6	6	20000	0	20000	20000	1000	21000	N	0	NULL	NULL
UNBILLED	23888	2026066746	2026-06-02	2026-06	81	61-90	O	VENDA000398	PUNJAB HIMACHAL ROAD SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	4903	NULL	1	1	1	20000	0	20000	20000	1000	21000	N	0	NULL	NULL
UNBILLED	24076	2026066830	2026-06-09	2026-06	74	61-90	O	VENDA000398	PUNJAB HIMACHAL ROAD SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	4909	NULL	4	4	4	20000	0	20000	20000	1000	21000	N	0	NULL	NULL
UNBILLED	25854	2026076934	2026-07-14	2026-07	39	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13098	NULL	1	1	1	20000	0	20000	20000	1000	21000	N	0	NULL	NULL
UNBILLED	25856	2026076936	2026-07-15	2026-07	38	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13100	NULL	1	1	1	19823	0	19823	19823	991.15	20814.15	N	0	NULL	NULL
UNBILLED	25585	2026086577	2026-08-10	2026-08	12	0-30	O	VENDA000517	ROYAL PRIME LABELS	PURCHASE	EXTERNAL	2	FACTORY	BH-PM	RPL/1129/2026-27	220626130	2	2	0	17600	3168	20768	17600	3168	20768	N	0	NULL	NULL
UNBILLED	25858	2026076938	2026-07-16	2026-07	37	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13006	NULL	1	1	1	19684	0	19684	19684	984.2	20668.2	N	0	NULL	NULL
UNBILLED	25405	2026086524	2026-08-04	2026-08	18	0-30	O	VENDA001226	ALOK INTERNATIONAL	SERVICE	EXTERNAL	2	FACTORY	BH-FA	AI/2627/413	220826012	1	1	0	17500	3150	20650	17500	3150	20650	N	0	NULL	NULL
UNBILLED	25848	2026076930	2026-07-11	2026-07	42	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13091	NULL	2	2	2	19340	0	19340	19340	967	20307	N	0	NULL	NULL
UNBILLED	25446	2026076897	2026-07-20	2026-07	33	31-60	O	VENDA001661	PICK & SHIP LOGISTICS PRIVATE LIMITED	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	NCR-3365	NULL	4	4	4	16627.14	2992.86	19620	16627	2992.86	19619.86	N	0	NULL	NULL
UNBILLED	25850	2026076932	2026-07-11	2026-07	42	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13093	NULL	3	3	3	18000	0	18000	18000	900	18900	N	0	NULL	NULL
UNBILLED	25762	2026086647	2026-08-13	2026-08	9	0-30	O	VENDA000808	RAM BHAJ SURESH KUMAR	CIVIL	EXTERNAL	2	FACTORY	BH-FA	234	220826067	2	2	0	15900	2862	18762	15900	2862	18762	N	0	NULL	NULL
UNBILLED	25013	2026067067	2026-06-06	2026-06	77	61-90	O	VENDA000400	AIR TRANS	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	45430..	NULL	3	3	3	17793	0	17793	17792.7	889.64	18682.34	N	0	NULL	NULL
UNBILLED	23167	2026056819	2026-05-29	2026-05	85	61-90	O	VENDA000006	ADANI WILMAR LTD RAJASTHAN	PURCHASE OIL	EXTERNAL	3	PUNJAB	(none)	626050617	NULL	1	1	1	17750	0	17750	17750	887.5	18637.5	N	0	NULL	NULL
UNBILLED	25920	2026076944	2026-07-27	2026-07	26	0-30	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13020	NULL	2	2	2	17556	0	17556	17556	877.8	18433.8	N	0	NULL	NULL
UNBILLED	25855	2026076935	2026-07-15	2026-07	38	31-60	O	VENDA000636	DELHI PUNJAB TRANSPORT CO	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	13001	NULL	3	3	3	17085	0	17085	17085	854.25	17939.25	N	0	NULL	NULL
