ROW_KIND	DOC_ENTRY	DOC_NUM	DOC_DATE	DOC_MONTH	DAYS_OPEN	AGE_BUCKET	DOC_STATUS	CARD_CODE	CARD_NAME	VENDOR_GROUP	PARTY_CLASS	BRANCH_ID	BRANCH_NAME	WAREHOUSES	VENDOR_REF	PO_DOCNUMS	NUM_LINES	NUM_UNBILLED_LINES	NUM_ZEROQTY_UNBILLED_LINES	DOC_NET	DOC_GST	DOC_GROSS	OPEN_NET	OPEN_GST	OPEN_GROSS	HAS_AP_INVOICE	AP_INVOICE_COUNT	AP_INVOICE_DOCNUMS	AP_LAG_DAYS
UNBILLED	9882	2026088054	2026-08-01	2026-08	21	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7270	NULL	1	1	1	7713	0	7713	7713	385.65	8098.65	N	0	NULL	NULL
UNBILLED	9933	2026088093	2026-08-08	2026-08	14	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7310	NULL	1	1	1	7713	0	7713	7713	385.65	8098.65	N	0	NULL	NULL
UNBILLED	9907	2026088071	2026-08-03	2026-08	19	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7280	NULL	1	1	1	7703	0	7703	7703	385.15	8088.15	N	0	NULL	NULL
UNBILLED	9739	2026078356	2026-07-28	2026-07	25	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7244	NULL	1	1	1	7693	0	7693	7693	384.65	8077.65	N	0	NULL	NULL
UNBILLED	9604	2026078299	2026-07-25	2026-07	28	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7230	NULL	1	1	1	7683	0	7683	7683	384.15	8067.15	N	0	NULL	NULL
UNBILLED	9729	2026078351	2026-07-26	2026-07	27	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7239	NULL	1	1	1	7683	0	7683	7683	384.15	8067.15	N	0	NULL	NULL
UNBILLED	9656	2026078323	2026-07-28	2026-07	25	0-30	O	VENDA001259	BHARGAVE ROAD CARRIER	SERVICE	EXTERNAL	2	FACTORY	(none)	1676	NULL	1	1	1	7667	0	7667	7667	383.35	8050.35	N	0	NULL	NULL
UNBILLED	9568	2026078286	2026-07-22	2026-07	31	31-60	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7211	NULL	1	1	1	7653	0	7653	7653	382.65	8035.65	N	0	NULL	NULL
UNBILLED	9931	2026088091	2026-08-07	2026-08	15	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7308	NULL	1	1	1	7653	0	7653	7653	382.65	8035.65	N	0	NULL	NULL
UNBILLED	9936	2026088096	2026-08-09	2026-08	13	0-30	O	VENDA000948	ARNAV TRANSPORT SERVICE	TRANSPORTER	EXTERNAL	2	FACTORY	(none)	7316	NULL	1	1	1	7650	0	7650	7650	382.5	8032.5	N	0	NULL	NULL
