SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR_UNBILLED	VENDA000874	SHIVAM CHEMICALS [EXTERNAL]	6	13	105	313907	53342.02	367249.02	1	5	20655	1562.5	22217.5	0	0	0	22217.5	0	0	1	22217.5	0	0	2026-04-24	120	0	0	0	0	0	0	12	1	22217.5	12	12	100	0	0	13	367249.02	1	22217.5	1	22217.5
VENDOR_UNBILLED	VENDA001097	SHRI NARAYAN & CO. [EXTERNAL]	6	7	9	197742	35580	233322	1	2	17500	3150	20650	20650	0	0	0	0	0	0	0	0	0	2026-08-14	8	0	0	0	0	0	0	6	1	20650	6	6	100	0	0	7	233322	1	20650	0	0
VENDOR_UNBILLED	VENDA000636	DELHI PUNJAB TRANSPORT CO [EXTERNAL]	6	139	193	2228698.83	111434.94	2340133.77	2	2	13855	692.75	14547.75	0	14472.15	75.6	0	0	0	0	0	2	14547.75	2026-06-04	79	1	1	21000	0	0	0	136	3	35547.75	136	1	0.74	32.51	30.5	139	2340133.77	2	14547.75	0	0
VENDOR_UNBILLED	VENDA001169	QUALITY FURNITURE HOUSE [EXTERNAL]	6	3	3	27300	4914	32214	1	1	12300	2214	14514	0	14514	0	0	0	0	0	0	0	0	2026-07-06	47	0	0	0	0	0	0	2	1	14514	2	2	100	0	0	3	32214	1	14514	0	0
VENDOR_UNBILLED	VENDA000315	JN ENTERPRISES [EXTERNAL]	6	11	13	875127.5	157522.95	1032650.45	1	1	12000	2160	14160	14160	0	0	0	0	0	0	0	0	0	2026-08-19	3	1	1	87792	0	0	0	9	2	101952	9	5	55.56	8	0	11	1032650.45	1	14160	0	0
VENDOR_UNBILLED	VENDA001235	NEXTON SEALS [EXTERNAL]	6	3	4	18000	3240	21240	1	2	10600	1908	12508	12508	0	0	0	0	0	0	0	0	0	2026-08-18	4	0	0	0	0	0	0	2	1	12508	2	2	100	0	0	3	21240	1	12508	0	0
VENDOR_UNBILLED	VENDA001333	VERMA AND SONS [EXTERNAL]	6	2	2	18135.6	3264.41	21400	1	1	9067.8	1632.2	10700	10700	0	0	0	0	0	0	0	0	0	2026-08-12	10	0	0	0	0	0	0	1	1	10700	1	1	100	0	0	2	21400	1	10700	0	0
VENDOR_UNBILLED	VENDA000687	AKAL ROZGAR YOJANA A U/O JWPL BS [BRANCH]	6	2	4	8804.04	1056.45	9860.49	2	4	8804.04	1056.45	9860.49	0	0	0	0	0	9860.49	2	9860.49	0	0	2025-05-15	464	0	0	0	0	0	0	0	2	9860.49	0	0	NULL	NULL	NULL	0	0	0	0	0	0
VENDOR_UNBILLED	VENDA000016	AMOD KUMAR TRANSPORT [EXTERNAL]	6	114	116	501450	25072.5	526522.5	2	2	8000	400	8400	0	0	0	8400	0	0	2	8400	2	8400	2026-04-01	143	2	2	9450	0	0	0	110	4	17850	110	2	1.82	23.02	15	114	526522.5	2	8400	2	8400
VENDOR_UNBILLED	VENDA000470	ARMAF LUXURY FRAGRANCE INDIA PVT LTD VEND [EXTERNAL]	6	1	2	7993	399.65	8392.65	1	2	7993	399.65	8392.65	0	8392.65	0	0	0	0	0	0	2	8392.65	2026-07-13	40	0	0	0	0	0	0	0	1	8392.65	0	0	NULL	NULL	NULL	1	8392.65	1	8392.65	0	0
