product_group,subgroup_id,sub_group,skus,active_skus
Appliances,764,Steamer,1,1
Appliances,668,Plug Top,1,1
Atta & Other Flours,256,Atta,45,45
Atta & Other Flours,575,Maida,15,15
Atta & Other Flours,292,Besan,12,12
Atta & Other Flours,458,Flours,4,4
Bag & Purses,268,Bags,199,199
Bag & Purses,683,Purse,31,31
Bag & Purses,817,Travel Bag,10,9
Bag & Purses,870,Pitthoo Bag,1,1
Bakery Items,317,Bread,127,127
Bottom Wear,637,Pajama,1,1
Chatpati Items,977,Samosa Chat,8,6
Chatpati Items,902,Aloo Chat,3,2
Chatpati Items,921,Dahi Bhalla,1,1
Chatpati Items,922,Dahi Gol Gappa,1,1
Chatpati Items,961,Papri Chat,1,1
Chatpati Items,246,Aloo Tikki,1,1
Cheese & Sandwich,910,Cheese & Sandwich,5,5
China,839,Watch,71,71
China,675,Power Bank,7,7
China,753,Speaker,5,5
China,453,Fan,4,4
Chinese Items,906,Burgar,6,4
Chinese Items,951,Momoss,5,4
Chinese Items,986,Spring Rolls,5,4
Chinese Items,574,Maggi,5,3
Chinese Items,953,Noodles Full,4,2
Chinese Items,954,Noodles Half,3,3
Chinese Items,911,Cheese Chilli Dry,3,1
Chinese Items,969,Potato Chilly,3,1
Chinese Items,925,Fried Momos,2,1
Chinese Items,942,Manchurian Dry,1,1
Chinese Items,943,Manchurian Dry  Grovy,1,1
Chinese Items,945,Mashroom Chilly,1,1
Chinese Items,916,Choupsy,1,1
Chinese Items,987,Spring Rolls Half,1,1
Confectionery,294,Biscuits,824,824
Confectionery,746,Snacks,684,684
Confectionery,362,Chocolate,481,481
Confectionery,517,Ice Cream,412,412
Confectionery,795,Toffee,234,234
Confectionery,772,Sweets,67,67
Confectionery,885,Chewingum,61,61
Confectionery,547,Kurkure,41,41
Confectionery,917,Curd,26,26
Confectionery,327,Butter & Cheese,22,22
Confectionery,759,Squash,21,21
Confectionery,699,Rusk,18,18
Confectionery,934,Ice Creams,9,9
Confectionery,1024,Crush,8,8
Confectionery,242,Aam Papad,2,2
Confectionery,397,Cream Roll,2,2
Confectionery,317,Bread,1,1
Confectionery,1081,Milky Bar,1,1
Confectionery,1082,Phone,1,1
Container,387,Container,180,180
Container,572,Lunch Box,47,47
Container,314,Box,13,13
Cooking Consumable,1079,Cooking Consumable Gas,2,2
Cookware,541,Kettle,21,21
Cookware,752,Souspan,19,19
Cookware,470,Fry Pan,19,19
Cookware,676,Pressure Cooker,17,17
Cookware,779,Tawa,13,13
Cookware,534,Kadai,13,13
Cookware,647,Patila,13,13
Cookware,472,Gas Stove,8,8
Cookware,359,Chimta,5,5
Cookware,640,Palta,3,3
Cookware,692,Regulator,2,2
Crockery,545,Kitchen Utilities,134,134
Crockery,609,Mug,49,49
Crockery,313,Bowl,49,49
Crockery,479,Glass,48,48
Crockery,665,Plate,39,39
Crockery,818,Tray,26,26
Crockery,388,Containers,14,14
Crockery,399,Cup,11,11
Crockery,827,Utility,6,6
Crockery,1048,Lid,1,1
Dairy Products,408,Packed Milk,25,25
Dairy Products,1074,Packed Lassi,10,10
Dairy Products,1075,Loose Paneer,4,4
Dairy Products,1073,Fresh Cream,2,2
Decoratives,410,Decorative,232,232
Decoratives,659,Photo Frame,33,33
Decoratives,775,Table Clock,22,22
Decoratives,271,Baloon,18,18
Decoratives,331,Candle,17,17
Decoratives,332,Canfdle,11,11
Decoratives,880,Wall Clock,7,7
Decoratives,459,Flower Vase,1,1
Disposable,420,Disposable,49,49
Disposable,666,Dispo Plate,4,3
Disposable,756,Dispo Spoon,1,1
Drinks,378,Cold Drinks,153,153
Drinks,379,Cold Drinks Soft,88,88
Drinks,850,Flavoured Milk,47,47
Drinks,531,Fresh Juice,38,3
Drinks,425,Drinks,27,27
Drinks,427,Drinks Flavour,16,16
Dry Fruits,428,Dry Fruits,63,63
Dry Fruits,264,Badam,17,17
Dry Fruits,344,Cashew,14,14
Dry Fruits,649,Peanuts,12,12
Dry Fruits,544,Kismis,10,10
Dry Fruits,664,Pista,8,8
Dry Fruits,612,Munakka,4,4
Dry Fruits,374,Coconut,2,2
Dry Fruits,473,General Items,1,1
Edible Oil & Ghee,438,Edible Oil,47,47
Edible Oil & Ghee,1076,Olive Oil,11,11
Edible Oil & Ghee,833,Vanaspati Oil,8,8
Edible Oil & Ghee,1009,Refined Oil,6,6
Edible Oil & Ghee,439,Edible Oil & Ghee,4,4
Electricals,325,Bulb,35,35
Electricals,810,Torch,31,31
