product_group,subgroup_id,sub_group,skus,active_skus
Veg Delight,914,Cheese Tomato,1,1
Veg Delight,979,Shabnam Curry,1,1
Veg Delight,980,Shahi Paneer,1,1
Veg Delight,959,Paneer Pasanda,1,1
Veg Delight,973,Rajmah,1,1
Vegetable,639,Palak,96,2
Vegetable,319,Brinjal,91,3
Vegetable,346,Cauliflower,87,1
Vegetable,554,Ladyfinger,75,0
Vegetable,296,Bitter Gourd,70,2
Vegetable,684,Radish,67,0
Vegetable,591,Methi,64,0
Vegetable,476,Ginger,62,2
Vegetable,335,Capsicum,60,4
Vegetable,583,Matar,57,2
Vegetable,798,Tomato,56,2
Vegetable,341,Carrot,56,1
Vegetable,506,Hara Dhania,48,0
Vegetable,682,Pumkin,44,2
Vegetable,811,Tori,33,3
Vegetable,712,Sarso Saag,32,1
Vegetable,490,Green Onion,31,0
Vegetable,831,Vegetable,31,24
Vegetable,471,Garlic,29,2
Vegetable,489,Green Chilli,29,1
Vegetable,398,Cucumber,24,1
Vegetable,567,Loki,24,5
Vegetable,252,Arbi,23,2
Vegetable,561,Lemon,20,0
Vegetable,289,Beet,17,0
Vegetable,632,Onion,14,2
Vegetable,672,Potato,13,3
Vegetable,792,Tinda,13,1
Vegetable,615,Mushroom,10,1
Vegetable,821,Turnip,10,1
Vegetable,778,Tar,8,1
Vegetable,299,Black Tori,7,0
Vegetable,286,Beans,5,5
Vegetable,488,Green Beans,5,0
Vegetable,295,Bitter Goud,3,3
Vegetable,646,Parwal,3,1
Vegetable,559,Leafy Onion,2,1
Vegetable,677,Pudina,2,1
Vegetable,328,Cabbage,2,2
Vegetable,320,Broccoli,1,1
Vegetable,355,Chappan Kaddu,1,0
Vegetable,283,Bathu Saag,1,1
Vegetable,523,Jack Fruit,1,1
Vegetable,768,Suger Beet,1,1
Vegetable,553,Ladyfiner,1,1
Vegetable,530,Jugnoo,1,1
Vegetable,587,Mehti,1,1
Vegetable,657,Pepe,1,1
Vegetable,832,Vegetable Frozen,1,1
Winter Wear,338,Cardigan,89,89
Winter Wear,680,Pullover Full Sleaves,70,58
Winter Wear,765,Stole,67,67
Winter Wear,878,Track Suit Winter,66,50
Winter Wear,524,Jacket,54,54
Winter Wear,333,Cap,48,48
Winter Wear,816,Track Suit Summer,44,34
Winter Wear,847,Woolen Kurti,26,26
Winter Wear,482,Gloves,26,26
Winter Wear,1039,Sweat Shirt,25,25
Winter Wear,302,Blazer,24,17
Winter Wear,1017,Pullover Half Sleaves,22,19
Winter Wear,848,Woollen Dress,20,20
Winter Wear,608,Mufler,17,17
Winter Wear,724,Shawl,16,16
Winter Wear,733,Shrug,9,9
Winter Wear,1036,Woolen Top,9,9
Winter Wear,306,Booties,7,7
Winter Wear,716,Scarf,4,4
Winter Wear,787,Woolen Bed Sheet,4,4
Winter Wear,849,Woollen Suit,4,4
Winter Wear,1037,Ponchu,2,2
Winter Wear,1038,Woolen Slex,2,2
Winter Wear,589,Mens Wear,1,1
Womens Wear,549,Kurti,44,44
Womens Wear,742,Slex,40,40
Womens Wear,809,Top,16,16
Womens Wear,706,Salwar,12,12
Womens Wear,667,Plazzo,12,12
Womens Wear,638,Pajami,10,10
Womens Wear,312,Bottom Wear,8,8
Womens Wear,1049,Plazzo Set,8,8
Womens Wear,334,Capri,7,7
Womens Wear,628,Nighty,6,6
Womens Wear,1068,Ladies Trouser,6,6
Womens Wear,1023,Jegging,2,2
Womens Wear,1067,Girls Jeans,1,1
Womens Wear,627,Night Wear,1,1
