group_id,product_group,subgroup_id,sub_group,skus
129,Fruits,671,Pomegranate,37
129,Fruits,843,Water Melon,10
130,General Items,244,Agarbatti,112
130,General Items,884,Baking Powder,4
130,General Items,391,Corn Flakes,75
130,General Items,1011,Cornflour,2
130,General Items,416,Dhoop,40
130,General Items,426,Drinks Instant Mix,31
130,General Items,899,Gazzak,25
130,General Items,881,Kapoor,6
130,General Items,584,Match Box,2
130,General Items,1008,Milk Powder,19
130,General Items,900,Mungfali,6
130,General Items,629,Noodles,119
130,General Items,1034,Papad,5
130,General Items,326,Peanut Butter,25
130,General Items,689,Ready Food,40
130,General Items,690,Ready To Cook,73
130,General Items,691,Ready To Food,4
130,General Items,1058,Sweet Corn,3
130,General Items,1062,Sweet Corn Cup,0
130,General Items,774,Syrup,20
130,General Items,617,Vermicelli,23
131,Gurmat,859,Gatra,10
131,Gurmat,497,Gurmat,17
132,Home Furnishing,287,Bed Heet,0
132,Home Furnishing,288,Bed Sheet,51
132,Home Furnishing,301,Blanket,39
132,Home Furnishing,1063,Cover,1
132,Home Furnishing,401,Curtain,14
132,Home Furnishing,402,Cushion,2
132,Home Furnishing,1019,Hand Towel,3
132,Home Furnishing,512,Home Furnishing,10
132,Home Furnishing,663,Pillow,13
132,Home Furnishing,812,Towel,98
170,Hot Drink,923,Espresso Coffee,0
170,Hot Drink,989,Tea Cup,12
133,Hot Drinks,376,Coffee Drinks,6
133,Hot Drinks,933,Hot Coffee,12
134,House Hold,251,Apron,7
134,House Hold,276,Basket,58
134,House Hold,279,Bath Mug,15
134,House Hold,280,Bath Scrubber,10
134,House Hold,282,Bath Stool,13
134,House Hold,309,Bottle,23
134,House Hold,310,Bottle Brush,5
134,House Hold,311,Bottle Rush,1
134,House Hold,321,Broom,12
134,House Hold,322,Brush,17
134,House Hold,323,Bucket,20
134,House Hold,364,Chopping Board,3
134,House Hold,370,Cloth Clip,8
134,House Hold,372,Coat Brush,1
134,House Hold,392,Corner Rack,13
134,House Hold,419,Dispensar,4
134,House Hold,422,Door Mat,14
134,House Hold,431,Dustbin,7
134,House Hold,432,Duster,9
134,House Hold,433,Duster Cloth,9
134,House Hold,434,Dustpan,7
134,House Hold,463,Foot Scrubber,8
134,House Hold,1066,Grabage Bage,2
134,House Hold,498,Hair Brush,12
134,House Hold,504,Hanger,12
134,House Hold,556,Laundry,2
134,House Hold,866,Laundry Bag,1
134,House Hold,557,Laundry Basket,3
134,House Hold,570,Lota,6
134,House Hold,579,Masala Dani,3
134,House Hold,582,Mat,18
134,House Hold,593,Milk Feeder,18
134,House Hold,594,Milk Pot,17
134,House Hold,604,Mop,6
