host	path	method	class	wired	app	source_chunk	const	evidence
brand-portal-service-http.swiggy.com	/api/v1/advertiser/metrics/batch	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	BRAND_INSIGHTS_GET_BATCH_ADVERTISER_METRICS	call site .post() on BRAND_INSIGHTS_GET_BATCH_ADVERTISER_METRICS | live: ['POST'] -> [200], 4049B
brand-portal-service-http.swiggy.com	/api/v1/advertiser/metrics/report	POST	EXPORT	no	brand-portal-client	441.1de474225309243dd836.js	INITIATE_CUSTOM_METRICS_REPORT	call site .post() on INITIATE_CUSTOM_METRICS_REPORT
brand-portal-service-http.swiggy.com	/api/v1/advertiser/metrics/report/list	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	LIST_CUSTOM_REPORTS	call site .post() on LIST_CUSTOM_REPORTS | live: ['POST'] -> [200], 15039B
brand-portal-service-http.swiggy.com	/api/v1/bidding-events	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	FESTIVAL_BID_BOOSTER	call site .post() on FESTIVAL_BID_BOOSTER
brand-portal-service-http.swiggy.com	/api/v1/campaign	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	CAMPAIGN_CREATE,CAMPAIGN_UPDATE,UPDATE_CAMPAIGN,CAMPAIGN_GET_BPS	call site .post() on CAMPAIGN_CREATE
brand-portal-service-http.swiggy.com	/api/v1/campaign/batch	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	UPDATE_BIDS_KEY_UPDATE,UPDATE_KEYWORD_BIDS,BATCH_CAMPAIGN_UPDATE	call site .post() on UPDATE_KEYWORD_BIDS
brand-portal-service-http.swiggy.com	/api/v1/campaign/estimate-metric	UNKNOWN	UNKNOWN	no	brand-portal-client	441.1de474225309243dd836.js	GET_CAMPAIGN_IMPRESSIONS	read-shaped path but METHOD UNRESOLVED — denied per G1
brand-portal-service-http.swiggy.com	/api/v1/campaign/pause	PUT	WRITE	no	instamart	bundle.4684094890fa3a3db7ec.js	CAMPAIGN_PAUSE	call site .put() on CAMPAIGN_PAUSE
brand-portal-service-http.swiggy.com	/api/v1/campaign/resume	POST	WRITE	no	instamart	bundle.4684094890fa3a3db7ec.js	CAMPAIGN_RESUME	call site .post() on CAMPAIGN_RESUME
brand-portal-service-http.swiggy.com	/api/v1/campaign/suggest-budget	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	SUGGEST_BUDGET	call site .post() on SUGGEST_BUDGET
brand-portal-service-http.swiggy.com	/api/v1/campaign/{0}	POST	READ	yes	im-sampling	js__async__bundle.4cd7b057b5f80187.js	GET_CAMPAIGN_DETAILS	call site .post() on GET_CAMPAIGN_DETAILS
brand-portal-service-http.swiggy.com	/api/v1/campaigns	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	BRAND_INSIGHTS_CAMPAIGNS	call site .post() on BRAND_INSIGHTS_CAMPAIGNS | live: ['POST'] -> [200], 84274B
brand-portal-service-http.swiggy.com	/api/v1/campaigns/suggest_bids	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	SUGGEST_BID_IN_CAMPAIGNS,GET_SUGGEST_BIDS	call site .post() on SUGGEST_BID_IN_CAMPAIGNS
brand-portal-service-http.swiggy.com	/api/v1/creative/details	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	CREATIVE_DETAILS	call site .post() on CREATIVE_DETAILS
brand-portal-service-http.swiggy.com	/api/v1/creative/list	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	PREAPPROVED_CREATIVES	call site .post() on PREAPPROVED_CREATIVES
brand-portal-service-http.swiggy.com	/api/v1/discount/reports	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	LIST_DISCOUNTS_REPORTS	call site .post() on LIST_DISCOUNTS_REPORTS | live: ['POST'] -> [200], 35B
brand-portal-service-http.swiggy.com	/api/v1/discounts/report	POST	EXPORT	no	brand-portal-client	441.1de474225309243dd836.js	INITIATE_DISCOUNTS_METRIC_REPORT	call site .post() on INITIATE_DISCOUNTS_METRIC_REPORT
brand-portal-service-http.swiggy.com	/api/v1/get-advertiser-metrics	UNKNOWN	UNKNOWN	no	brand-portal-client	441.1de474225309243dd836.js	UPTIME_METRICS	read-shaped path but METHOD UNRESOLVED — denied per G1
brand-portal-service-http.swiggy.com	/api/v1/keyword/campaign-insights	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	LIST_KEYWORD_CAMPAIGN_INSIGHTS	call site .post() on LIST_KEYWORD_CAMPAIGN_INSIGHTS
brand-portal-service-http.swiggy.com	/api/v1/products/batch	POST	READ	yes	instamart	bundle.4684094890fa3a3db7ec.js	GET_PRODUCTS_BATCH	call site .post() on GET_PRODUCTS_BATCH
brand-portal-service-http.swiggy.com	/api/v1/products/filter	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	LIST_PRODUCTS_BY_BRAND	call site .post() on LIST_PRODUCTS_BY_BRAND
brand-portal-service-http.swiggy.com	/api/v1/products/search	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	SEARCH_PRODUCTS	call site .post() on SEARCH_PRODUCTS
brand-portal-service-http.swiggy.com	/api/v1/release-order	UNKNOWN	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	RELEASE_ORDER_GET,RELEASE_ORDER_DELETE	mutating path token(s) ['release']
brand-portal-service-http.swiggy.com	/api/v1/release-order/approve	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	RELEASE_ORDER_APPROVE	call site .post() on RELEASE_ORDER_APPROVE
brand-portal-service-http.swiggy.com	/api/v1/release-orders/search	POST	WRITE	no	brand-portal-client	441.1de474225309243dd836.js	RELEASE_ORDER_SEARCH	call site .post() on RELEASE_ORDER_SEARCH
brand-portal-service-http.swiggy.com	/api/v1/sales/filters	POST	READ	yes	instamart	bundle.4684094890fa3a3db7ec.js	GET_SALES_INSIGHTS_FILTER_OPTIONS	call site .post() on GET_SALES_INSIGHTS_FILTER_OPTIONS | live: ['POST'] -> [200], 15111B
brand-portal-service-http.swiggy.com	/api/v1/sales/metric	POST	READ	yes	instamart	bundle.4684094890fa3a3db7ec.js	GET_SALES_INSIGHTS_METRICS	call site .post() on GET_SALES_INSIGHTS_METRICS | live: ['POST'] -> [200], 54214B
brand-portal-service-http.swiggy.com	/api/v1/sales/report	POST	EXPORT	no	brand-portal-client	441.1de474225309243dd836.js	INITIATE_SALES_METRIC_REPORT	call site .post() on INITIATE_SALES_METRIC_REPORT
brand-portal-service-http.swiggy.com	/api/v1/sales/reports	POST	READ	yes	brand-portal-client	441.1de474225309243dd836.js	LIST_SALES_REPORTS	call site .post() on LIST_SALES_REPORTS | live: ['POST'] -> [200], 8509B
brand-portal-service-http.swiggy.com	/api/v1/spins	UNKNOWN	UNKNOWN	no	im-sampling	js__async__bundle.4cd7b057b5f80187.js	GET_SPINS	read-shaped path but METHOD UNRESOLVED — denied per G1
