shipment	record	/api/shipment/record
shipment	shipments	/api/shipment/shipments
shipment	shipments-deletion-log	/api/shipment/shipments/deletion-log
shipment	shipments-doh-auto-fill	/api/shipment/shipments/doh-auto-fill
shipment	shipments-pending-approvals	/api/shipment/shipments/pending-approvals
shipment	shipments-stats	/api/shipment/shipments/stats
shipment	appointment-extra-pos	/api/shipment/appointments/{id}/extra-pos
shipment	appointment-items	/api/shipment/appointments/{id}/items
shipment	shipment	/api/shipment/shipments/{id}
shipment	shipment-invoices	/api/shipment/shipments/{id}/invoices
shipment	shipment-invoice-file	/api/shipment/shipments/{id}/invoices/{invoice}/file
shipment	shipment-po-documents	/api/shipment/shipments/{id}/po-documents
shipment	shipment-po-document	/api/shipment/shipments/{id}/po-documents/{document}
upload	ads-master	/api/upload/ads-master
upload	master-sheet	/api/upload/master-sheet
upload	pincode-mapping	/api/upload/pincode-mapping
uploads	list	/api/uploads
uploads	get	/api/uploads/{id}
chatbot	health	/api/chatbot/health
chatbot	conversations	/api/chatbot/conversations
chatbot	conversation	/api/chatbot/conversations/{id}
