WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-PF	FG0000322	LE CHEF POMACE  1 LTR 16 PCS	102	0.000000	-432.000000	432.000000
BH-PF	FG0000324	SESAME OIL 1 LTR 20 PCS	102	0.000000	-455.000000	455.000000
BH-PF	FG0000328	SANO POMACE OLIVE 200 LTR 1 PCS	102	10.000000	10.000000	0.000000
BH-PF	FG0000349	EXTRA VIRGIN OLIVE 200 MLS 70 PCS	102	2778.000000	2778.000000	0.000000
BH-PF	FG0000352	SESAME OIL (TOASTED) 500 MLS 12 PCS	102	0.000000	-914.000000	914.000000
BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	102	152.000000	-24463.000000	24615.000000
BH-PF	FG0000367	SANO POMACE OLIVE OIL 15 L	102	21.000000	21.000000	0.000000
BH-PF	FG0000370	EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS	102	0.000000	-81.000000	81.000000
BH-PF	FG0000372	POMACE OLIVE 3 LTR TIN 2 PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	102	0.000000	0.000000	0.000000
BH-PF	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	102	0.000000	-1668.000000	1668.000000
BH-PF	FG0000381	EXTRA VIRGIN OLIVE OIL 10ML	102	0.000000	0.000000	0.000000
