WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-BT	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	102	3617.000000	-2970.000000	6587.000000
BH-BT	FG0000054	COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	98.000000	98.000000	0.000000
BH-BT	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	102	159.000000	-1440.000000	1599.000000
BH-BT	FG0000069	COLD PRESS 5 LTR + COLD PRESS 1 LTR 3 PCS SHRINKED PLAIN	102	50.000000	30.000000	20.000000
BH-BT	FG0000070	COLD PRESS 2 LTR 10 PCS HANDLE	102	2506.000000	2506.000000	0.000000
BH-BT	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	102	601.000000	424.000000	177.000000
BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	102	5163.000000	5148.000000	15.000000
BH-BT	FG0000082	DESI GHEE A2 500 MLS 16 PCS	102	66.000000	66.000000	0.000000
BH-BT	FG0000083	DESI GHEE A2 1 LTR 9 PCS	102	0.000000	0.000000	0.000000
BH-BT	FG0000088	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	102	1200.000000	1200.000000	0.000000
BH-BT	FG0000104	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	102	50.000000	50.000000	0.000000
BH-BT	FG0000105	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	102	29.000000	29.000000	0.000000
BH-BT	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	102	0.000000	-274.000000	274.000000
BH-BT	FG0000114	POMACE OLIVE 2 LTR 10 PCS HANDLE	102	260.000000	240.000000	20.000000
BH-BT	FG0000116	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	102	1.000000	1.000000	0.000000
BH-BT	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	102	960.000000	0.000000	960.000000
BH-BT	FG0000128	JIVO GOLD 5 LTR 4 PCS	102	27.000000	27.000000	0.000000
BH-BT	FG0000133	COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE	102	39.000000	39.000000	0.000000
BH-BT	FG0000134	SANO CANOLA OIL 1 LTR 20 PCS	102	908.000000	908.000000	0.000000
