docnum,src,docdate,card,whs,pcs,litres,dispatched_at,cls
626060426,INVOICE,2026-06-23,AGGARWAL AGENCIES,BH-PF,6000.0,5446.2,2026-06-25T11:06:38.284314+05:30,GONE_before_1Aug
626060427,INVOICE,2026-06-23,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,5.0,1000.0,2026-06-24T17:57:45.734183+05:30,GONE_before_1Aug
626060429,INVOICE,2026-06-23,STAR SALES CORPORATION,BH-PF,50.0,10000.0,2026-06-24T18:20:51.302548+05:30,GONE_before_1Aug
626060432,INVOICE,2026-06-24,SAFE AND SECURE ONLINE MARKETING PVT LTD,BH-PF,3000.0,6000.0,2026-06-26T17:56:37.278719+05:30,GONE_before_1Aug
626060433,INVOICE,2026-06-24,SAFE AND SECURE ONLINE MARKETING PVT LTD,BH-PF,40.0,80.0,2026-06-26T17:56:37.278719+05:30,GONE_before_1Aug
626060439,INVOICE,2026-06-24,RAJ MATA TRADERS LAXMI NAGAR,BH-PF,1200.0,1200.0,2026-06-25T18:02:41.739636+05:30,GONE_before_1Aug
626060441,INVOICE,2026-06-24,DURGA TRADING COMPANY (CQXPG8530Q),BH-PF,1200.0,923.1,2026-06-25T18:58:31.394339+05:30,GONE_before_1Aug
626060458,INVOICE,2026-06-25,HARPREET SINGH CASH SALE,BH-PF,1.0,15.0,__NOREC__,NO_GATE_RECORD
626060471,INVOICE,2026-06-26,SAI TRADING COMPANY,BH-PF,6000.0,4945.1,2026-06-27T19:52:42.153300+05:30,GONE_before_1Aug
626060475,INVOICE,2026-06-26,BRIJ LAL DURGA DASS,BH-PF,200.0,2857.1,2026-06-29T20:15:53.500292+05:30,GONE_before_1Aug
626677104,TRANSFER,2026-06-26,,BH-PF,441.0,441.0,__NOREC__,NO_GATE_RECORD
626060485,INVOICE,2026-06-27,G PURE INDIA,BH-PF,3200.0,4945.1,2026-07-03T19:43:00.764192+05:30,GONE_before_1Aug
626060490,INVOICE,2026-06-29,AKAL ROZGAR YOJANA A U O JWPL,BH-PF,20.0,300.0,2026-06-29T20:55:17.283638+05:30,GONE_before_1Aug
626060501,INVOICE,2026-06-29,DWARKA DASS NARINDER KUMAR,BH-PF,2665.0,5340.7,2026-07-03T19:43:00.764192+05:30,GONE_before_1Aug
626060503,INVOICE,2026-06-30,B.NARAIN & CO.,BH-PF,798.0,13153.8,2026-07-04T18:35:40.467602+05:30,GONE_before_1Aug
626060518,INVOICE,2026-06-30,HARINDER SINGH & SONS,BH-PF,205.0,2928.6,2026-07-03T19:14:13.964317+05:30,GONE_before_1Aug
626060519,INVOICE,2026-06-30,PARSHOTAM LAL VISHWA NATH,BH-PF,5976.0,4596.9,2026-07-02T21:10:16.402080+05:30,GONE_before_1Aug
626060523,INVOICE,2026-06-30,G PURE INDIA,BH-PF,50.0,714.3,2026-07-08T17:46:29.295801+05:30,GONE_before_1Aug
626060541,INVOICE,2026-06-30,SAI TRADERS LUDHIANA,BH-PF,450.0,6750.0,2026-07-09T18:43:37.985683+05:30,GONE_before_1Aug
626070115,INVOICE,2026-07-01,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,BH-PF,50.0,750.0,2026-07-06T18:17:46.084044+05:30,GONE_before_1Aug
626070118,INVOICE,2026-07-01,ILAHI CO. (BTCPN5063N),BH-PF,10.0,150.0,2026-07-04T18:20:44.259053+05:30,GONE_before_1Aug
626070124,INVOICE,2026-07-01,AMBE ENTERPRISES SURAT,BH-PF,50.0,750.0,2026-07-04T18:35:40.467602+05:30,GONE_before_1Aug
626070126,INVOICE,2026-07-01,SAI TRADERS LUDHIANA,BH-PF,100.0,1500.0,__NOREC__,NO_GATE_RECORD
626070130,INVOICE,2026-07-01,B.NARAIN & CO.,BH-PF,500.0,7500.0,2026-07-08T21:01:27.188552+05:30,GONE_before_1Aug
626070134,INVOICE,2026-07-01,ARJUN DASS & SONS PUNJAB NEW,BH-PF,15.0,214.3,2026-07-04T20:29:27.483962+05:30,GONE_before_1Aug
626070138,INVOICE,2026-07-01,SAKSHI SALES,BH-PF,50.0,750.0,2026-07-03T14:29:16.979967+05:30,GONE_before_1Aug
626070139,INVOICE,2026-07-01,PURE AGROCHEM CORPORATION,BH-PF,500.0,7500.0,2026-07-07T18:43:41.802102+05:30,GONE_before_1Aug
626070142,INVOICE,2026-07-01,SS AGRO PRODUCTS,BH-PF,200.0,3000.0,2026-07-07T19:00:02.869437+05:30,GONE_before_1Aug
626070143,INVOICE,2026-07-01,SHIV SHAKTI ENTERPRISES TELANGANA,BH-PF,100.0,1500.0,2026-07-07T19:00:02.869437+05:30,GONE_before_1Aug
626070146,INVOICE,2026-07-01,KNOWTABLE ONLINE SERVICES PRIVATE LIMITED,BH-PF,50.0,750.0,2026-07-06T18:17:46.084044+05:30,GONE_before_1Aug
726676500,TRANSFER,2026-07-01,,BH-PF,368.0,368.0,__NOREC__,NO_GATE_RECORD
726676501,TRANSFER,2026-07-01,,BH-PF,384.0,192.0,__NOREC__,NO_GATE_RECORD
626070153,INVOICE,2026-07-02,KAILASH AGENCIES,BH-PF,5.0,75.0,2026-07-06T14:56:05.488392+05:30,GONE_before_1Aug
626070154,INVOICE,2026-07-02,PARVATI AGENCY,BH-PF,90.0,1350.0,2026-07-03T12:06:45.822248+05:30,GONE_before_1Aug
626070158,INVOICE,2026-07-02,AGGARWAL DAIRY,BH-PF,1800.0,1384.6,2026-07-06T16:09:04.372500+05:30,GONE_before_1Aug
726676512,TRANSFER,2026-07-02,,BH-PF,464.0,464.0,__NOREC__,NO_GATE_RECORD
726676513,TRANSFER,2026-07-02,,BH-PF,5.0,1000.0,__NOREC__,NO_GATE_RECORD
