DOCNUM	DOCDATE	CARDCODE	CARDNAME	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626070733	2026-07-31	CUSTA000872	SAI TRADERS LUDHIANA	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	200.000000	INVOICE
626060317	2026-06-15	CUSTA000679	ASHISH ENTERPRISES	BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	40.000000	INVOICE
626060317	2026-06-15	CUSTA000679	ASHISH ENTERPRISES	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	40.000000	INVOICE
626060317	2026-06-15	CUSTA000679	ASHISH ENTERPRISES	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	600.000000	INVOICE
626070279	2026-07-07	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7920.000000	INVOICE
626070279	2026-07-07	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626060390	2026-06-18	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	2400.000000	INVOICE
626060174	2026-06-08	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626060174	2026-06-08	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1.000000	INVOICE
626070772	2026-07-31	CUSTA000354	CHIRAG ENTERPRISES MUMBAI	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	4000.000000	INVOICE
626070338	2026-07-11	CUSTA000025	HARPREET SINGH CASH SALE	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	6.000000	INVOICE
626060414	2026-06-22	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	12000.000000	INVOICE
626070281	2026-07-07	CUSTA000025	HARPREET SINGH CASH SALE	BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	2.000000	INVOICE
626070287	2026-07-07	CUSTA000986	ONENESS TRADERS	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	12000.000000	INVOICE
626060394	2026-06-18	CUSTA000370	SRI VENKATESH AROMAS	BH-PF	FG0000015	REFINED OIL 15 LTR	150.000000	INVOICE
626060355	2026-06-16	CUSTA000495	BAJAJ TRADERS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1200.000000	INVOICE
626060355	2026-06-16	CUSTA000495	BAJAJ TRADERS	BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	566.000000	INVOICE
626070282	2026-07-07	CUSTA000025	HARPREET SINGH CASH SALE	BH-PF	FG0000074	EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED	1.000000	INVOICE
626060330	2026-06-15	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	500.000000	INVOICE
626070455	2026-07-22	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000383	REFINED OIL 13 KG	50.000000	INVOICE
626060439	2026-06-24	CUSTA000105	RAJ MATA TRADERS LAXMI NAGAR	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	1200.000000	INVOICE
626070456	2026-07-22	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000015	REFINED OIL 15 LTR	100.000000	INVOICE
626070712	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	50.000000	INVOICE
626070712	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000114	POMACE OLIVE 2 LTR 10 PCS HANDLE	20.000000	INVOICE
626070456	2026-07-22	CUSTA000993	SHRAY FOOD & BEVERAGES PRIVATE LIMITED	BH-PF	FG0000383	REFINED OIL 13 KG	50.000000	INVOICE
626070450	2026-07-21	CUSTA001032	M/S OM PARKASH MAHAJAN AND CO.	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	600.000000	INVOICE
626070505	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	1900.000000	INVOICE
626070505	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	768.000000	INVOICE
626070505	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	32.000000	INVOICE
626070506	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	160.000000	INVOICE
626070506	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	100.000000	INVOICE
626070506	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	25.000000	INVOICE
626070476	2026-07-23	CUSTA001032	M/S OM PARKASH MAHAJAN AND CO.	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	4000.000000	INVOICE
626070441	2026-07-20	CUSTA000020	JEEWAN INTERNATIONAL 19 20	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	400.000000	INVOICE
626070511	2026-07-24	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626070512	2026-07-24	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	8000.000000	INVOICE
626070513	2026-07-24	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000035	COLD PRESS 500 MLS 24 PCS	9600.000000	INVOICE
626070503	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	600.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	100.000000	INVOICE
626070360	2026-07-14	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8240.000000	INVOICE
626070360	2026-07-14	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000083	DESI GHEE A2 1 LTR 9 PCS	31.000000	INVOICE
626070519	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	100.000000	INVOICE
626070521	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000418	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	200.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	25.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	1600.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	100.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	120.000000	INVOICE
626070502	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	400.000000	INVOICE
626070528	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	3000.000000	INVOICE
626070504	2026-07-24	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000106	MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS	600.000000	INVOICE
626070504	2026-07-24	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	2000.000000	INVOICE
626070529	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	400.000000	INVOICE
626070500	2026-07-23	CUSTA001041	HIMJYOTI TRADERS	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	600.000000	INVOICE
626070718	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	400.000000	INVOICE
626070529	2026-07-24	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	80.000000	INVOICE
626070718	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	140.000000	INVOICE
626070718	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	800.000000	INVOICE
626070154	2026-07-02	CUSTA001087	PARVATI AGENCY	BH-PF	FG0000015	REFINED OIL 15 LTR	90.000000	INVOICE
626070718	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	800.000000	INVOICE
626070718	2026-07-31	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	2000.000000	INVOICE
626070360	2026-07-14	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	3280.000000	INVOICE
626070360	2026-07-14	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	2524.000000	INVOICE
626070473	2026-07-23	CUSTA001028	JINDAL BROTHERS	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	5580.000000	INVOICE
626070474	2026-07-23	CUSTA000917	N.K. TRADING CO.	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	6000.000000	INVOICE
626070558	2026-07-27	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	2080.000000	INVOICE
626070560	2026-07-27	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	7200.000000	INVOICE
626060242	2026-06-10	CUSTA001125	KATYANI EXPORTS	BH-PF	FG0000015	REFINED OIL 15 LTR	275.000000	INVOICE
626060138	2026-06-04	CUSTA001124	GLG INDUSTRIES	BH-PF	FG0000006	POMACE OLIVE 200 LTR 1 PCS	5.000000	INVOICE
626060292	2026-06-12	CUSTA001073	NORTHERN NATURALS PRIVATE LIMITED	BH-PF	FG0000328	SANO POMACE OLIVE 200 LTR 1 PCS	10.000000	INVOICE
626070560	2026-07-27	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	208.000000	INVOICE
626070540	2026-07-25	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626070541	2026-07-25	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	3940.000000	INVOICE
626070542	2026-07-25	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000088	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	4000.000000	INVOICE
626070388	2026-07-15	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	10000.000000	INVOICE
626070138	2026-07-01	CUSTA001070	SAKSHI SALES	BH-PF	FG0000015	REFINED OIL 15 LTR	50.000000	INVOICE
626070751	2026-07-31	CUSTA000917	N.K. TRADING CO.	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	11300.000000	INVOICE
626070752	2026-07-31	CUSTA000917	N.K. TRADING CO.	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	1560.000000	INVOICE
626070737	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	200.000000	INVOICE
626060381	2026-06-17	CUSTA000357	G PURE INDIA	BH-PF	FG0000383	REFINED OIL 13 KG	123.000000	INVOICE
626060153	2026-06-05	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	3600.000000	INVOICE
626060293	2026-06-12	CUSTA000844	ILAHI CO. (BTCPN5063N)	BH-PF	FG0000015	REFINED OIL 15 LTR	5.000000	INVOICE
626070489	2026-07-23	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626070489	2026-07-23	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1.000000	INVOICE
626070613	2026-07-29	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	7200.000000	INVOICE
626070283	2026-07-07	ORGC000016	RAVINDER SINGH SHUNTY JWPL0035	BH-PF	FG0000004	COLD PRESS 5 LTR 4 PCS	1.000000	INVOICE
626070614	2026-07-29	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	1600.000000	INVOICE
626070611	2026-07-28	CUSTA000986	ONENESS TRADERS	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	648.000000	INVOICE
626070611	2026-07-28	CUSTA000986	ONENESS TRADERS	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	2000.000000	INVOICE
626070566	2026-07-27	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1920.000000	INVOICE
626070425	2026-07-17	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000447	EXTRA LIGHT OLIVE 15 LTR	2.000000	INVOICE
626060379	2026-06-17	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626060379	2026-06-17	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1.000000	INVOICE
626060402	2026-06-19	CUSTA000025	HARPREET SINGH CASH SALE	BH-PF	FG0000015	REFINED OIL 15 LTR	1.000000	INVOICE
626060429	2026-06-23	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626060458	2026-06-25	CUSTA000025	HARPREET SINGH CASH SALE	BH-PF	FG0000015	REFINED OIL 15 LTR	1.000000	INVOICE
626060121	2026-06-03	CUSTA001108	B.NARAIN & CO.	BH-PF	FG0000015	REFINED OIL 15 LTR	100.000000	INVOICE
626060490	2026-06-29	CUSTA000236	AKAL ROZGAR YOJANA A U O JWPL	BH-PF	FG0000015	REFINED OIL 15 LTR	20.000000	INVOICE
626070566	2026-07-27	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	70.000000	INVOICE
626070158	2026-07-02	CUSTA001049	AGGARWAL DAIRY	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1800.000000	INVOICE
626070737	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	2000.000000	INVOICE
626070737	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-BT	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	1750.000000	INVOICE
626070568	2026-07-27	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	80.000000	INVOICE
626070570	2026-07-27	CUSTA001102	DWARKA DASS NARINDER KUMAR	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	1932.000000	INVOICE
626070602	2026-07-28	CUSTA000022	BRIJ LAL DURGA DASS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	2400.000000	INVOICE
626070602	2026-07-28	CUSTA000022	BRIJ LAL DURGA DASS	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	2000.000000	INVOICE
626070737	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	160.000000	INVOICE
626070604	2026-07-28	CUSTA000022	BRIJ LAL DURGA DASS	BH-BT	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	500.000000	INVOICE
626070604	2026-07-28	CUSTA000022	BRIJ LAL DURGA DASS	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	320.000000	INVOICE
626070617	2026-07-29	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000389	JIVO GOLD 1 LTR 20 PCS ROUND BOTTLE	8000.000000	INVOICE
626070618	2026-07-29	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626070572	2026-07-27	CUSTA000812	BACHAN SINGH KULJIT SINGH (IVEPS8273L)	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	200.000000	INVOICE
626070574	2026-07-27	CUSTA000812	BACHAN SINGH KULJIT SINGH (IVEPS8273L)	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	960.000000	INVOICE
626070574	2026-07-27	CUSTA000812	BACHAN SINGH KULJIT SINGH (IVEPS8273L)	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	1000.000000	INVOICE
626070575	2026-07-27	CUSTA000812	BACHAN SINGH KULJIT SINGH (IVEPS8273L)	BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	40.000000	INVOICE
626070696	2026-07-31	CUSTA000606	JIVO MART PVT LTD	BH-BT	FG0000088	COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN	4589.000000	INVOICE
626070579	2026-07-28	CUSTA001133	VISHAL TRADERS	BH-BT	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	2000.000000	INVOICE
626070118	2026-07-01	CUSTA000844	ILAHI CO. (BTCPN5063N)	BH-PF	FG0000015	REFINED OIL 15 LTR	10.000000	INVOICE
626070233	2026-07-03	CUSTA000844	ILAHI CO. (BTCPN5063N)	BH-PF	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	80.000000	INVOICE
626070288	2026-07-08	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626070288	2026-07-08	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000032	COLD PRESS 1 LTR 20 PCS	9600.000000	INVOICE
626070288	2026-07-08	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	5424.000000	INVOICE
626070749	2026-07-31	CUSTA000606	JIVO MART PVT LTD	BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	2080.000000	INVOICE
626070124	2026-07-01	CUSTA000227	AMBE ENTERPRISES SURAT	BH-PF	FG0000015	REFINED OIL 15 LTR	50.000000	INVOICE
626070769	2026-07-31	CUSTA000639	MARUTI DISTRIBUTOR	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	400.000000	INVOICE
626070769	2026-07-31	CUSTA000639	MARUTI DISTRIBUTOR	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	800.000000	INVOICE
626070769	2026-07-31	CUSTA000639	MARUTI DISTRIBUTOR	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	77.000000	INVOICE
626070143	2026-07-01	CUSTA000014	SHIV SHAKTI ENTERPRISES TELANGANA	BH-PF	FG0000015	REFINED OIL 15 LTR	100.000000	INVOICE
626070142	2026-07-01	CUSTA000593	SS AGRO PRODUCTS	BH-PF	FG0000015	REFINED OIL 15 LTR	200.000000	INVOICE
626060349	2026-06-16	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H	BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	1200.000000	INVOICE
626060361	2026-06-16	CUSTA000751	BALAJI MARKETING AND SUPPLY CHAIN PRIVATE LIMITED AAJCB8424H	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	12000.000000	INVOICE
626070343	2026-07-11	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000034	EXTRA LIGHT OLIVE 200 LTR 1 PCS	50.000000	INVOICE
626070343	2026-07-11	CUSTA001083	STAR SALES CORPORATION	BH-PF	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	1.000000	INVOICE
626070299	2026-07-09	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000419	COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE	2570.000000	INVOICE
626070299	2026-07-09	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	2904.000000	INVOICE
626070772	2026-07-31	CUSTA000354	CHIRAG ENTERPRISES MUMBAI	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	1000.000000	INVOICE
626070772	2026-07-31	CUSTA000354	CHIRAG ENTERPRISES MUMBAI	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	400.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	1440.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	200.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	480.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	120.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	216.000000	INVOICE
626070737	2026-07-31	CUSTA000169	PURE AGROCHEM CORPORATION	BH-BT	FG0000064	EXTRA LIGHT OIVE 2 LTR 10 PCS HANDLE	250.000000	INVOICE
626070644	2026-07-30	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	1248.000000	INVOICE
626070383	2026-07-15	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	2656.000000	INVOICE
626070645	2026-07-30	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	832.000000	INVOICE
626070731	2026-07-31	CUSTA000119	NILKANTH ENTERPRISE	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	160.000000	INVOICE
626070383	2026-07-15	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000373	EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS	1152.000000	INVOICE
626070383	2026-07-15	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	1740.000000	INVOICE
626070387	2026-07-15	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	10000.000000	INVOICE
626070710	2026-07-31	CUSTA000012	PUNJAB SALES CORPORATION LUDHIANA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	1000.000000	INVOICE
626070320	2026-07-10	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	5120.000000	INVOICE
626070139	2026-07-01	CUSTA000169	PURE AGROCHEM CORPORATION	BH-PF	FG0000015	REFINED OIL 15 LTR	500.000000	INVOICE
626070710	2026-07-31	CUSTA000012	PUNJAB SALES CORPORATION LUDHIANA	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	10000.000000	INVOICE
626070719	2026-07-31	CUSTA000012	PUNJAB SALES CORPORATION LUDHIANA	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	967.000000	INVOICE
626060186	2026-06-08	CUSTA001032	M/S OM PARKASH MAHAJAN AND CO.	BH-PF	FG0000383	REFINED OIL 13 KG	20.000000	INVOICE
626060186	2026-06-08	CUSTA001032	M/S OM PARKASH MAHAJAN AND CO.	BH-PF	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	20.000000	INVOICE
626070398	2026-07-16	CUSTA000606	JIVO MART PVT LTD	BH-PF	FG0000053	COLD PRESS SUNFLOWER 5 LTR 4 PCS	5280.000000	INVOICE
626070612	2026-07-29	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	5700.000000	INVOICE
626070612	2026-07-29	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	400.000000	INVOICE
626070742	2026-07-31	CUSTA000357	G PURE INDIA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	1792.000000	INVOICE
626070742	2026-07-31	CUSTA000357	G PURE INDIA	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	28.000000	INVOICE
626070240	2026-07-04	CUSTA000844	ILAHI CO. (BTCPN5063N)	BH-PF	FG0000083	DESI GHEE A2 1 LTR 9 PCS	1.000000	INVOICE
626070126	2026-07-01	CUSTA000872	SAI TRADERS LUDHIANA	BH-PF	FG0000015	REFINED OIL 15 LTR	100.000000	INVOICE
626070290	2026-07-08	CUSTA000844	ILAHI CO. (BTCPN5063N)	BH-PF	FG0000015	REFINED OIL 15 LTR	30.000000	INVOICE
