DOCNUM	DOCDATE	CARDCODE	CARDNAME	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626070486	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	12.000000	INVOICE
626070486	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	100.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000081	COLD PRESS SUNFLOWER 1 LTR 20 PCS	300.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	70.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000009	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS	12.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	280.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	480.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	120.000000	INVOICE
626070487	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	260.000000	INVOICE
626070488	2026-07-23	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	162.000000	INVOICE
626070636	2026-07-29	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-PF	FG0000324	SESAME OIL 1 LTR 20 PCS	60.000000	INVOICE
626070637	2026-07-29	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	100.000000	INVOICE
626070637	2026-07-29	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	32.000000	INVOICE
626070647	2026-07-30	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-PF	FG0000324	SESAME OIL 1 LTR 20 PCS	40.000000	INVOICE
626070646	2026-07-30	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	140.000000	INVOICE
626070646	2026-07-30	CUSTA000577	JAGDAMBA ENTERPRISES CHD	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	16.000000	INVOICE
626070641	2026-07-29	CUSTA000986	ONENESS TRADERS	BH-PF	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	10000.000000	INVOICE
626070687	2026-07-30	CUSTA000357	G PURE INDIA	BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	20.000000	INVOICE
626070670	2026-07-30	CUSTA000357	G PURE INDIA	BH-PF	FG0000383	REFINED OIL 13 KG	10.000000	INVOICE
626070666	2026-07-30	CUSTA000357	G PURE INDIA	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	2000.000000	INVOICE
626070666	2026-07-30	CUSTA000357	G PURE INDIA	BH-BT	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	24.000000	INVOICE
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	1000.000000	INVOICE
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	1200.000000	INVOICE
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	77.000000	INVOICE
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000028	POMACE OLIVE 1 LTR 16 PCS	385.000000	INVOICE
