DOCNUM	DOCDATE	WHS	ITEMNAME	QTY	SRC
626080200	2026-08-07	BH-PF	MUSTARD KACHI GHANI 15 KGS	100.000000	INVOICE
626080201	2026-08-07	BH-PF	COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH	8540.000000	INVOICE
626080201	2026-08-07	BH-PF	MUSTARD KACHI GHANI 200 ML 70 PCS	11340.000000	INVOICE
626080201	2026-08-07	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	720.000000	INVOICE
626080169	2026-08-06	BH-BT	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	352.000000	INVOICE
626080169	2026-08-06	BH-BT	COLD PRESS 5 LTR 4 PCS	4.000000	INVOICE
626080216	2026-08-08	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	1.000000	INVOICE
626080194	2026-08-07	BH-BT	DESI GHEE A2 1 LTR 9 PCS	18.000000	INVOICE
626080194	2026-08-07	BH-BT	EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS	80.000000	INVOICE
626080194	2026-08-07	BH-BT	EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS	120.000000	INVOICE
626080170	2026-08-06	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	600.000000	INVOICE
626080170	2026-08-06	BH-BT	COLD PRESS SUNFLOWER 1 LTR 20 PCS	200.000000	INVOICE
626080170	2026-08-06	BH-BT	RICE BRAN OIL 1 LTR 16 PCS	160.000000	INVOICE
626080170	2026-08-06	BH-BT	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	160.000000	INVOICE
626080170	2026-08-06	BH-BT	POMACE OLIVE 1 LTR 16 PCS	160.000000	INVOICE
626080170	2026-08-06	BH-BT	POMACE OLIVE 5 LTR TIN 4 PCS	12.000000	INVOICE
626080170	2026-08-06	BH-BT	EXTRA LIGHT OLIVE 1 LTR 16 PCS	160.000000	INVOICE
626080170	2026-08-06	BH-BT	EXTRA LIGHT OLIVE 500 MLS 24 PCS	120.000000	INVOICE
626080170	2026-08-06	BH-BT	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	80.000000	INVOICE
626080170	2026-08-06	BH-BT	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	25.000000	INVOICE
626080170	2026-08-06	BH-BT	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	50.000000	INVOICE
626080195	2026-08-07	BH-BT	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	27.000000	INVOICE
626080115	2026-08-03	BH-BT	RICE BRAN OIL 1 LTR 16 PCS	192.000000	INVOICE
626080226	2026-08-08	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS 26	9000.000000	INVOICE
626080274	2026-08-10	BH-PF	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	1600.000000	INVOICE
626080287	2026-08-10	BH-PF	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	1600.000000	INVOICE
626080288	2026-08-10	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	800.000000	INVOICE
626080236	2026-08-10	BH-PF	SOYABEAN OIL 13 KGS TIN IMPORTED PCS	500.000000	INVOICE
626080236	2026-08-10	BH-PF	SOYABEAN OIL 12 KGS (B)	207.000000	INVOICE
626080150	2026-08-05	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	3000.000000	INVOICE
626080150	2026-08-05	BH-BT	MUSTARD KACCHI GHANI 2 LTR 10 PCS	400.000000	INVOICE
626080150	2026-08-05	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	100.000000	INVOICE
626080208	2026-08-08	BH-BT	COLD PRESS 5 LTR 4 PCS	800.000000	INVOICE
626080208	2026-08-08	BH-BT	YELLOW MUSTARD OIL 1 LTR 20 PCS	30.000000	INVOICE
626080208	2026-08-08	BH-BT	YELLOW MUSTARD OIL 1 LTR 20 PCS	600.000000	INVOICE
626080303	2026-08-11	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	5600.000000	INVOICE
626080303	2026-08-11	BH-PF	REFINED OIL 15 LTR	180.000000	INVOICE
626080229	2026-08-10	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	100.000000	INVOICE
626080310	2026-08-11	BH-BT	COLD PRESS 5 LTR 4 PCS	1.000000	INVOICE
626080324	2026-08-12	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080312	2026-08-11	BH-PF	SESAME OIL 1 LTR 20 PCS	3.000000	INVOICE
626080312	2026-08-11	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	3.000000	INVOICE
626080313	2026-08-11	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	2.000000	INVOICE
626080302	2026-08-11	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	8.000000	INVOICE
626080301	2026-08-11	BH-PF	REFINED OIL 15 LTR	15.000000	INVOICE
