WHS	ITEMCODE	D	MV
BH-PF	FG0000013	2026-06-16	1.000000
BH-PF	FG0000444	2026-06-16	166.000000
BH-PF	FG0000143	2026-06-16	156.000000
BH-PF	FG0000005	2026-06-16	-3600.000000
BH-PF	FG0000226	2026-06-16	-2400.000000
BH-PF	FG0000004	2026-06-16	0.000000
BH-PF	FG0000030	2026-06-16	-1580.000000
BH-PF	FG0000064	2026-06-16	0.000000
BH-PF	FG0000299	2026-06-16	-2400.000000
BH-PF	FG0000151	2026-06-16	-416.000000
BH-PF	FG0000169	2026-06-16	-258.000000
BH-PF	FG0000194	2026-06-16	-1200.000000
BH-PF	FG0000441	2026-06-16	0.000000
BH-PF	FG0000359	2026-06-16	-1500.000000
BH-PF	FG0000028	2026-06-16	0.000000
BH-PF	FG0000407	2026-06-16	0.000000
BH-PF	FG0000015	2026-06-16	-50.000000
BH-PF	FG0000441	2026-06-17	0.000000
BH-PF	FG0000008	2026-06-17	-28.000000
BH-PF	FG0000030	2026-06-17	0.000000
BH-PF	FG0000316	2026-06-16	-11.000000
BH-PF	FG0000192	2026-06-17	1952.000000
BH-PF	FG0000143	2026-06-17	348.000000
BH-PF	FG0000151	2026-06-17	184.000000
BH-PF	FG0000005	2026-06-17	-4001.000000
BH-PF	FG0000028	2026-06-17	0.000000
BH-PF	FG0000169	2026-06-17	900.000000
BH-PF	FG0000042	2026-06-17	-524.000000
BH-PF	FG0000034	2026-06-17	0.000000
BH-PF	FG0000015	2026-06-17	19.000000
BH-PF	FG0000383	2026-06-17	331.000000
BH-PF	FG0000405	2026-06-18	530.000000
BH-PF	FG0000042	2026-06-18	0.000000
BH-PF	FG0000030	2026-06-18	0.000000
BH-PF	FG0000444	2026-06-18	542.000000
BH-PF	FG0000169	2026-06-18	114.000000
BH-PF	FG0000297	2026-06-18	0.000000
BH-PF	FG0000226	2026-06-18	356.000000
BH-PF	FG0000194	2026-06-18	1200.000000
BH-PF	FG0000015	2026-06-18	50.000000
BH-PF	FG0000422	2026-06-19	-920.000000
BH-PF	FG0000004	2026-06-19	0.000000
BH-PF	FG0000143	2026-06-19	-520.000000
BH-PF	FG0000227	2026-06-19	-720.000000
BH-PF	FG0000226	2026-06-19	-356.000000
BH-PF	FG0000405	2026-06-19	-540.000000
BH-PF	FG0000030	2026-06-19	0.000000
BH-PF	FG0000359	2026-06-19	2520.000000
BH-PF	FG0000299	2026-06-19	2160.000000
BH-PF	FG0000404	2026-06-19	-21.000000
BH-PF	FG0000028	2026-06-19	0.000000
BH-PF	FG0000011	2026-06-19	0.000000
BH-PF	FG0000015	2026-06-19	432.000000
BH-PF	FG0000194	2026-06-19	-768.000000
BH-PF	FG0000042	2026-06-19	7712.000000
BH-PF	FG0000316	2026-06-19	-1000.000000
BH-PF	FG0000407	2026-06-19	0.000000
BH-PF	FG0000407	2026-06-20	0.000000
BH-PF	FG0000143	2026-06-20	480.000000
BH-PF	FG0000405	2026-06-20	0.000000
BH-PF	FG0000030	2026-06-20	0.000000
BH-PF	FG0000028	2026-06-20	1840.000000
BH-PF	FG0000008	2026-06-20	3888.000000
BH-PF	FG0000011	2026-06-20	0.000000
BH-PF	FG0000053	2026-06-19	-800.000000
BH-PF	FG0000042	2026-06-20	-7712.000000
BH-PF	FG0000192	2026-06-20	-1792.000000
BH-PF	FG0000187	2026-06-20	0.000000
BH-PF	FG0000033	2026-06-20	800.000000
BH-PF	FG0000316	2026-06-20	73.000000
BH-PF	FG0000359	2026-06-20	18732.000000
BH-PF	FG0000404	2026-06-22	60.000000
BH-PF	FG0000033	2026-06-22	-800.000000
BH-PF	FG0000009	2026-06-22	60.000000
BH-PF	FG0000030	2026-06-22	0.000000
BH-PF	FG0000028	2026-06-22	448.000000
BH-PF	FG0000359	2026-06-22	-12600.000000
BH-PF	FG0000316	2026-06-22	1399.000000
BH-PF	FG0000194	2026-06-22	9960.000000
BH-PF	FG0000306	2026-06-22	900.000000
BH-PF	FG0000008	2026-06-22	-1248.000000
BH-PF	FG0000030	2026-06-23	760.000000
BH-PF	FG0000143	2026-06-23	504.000000
BH-PF	FG0000151	2026-06-23	304.000000
BH-PF	FG0000299	2026-06-23	8928.000000
BH-PF	FG0000033	2026-06-23	0.000000
BH-PF	FG0000009	2026-06-23	2040.000000
BH-PF	FG0000008	2026-06-23	-2704.000000
BH-PF	FG0000038	2026-06-23	260.000000
BH-PF	FG0000316	2026-06-23	61.000000
BH-PF	FG0000359	2026-06-23	3852.000000
BH-PF	FG0000142	2026-06-23	544.000000
BH-PF	FG0000034	2026-06-23	0.000000
BH-PF	FG0000194	2026-06-23	-3600.000000
BH-PF	FG0000328	2026-06-23	0.000000
BH-PF	FG0000407	2026-06-23	0.000000
BH-PF	FG0000407	2026-06-24	1600.000000
BH-PF	FG0000030	2026-06-24	0.000000
BH-PF	FG0000142	2026-06-24	0.000000
BH-PF	FG0000363	2026-06-24	0.000000
BH-PF	FG0000032	2026-06-24	0.000000
BH-PF	FG0000444	2026-06-24	1413.000000
BH-PF	FG0000008	2026-06-24	-80.000000
BH-PF	FG0000192	2026-06-24	-160.000000
BH-PF	FG0000194	2026-06-24	-1200.000000
BH-PF	FG0000299	2026-06-24	-1200.000000
BH-PF	FG0000143	2026-06-24	-984.000000
BH-PF	FG0000299	2026-06-25	13536.000000
BH-PF	FG0000030	2026-06-25	-760.000000
BH-PF	FG0000142	2026-06-25	144.000000
BH-PF	FG0000038	2026-06-25	-260.000000
BH-PF	FG0000088	2026-06-25	0.000000
BH-PF	FG0000032	2026-06-25	0.000000
BH-PF	FG0000064	2026-06-25	0.000000
BH-PF	FG0000407	2026-06-25	-1600.000000
BH-PF	FG0000028	2026-06-25	-2288.000000
BH-PF	FG0000015	2026-06-25	-1.000000
BH-PF	FG0000081	2026-06-25	-1200.000000
BH-PF	FG0000011	2026-06-25	0.000000
BH-PF	FG0000306	2026-06-25	-900.000000
BH-PF	FG0000143	2026-06-25	0.000000
BH-PF	FG0000033	2026-06-26	0.000000
BH-PF	FG0000030	2026-06-26	11160.000000
BH-PF	FG0000032	2026-06-26	6540.000000
BH-PF	FG0000306	2026-06-26	3760.000000
BH-PF	FG0000081	2026-06-26	-260.000000
BH-PF	FG0000328	2026-06-26	5.000000
BH-PF	FG0000142	2026-06-26	-688.000000
BH-PF	FG0000053	2026-06-26	-115.000000
BH-PF	FG0000192	2026-06-26	-40.000000
BH-PF	FG0000408	2026-06-26	441.000000
BH-PF	FG0000316	2026-06-26	59.000000
BH-PF	FG0000359	2026-06-26	-6000.000000
BH-PF	FG0000005	2026-06-26	6624.000000
BH-PF	FG0000150	2026-06-26	720.000000
BH-PF	FG0000441	2026-06-26	7840.000000
BH-PF	FG0000299	2026-06-26	22764.000000
BH-PF	FG0000169	2026-06-26	-200.000000
BH-PF	FG0000150	2026-06-27	11232.000000
BH-PF	FG0000443	2026-06-27	5100.000000
BH-PF	FG0000299	2026-06-27	-2376.000000
BH-PF	FG0000032	2026-06-27	0.000000
BH-PF	FG0000306	2026-06-27	-720.000000
BH-PF	FG0000444	2026-06-27	-200.000000
BH-PF	FG0000150	2026-06-29	-10800.000000
BH-PF	FG0000030	2026-06-29	-11160.000000
BH-PF	FG0000443	2026-06-29	-5100.000000
BH-PF	FG0000151	2026-06-29	-488.000000
BH-PF	FG0000306	2026-06-29	0.000000
BH-PF	FG0000194	2026-06-29	13188.000000
BH-PF	FG0000015	2026-06-29	-20.000000
BH-PF	FG0000441	2026-06-29	-7840.000000
BH-PF	FG0000032	2026-06-29	-6540.000000
BH-PF	FG0000005	2026-06-29	-7167.000000
BH-PF	FG0000407	2026-06-29	1440.000000
BH-PF	FG0000299	2026-06-29	-2400.000000
BH-PF	FG0000444	2026-06-29	-265.000000
BH-PF	FG0000316	2026-06-29	0.000000
BH-PF	FG0000081	2026-06-29	-40.000000
BH-PF	FG0000405	2026-06-29	475.000000
BH-PF	FG0000028	2026-06-30	0.000000
BH-PF	FG0000008	2026-06-30	180.000000
BH-PF	FG0000404	2026-06-30	-60.000000
BH-PF	FG0000445	2026-06-30	0.000000
BH-PF	FG0000414	2026-06-30	0.000000
BH-PF	FG0000146	2026-06-30	0.000000
BH-PF	FG0000015	2026-06-30	1275.000000
BH-PF	FG0000032	2026-06-30	640.000000
BH-PF	FG0000374	2026-06-30	0.000000
BH-PF	FG0000187	2026-06-30	400.000000
BH-PF	FG0000009	2026-06-30	-2100.000000
BH-PF	FG0000155	2026-06-30	-520.000000
BH-PF	FG0000306	2026-06-30	-2320.000000
BH-PF	FG0000151	2026-06-30	1576.000000
BH-PF	FG0000169	2026-06-30	-205.000000
BH-PF	FG0000299	2026-06-30	-5976.000000
BH-PF	FG0000150	2026-06-30	-1152.000000
BH-PF	FG0000143	2026-06-30	176.000000
BH-PF	FG0000383	2026-06-30	-50.000000
BH-PF	FG0000004	2026-06-30	4.000000
BH-PF	FG0000047	2026-06-30	0.000000
BH-PF	FG0000015	2026-07-01	-1610.000000
BH-PF	FG0000383	2026-07-01	-15.000000
BH-PF	FG0000042	2026-07-01	368.000000
BH-PF	FG0000161	2026-07-01	384.000000
BH-PF	FG0000194	2026-07-02	12660.000000
BH-PF	FG0000316	2026-07-02	40.000000
BH-PF	FG0000105	2026-07-02	0.000000
BH-PF	FG0000015	2026-07-02	-95.000000
BH-PF	FG0000005	2026-07-02	0.000000
BH-PF	FG0000402	2026-07-02	5.000000
BH-PF	FG0000013	2026-07-02	0.000000
BH-PF	FG0000161	2026-07-02	-432.000000
BH-PF	FG0000042	2026-07-02	-368.000000
BH-PF	FG0000047	2026-07-02	0.000000
