WHS	ITEMCODE	ITEMNAME	ONHAND
BH-PF	FG0000048	COLD PRESS 100 MLS 24 PCS	0.000000
BH-PF	FG0000055	COLD PRESS 5 LTR 1 PCS	0.000000
BH-PF	FG0000057	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 500 MLS 4 PCS	0.000000
BH-PF	FG0000060	CANOLA OIL VEDAKA 5 LTR 4 PCS	0.000000
BH-PF	FG0000061	EXTRA LIGHT OLIVE 5 LTR 1 PCS THERMOCOL	0.000000
BH-PF	FG0000067	MUSTARD KACCHI GHANI 3 LTR 6 PCS	0.000000
BH-PF	FG0000071	EXTRA VIRGIN OLIVE 1 LTR 1 PCS	0.000000
BH-PF	FG0000113	COLD PRESS 5 LTR 4 PCS + 100 GMS COFFEE	0.000000
BH-PF	FG0000120	CANOLA OIL 5 LTR + 1 OLIVE 4 PCS	0.000000
BH-PF	FG0000125	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET PLAIN	0.000000
BH-PF	FG0000202	SOYA CHUNK 200 GMS PACK OF 20 PCS CSD	0.000000
BH-PF	FG0000205	JIVO CHOCO FLAKES 375 GMS 20 PCS	0.000000
BH-PF	FG0000206	JIVO CHOCO FLAKES 125 GMS 72 PCS	0.000000
BH-PF	FG0000209	JIVO CHOCO FLAKES 375 GMS 4 PCS CSD	0.000000
BH-PF	FG0000210	JIVO CHOCO FLAKES 125 GMS 10 PCS CSD	0.000000
BH-PF	FG0000211	MULTI VITAMIN SPORTS	0.000000
BH-PF	FG0000212	OMEGA 3 180 MGS EPA 120 MGS DHA	0.000000
BH-PF	FG0000215	COFFEE 100 GMS 24 PCS	0.000000
BH-PF	FG0000177	MUSTARD KACHI GHANI 200 LTR 1 PCS	0.000000
BH-PF	FG0000036	DESI GHEE A2 COW 750 MLS 12 PCS	0.000000
BH-PF	FG0000103	DESI GHEE 700 ML 12 PCS	0.000000
BH-PF	FG0000207	JIVO HONEY ALMOND FLAKES 20 GMS 216 PCS	0.000000
BH-PF	FG0000208	DIET MIXTURE 120 GMS PKT	0.000000
BH-PF	FG0000214	MULTI VITAMIN WOMEN	0.000000
BH-PF	FG0000173	DESI GHEE A2 USA 1000 GMS 1 PCS	0.000000
BH-PF	FG0000065	CANOLA GOLD 5 LTR 4 PCS	0.000000
BH-PF	FG0000066	CANOLA GOLD 1 LTR 20 PCS	0.000000
BH-PF	FG0000110	POMACE OLIVE 5 LTR TIN 4 PCS IMPORTED	0.000000
BH-PF	FG0000127	CANOLA OIL 5 LTR + OLIVE 1 LTR 3 PCS SHRINKED PLAIN	0.000000
BH-PF	FG0000119	CANOLA OIL 5 LTR 4 PCS + 100 CASH BACK	0.000000
BH-PF	FG0000037	COLD PRESS 1 LTR +1 LTR COMBO 1 SET	0.000000
BH-PF	FG0000087	COLD PRESS 5 LTR + 500 MLS EXTRA LIGHT OLIVE 5 PCS	0.000000
BH-PF	FG0000051	COLD PRESS 5 LTR 4 PCS + CHOCOS 375 GMS	0.000000
BH-PF	FG0000080	EXTRA LIGHT OLIVE 1 LTR 1 PCS + 1 LTR COMBO + MINIATURE 100 MLS 1 PCS	0.000000
BH-PF	FG0000019	REFINED OIL 5 LTR 4 PCS	0.000000
BH-PF	FG0000156	CANOLA OIL 100 MLS 20 PCS	0.000000
